'Time','II','CVP','V','ABP','PLETH','I'
'[14:11:46.848]',0.570,-,0.992,117.031,-,-
'[14:11:46.856]',0.562,-,0.976,114.844,-,-
'[14:11:46.864]',0.539,-,0.976,112.656,-,-
'[14:11:46.872]',0.516,-,0.961,110.104,-,-
'[14:11:46.880]',0.492,-,0.961,107.187,-,-
'[14:11:46.888]',0.469,-,0.937,103.177,-,-
'[14:11:46.896]',0.453,-,0.929,99.167,-,-
'[14:11:46.904]',0.445,-,0.929,95.156,-,-
'[14:11:46.912]',0.445,-,0.929,91.510,-,-
'[14:11:46.920]',0.445,-,0.913,88.229,-,-
'[14:11:46.928]',0.438,-,0.913,86.042,-,-
'[14:11:46.936]',0.422,-,0.906,84.219,-,-
'[14:11:46.944]',0.406,-,0.906,82.760,-,-
'[14:11:46.952]',0.422,-,0.921,82.031,-,-
'[14:11:46.960]',0.477,-,0.969,82.760,-,-
'[14:11:46.968]',0.617,-,1.055,82.760,-,-
'[14:11:46.976]',0.867,-,1.181,83.489,-,-
'[14:11:46.984]',0.992,-,1.197,85.312,-,-
'[14:11:46.992]',0.883,-,1.008,86.042,-,-
'[14:11:47.000]',0.695,-,0.858,86.771,-,-
'[14:11:47.008]',0.539,-,0.764,86.771,-,-
'[14:11:47.016]',0.484,-,0.795,86.771,-,-
'[14:11:47.024]',0.445,-,0.819,86.771,-,-
'[14:11:47.032]',0.391,-,0.874,86.771,-,-
'[14:11:47.040]',0.352,-,0.961,86.042,-,-
'[14:11:47.048]',0.375,-,0.984,85.312,-,-
'[14:11:47.056]',0.383,-,0.976,83.489,-,-
'[14:11:47.064]',0.391,-,0.992,82.760,-,-
'[14:11:47.072]',0.398,-,0.976,81.302,-,-
'[14:11:47.080]',0.406,-,0.961,80.573,-,-
'[14:11:47.088]',0.414,-,0.953,79.844,-,-
'[14:11:47.096]',0.414,-,0.945,78.021,-,-
'[14:11:47.104]',0.422,-,0.929,77.292,-,-
'[14:11:47.112]',0.430,-,0.906,76.562,-,-
'[14:11:47.120]',0.445,-,0.898,75.833,-,-
'[14:11:47.128]',0.438,-,0.882,75.104,-,-
'[14:11:47.136]',0.445,-,0.866,74.375,-,-
'[14:11:47.144]',0.445,-,0.850,73.281,-,-
'[14:11:47.152]',0.461,-,0.835,73.281,-,-
'[14:11:47.160]',0.461,-,0.835,72.552,-,-
'[14:11:47.168]',0.469,-,0.827,72.552,-,-
'[14:11:47.176]',0.469,-,0.819,71.823,-,-
'[14:11:47.184]',0.477,-,0.827,71.823,-,-
'[14:11:47.192]',0.477,-,0.827,71.823,-,-
'[14:11:47.200]',0.492,-,0.835,71.823,-,-
'[14:11:47.208]',0.492,-,0.835,73.281,-,-
'[14:11:47.216]',0.500,-,0.843,76.562,-,-
'[14:11:47.224]',0.516,-,0.858,82.760,-,-
'[14:11:47.232]',0.516,-,0.866,90.781,-,-
'[14:11:47.240]',0.531,-,0.874,100.625,-,-
'[14:11:47.248]',0.539,-,0.890,111.562,-,-
'[14:11:47.256]',0.562,-,0.890,122.500,-,-
'[14:11:47.264]',0.562,-,0.890,131.979,-,-
'[14:11:47.272]',0.562,-,0.890,138.906,-,-
'[14:11:47.280]',0.547,-,0.882,143.646,-,-
'[14:11:47.288]',0.547,-,0.866,145.469,-,-
'[14:11:47.296]',0.531,-,0.866,145.469,-,-
'[14:11:47.304]',0.516,-,0.850,143.646,-,-
'[14:11:47.312]',0.492,-,0.843,141.458,-,-
'[14:11:47.320]',0.492,-,0.835,138.177,-,-
'[14:11:47.328]',0.492,-,0.835,135.989,-,-
'[14:11:47.336]',0.492,-,0.827,133.437,-,-
'[14:11:47.344]',0.484,-,0.827,131.979,-,-
'[14:11:47.352]',0.492,-,0.835,131.250,-,-
'[14:11:47.360]',0.492,-,0.835,130.521,-,-
'[14:11:47.368]',0.492,-,0.835,130.521,-,-
'[14:11:47.376]',0.492,-,0.835,130.521,-,-
'[14:11:47.384]',0.508,-,0.843,129.792,-,-
'[14:11:47.392]',0.516,-,0.850,129.062,-,-
'[14:11:47.400]',0.523,-,0.850,127.969,-,-
'[14:11:47.408]',0.523,-,0.850,127.239,-,-
'[14:11:47.416]',0.531,-,0.866,125.781,-,-
'[14:11:47.424]',0.539,-,0.858,124.323,-,-
'[14:11:47.432]',0.547,-,0.850,121.771,-,-
'[14:11:47.440]',0.547,-,0.835,120.312,-,-
'[14:11:47.448]',0.555,-,0.835,118.125,-,-
'[14:11:47.456]',0.562,-,0.835,116.302,-,-
'[14:11:47.464]',0.547,-,0.819,114.114,-,-
'[14:11:47.472]',0.523,-,0.795,111.562,-,-
'[14:11:47.480]',0.500,-,0.795,108.646,-,-
'[14:11:47.488]',0.492,-,0.780,105.364,-,-
'[14:11:47.496]',0.461,-,0.764,101.719,-,-
'[14:11:47.504]',0.445,-,0.756,97.708,-,-
'[14:11:47.512]',0.445,-,0.748,92.969,-,-
'[14:11:47.520]',0.445,-,0.748,88.958,-,-
'[14:11:47.528]',0.438,-,0.748,86.042,-,-
'[14:11:47.536]',0.445,-,0.748,83.489,-,-
'[14:11:47.544]',0.430,-,0.748,81.302,-,-
'[14:11:47.552]',0.422,-,0.748,80.573,-,-
'[14:11:47.560]',0.422,-,0.764,80.573,-,-
'[14:11:47.568]',0.477,-,0.803,80.573,-,-
'[14:11:47.576]',0.555,-,0.874,81.302,-,-
'[14:11:47.584]',0.742,-,0.961,82.031,-,-
'[14:11:47.592]',0.906,-,1.000,82.760,-,-
'[14:11:47.600]',0.922,-,0.890,83.489,-,-
'[14:11:47.608]',0.750,-,0.780,84.219,-,-
'[14:11:47.616]',0.570,-,0.693,84.219,-,-
'[14:11:47.624]',0.477,-,0.685,85.312,-,-
'[14:11:47.632]',0.430,-,0.732,84.219,-,-
'[14:11:47.640]',0.398,-,0.740,84.219,-,-
'[14:11:47.648]',0.375,-,0.748,83.489,-,-
'[14:11:47.656]',0.359,-,0.748,82.760,-,-
'[14:11:47.664]',0.352,-,0.756,82.031,-,-
'[14:11:47.672]',0.352,-,0.748,80.573,-,-
'[14:11:47.680]',0.359,-,0.764,79.844,-,-
'[14:11:47.688]',0.391,-,0.764,78.021,-,-
'[14:11:47.696]',0.422,-,0.787,77.292,-,-
'[14:11:47.704]',0.430,-,0.780,76.562,-,-
'[14:11:47.712]',0.438,-,0.780,75.833,-,-
'[14:11:47.720]',0.438,-,0.772,75.104,-,-
'[14:11:47.728]',0.438,-,0.772,74.375,-,-
'[14:11:47.736]',0.453,-,0.772,73.281,-,-
'[14:11:47.744]',0.484,-,0.787,73.281,-,-
'[14:11:47.752]',0.500,-,0.795,72.552,-,-
'[14:11:47.760]',0.516,-,0.811,72.552,-,-
'[14:11:47.768]',0.523,-,0.819,71.823,-,-
'[14:11:47.776]',0.531,-,0.835,71.823,-,-
'[14:11:47.784]',0.516,-,0.850,71.094,-,-
'[14:11:47.792]',0.492,-,0.843,70.365,-,-
'[14:11:47.800]',0.477,-,0.850,70.365,-,-
'[14:11:47.808]',0.469,-,0.850,70.365,-,-
'[14:11:47.816]',0.461,-,0.850,71.094,-,-
'[14:11:47.824]',0.469,-,0.850,72.552,-,-
'[14:11:47.832]',0.461,-,0.858,77.292,-,-
'[14:11:47.840]',0.469,-,0.858,83.489,-,-
'[14:11:47.848]',0.484,-,0.866,92.239,-,-
'[14:11:47.856]',0.492,-,0.874,103.177,-,-
'[14:11:47.864]',0.516,-,0.890,114.114,-,-
'[14:11:47.872]',0.531,-,0.906,123.594,-,-
'[14:11:47.880]',0.547,-,0.921,131.979,-,-
'[14:11:47.888]',0.562,-,0.929,138.177,-,-
'[14:11:47.896]',0.555,-,0.929,141.458,-,-
'[14:11:47.904]',0.547,-,0.929,142.187,-,-
'[14:11:47.912]',0.516,-,0.921,141.458,-,-
'[14:11:47.920]',0.516,-,0.906,138.906,-,-
'[14:11:47.928]',0.500,-,0.898,136.719,-,-
'[14:11:47.936]',0.500,-,0.890,133.437,-,-
'[14:11:47.944]',0.492,-,0.890,130.521,-,-
'[14:11:47.952]',0.492,-,0.874,129.062,-,-
'[14:11:47.960]',0.492,-,0.874,127.239,-,-
'[14:11:47.968]',0.492,-,0.866,126.510,-,-
'[14:11:47.976]',0.492,-,0.866,125.781,-,-
'[14:11:47.984]',0.508,-,0.866,125.781,-,-
'[14:11:47.992]',0.516,-,0.866,125.781,-,-
'[14:11:48.000]',0.531,-,0.866,125.052,-,-
'[14:11:48.008]',0.516,-,0.866,125.052,-,-
'[14:11:48.016]',0.516,-,0.866,123.594,-,-
'[14:11:48.024]',0.508,-,0.866,122.500,-,-
'[14:11:48.032]',0.500,-,0.866,121.042,-,-
'[14:11:48.040]',0.492,-,0.866,119.583,-,-
'[14:11:48.048]',0.492,-,0.850,118.125,-,-
'[14:11:48.056]',0.508,-,0.850,115.573,-,-
'[14:11:48.064]',0.531,-,0.858,113.385,-,-
'[14:11:48.072]',0.539,-,0.850,110.833,-,-
'[14:11:48.080]',0.516,-,0.835,107.917,-,-
'[14:11:48.088]',0.500,-,0.835,105.364,-,-
'[14:11:48.096]',0.492,-,0.835,101.719,-,-
'[14:11:48.104]',0.477,-,0.827,98.437,-,-
'[14:11:48.112]',0.461,-,0.827,94.427,-,-
'[14:11:48.120]',0.461,-,0.827,90.781,-,-
'[14:11:48.128]',0.445,-,0.827,86.771,-,-
'[14:11:48.136]',0.445,-,0.811,83.489,-,-
'[14:11:48.144]',0.430,-,0.811,82.031,-,-
'[14:11:48.152]',0.422,-,0.811,80.573,-,-
'[14:11:48.160]',0.414,-,0.811,79.844,-,-
'[14:11:48.168]',0.406,-,0.827,79.844,-,-
'[14:11:48.176]',0.430,-,0.866,80.573,-,-
'[14:11:48.184]',0.492,-,0.913,81.302,-,-
'[14:11:48.192]',0.648,-,1.000,82.031,-,-
'[14:11:48.200]',0.875,-,1.094,82.760,-,-
'[14:11:48.208]',0.961,-,1.055,83.489,-,-
'[14:11:48.216]',0.836,-,0.921,83.489,-,-
'[14:11:48.224]',0.695,-,0.843,84.219,-,-
'[14:11:48.232]',0.562,-,0.795,84.219,-,-
'[14:11:48.240]',0.500,-,0.835,84.219,-,-
'[14:11:48.248]',0.445,-,0.858,83.489,-,-
'[14:11:48.256]',0.422,-,0.850,82.760,-,-
'[14:11:48.264]',0.406,-,0.850,81.302,-,-
'[14:11:48.272]',0.398,-,0.850,80.573,-,-
'[14:11:48.280]',0.391,-,0.850,79.844,-,-
'[14:11:48.288]',0.398,-,0.835,78.021,-,-
'[14:11:48.296]',0.398,-,0.835,77.292,-,-
'[14:11:48.304]',0.406,-,0.835,76.562,-,-
'[14:11:48.312]',0.398,-,0.835,75.833,-,-
'[14:11:48.320]',0.414,-,0.819,75.104,-,-
'[14:11:48.328]',0.406,-,0.819,74.375,-,-
'[14:11:48.336]',0.422,-,0.811,73.281,-,-
'[14:11:48.344]',0.422,-,0.803,72.552,-,-
'[14:11:48.352]',0.422,-,0.795,72.552,-,-
'[14:11:48.360]',0.422,-,0.803,71.823,-,-
'[14:11:48.368]',0.445,-,0.811,71.823,-,-
'[14:11:48.376]',0.445,-,0.819,71.094,-,-
'[14:11:48.384]',0.453,-,0.819,71.094,-,-
'[14:11:48.392]',0.445,-,0.819,70.365,-,-
'[14:11:48.400]',0.461,-,0.827,70.365,-,-
'[14:11:48.408]',0.461,-,0.819,69.635,-,-
'[14:11:48.416]',0.477,-,0.835,69.635,-,-
'[14:11:48.424]',0.477,-,0.835,69.635,-,-
'[14:11:48.432]',0.484,-,0.835,71.094,-,-
'[14:11:48.440]',0.484,-,0.850,74.375,-,-
'[14:11:48.448]',0.492,-,0.866,79.844,-,-
'[14:11:48.456]',0.500,-,0.866,86.771,-,-
'[14:11:48.464]',0.508,-,0.890,96.979,-,-
'[14:11:48.472]',0.531,-,0.906,107.917,-,-
'[14:11:48.480]',0.539,-,0.921,118.125,-,-
'[14:11:48.488]',0.555,-,0.929,127.239,-,-
'[14:11:48.496]',0.539,-,0.945,135.260,-,-
'[14:11:48.504]',0.539,-,0.945,140.000,-,-
'[14:11:48.512]',0.516,-,0.945,141.458,-,-
'[14:11:48.520]',0.500,-,0.929,141.458,-,-
'[14:11:48.528]',0.492,-,0.929,140.000,-,-
'[14:11:48.536]',0.492,-,0.921,137.448,-,-
'[14:11:48.544]',0.492,-,0.929,134.531,-,-
'[14:11:48.552]',0.492,-,0.921,131.250,-,-
'[14:11:48.560]',0.492,-,0.929,129.062,-,-
'[14:11:48.568]',0.492,-,0.921,127.239,-,-
'[14:11:48.576]',0.492,-,0.921,126.510,-,-
'[14:11:48.584]',0.500,-,0.921,125.781,-,-
'[14:11:48.592]',0.500,-,0.913,125.052,-,-
'[14:11:48.600]',0.516,-,0.906,125.052,-,-
'[14:11:48.608]',0.523,-,0.913,124.323,-,-
'[14:11:48.616]',0.539,-,0.921,124.323,-,-
'[14:11:48.624]',0.539,-,0.913,123.594,-,-
'[14:11:48.632]',0.531,-,0.921,122.500,-,-
'[14:11:48.640]',0.539,-,0.921,121.042,-,-
'[14:11:48.648]',0.555,-,0.929,119.583,-,-
'[14:11:48.656]',0.562,-,0.921,118.125,-,-
'[14:11:48.664]',0.555,-,0.906,116.302,-,-
'[14:11:48.672]',0.562,-,0.906,114.844,-,-
'[14:11:48.680]',0.562,-,0.898,112.656,-,-
'[14:11:48.688]',0.547,-,0.874,110.104,-,-
'[14:11:48.696]',0.516,-,0.866,107.187,-,-
'[14:11:48.704]',0.500,-,0.866,103.906,-,-
'[14:11:48.712]',0.484,-,0.866,100.625,-,-
'[14:11:48.720]',0.469,-,0.850,96.979,-,-
'[14:11:48.728]',0.445,-,0.850,92.969,-,-
'[14:11:48.736]',0.445,-,0.850,88.958,-,-
'[14:11:48.744]',0.438,-,0.850,85.312,-,-
'[14:11:48.752]',0.438,-,0.850,82.760,-,-
'[14:11:48.760]',0.438,-,0.850,81.302,-,-
'[14:11:48.768]',0.438,-,0.858,80.573,-,-
'[14:11:48.776]',0.422,-,0.866,79.844,-,-
'[14:11:48.784]',0.430,-,0.890,79.844,-,-
'[14:11:48.792]',0.477,-,0.929,80.573,-,-
'[14:11:48.800]',0.586,-,1.000,81.302,-,-
'[14:11:48.808]',0.812,-,1.087,82.031,-,-
'[14:11:48.816]',0.961,-,1.126,82.760,-,-
'[14:11:48.824]',0.891,-,0.976,83.489,-,-
'[14:11:48.832]',0.750,-,0.890,84.219,-,-
'[14:11:48.840]',0.586,-,0.803,84.219,-,-
'[14:11:48.848]',0.500,-,0.803,83.489,-,-
'[14:11:48.856]',0.445,-,0.835,83.489,-,-
'[14:11:48.864]',0.414,-,0.850,82.760,-,-
'[14:11:48.872]',0.398,-,0.850,82.031,-,-
'[14:11:48.880]',0.383,-,0.858,81.302,-,-
'[14:11:48.888]',0.391,-,0.858,79.844,-,-
'[14:11:48.896]',0.391,-,0.866,78.750,-,-
'[14:11:48.904]',0.391,-,0.866,77.292,-,-
'[14:11:48.912]',0.391,-,0.866,76.562,-,-
'[14:11:48.920]',0.398,-,0.866,75.833,-,-
'[14:11:48.928]',0.398,-,0.866,75.104,-,-
'[14:11:48.936]',0.406,-,0.866,74.375,-,-
'[14:11:48.944]',0.398,-,0.866,73.281,-,-
'[14:11:48.952]',0.406,-,0.866,73.281,-,-
'[14:11:48.960]',0.414,-,0.866,72.552,-,-
'[14:11:48.968]',0.422,-,0.866,72.552,-,-
'[14:11:48.976]',0.422,-,0.866,71.823,-,-
'[14:11:48.984]',0.430,-,0.866,71.823,-,-
'[14:11:48.992]',0.438,-,0.866,71.094,-,-
'[14:11:49.000]',0.445,-,0.866,71.094,-,-
'[14:11:49.008]',0.445,-,0.866,70.365,-,-
'[14:11:49.016]',0.445,-,0.874,70.365,-,-
'[14:11:49.024]',0.453,-,0.874,69.635,-,-
'[14:11:49.032]',0.461,-,0.882,70.365,-,-
'[14:11:49.040]',0.469,-,0.890,71.094,-,-
'[14:11:49.048]',0.477,-,0.890,73.281,-,-
'[14:11:49.056]',0.492,-,0.898,78.021,-,-
'[14:11:49.064]',0.492,-,0.906,84.219,-,-
'[14:11:49.072]',0.508,-,0.921,93.698,-,-
'[14:11:49.080]',0.516,-,0.929,103.906,-,-
'[14:11:49.088]',0.539,-,0.937,114.844,-,-
'[14:11:49.096]',0.539,-,0.961,125.052,-,-
'[14:11:49.104]',0.547,-,0.961,132.708,-,-
'[14:11:49.112]',0.531,-,0.961,138.177,-,-
'[14:11:49.120]',0.531,-,0.961,142.187,-,-
'[14:11:49.128]',0.516,-,0.961,142.917,-,-
'[14:11:49.136]',0.500,-,0.945,141.458,-,-
'[14:11:49.144]',0.492,-,0.945,138.906,-,-
'[14:11:49.152]',0.477,-,0.929,136.719,-,-
'[14:11:49.160]',0.469,-,0.929,133.437,-,-
'[14:11:49.168]',0.469,-,0.921,131.250,-,-
'[14:11:49.176]',0.477,-,0.913,129.062,-,-
'[14:11:49.184]',0.477,-,0.913,127.969,-,-
'[14:11:49.192]',0.477,-,0.913,127.239,-,-
'[14:11:49.200]',0.477,-,0.906,126.510,-,-
'[14:11:49.208]',0.492,-,0.906,126.510,-,-
'[14:11:49.216]',0.492,-,0.921,126.510,-,-
'[14:11:49.224]',0.508,-,0.929,126.510,-,-
'[14:11:49.232]',0.508,-,0.929,125.781,-,-
'[14:11:49.240]',0.516,-,0.929,125.052,-,-
'[14:11:49.248]',0.516,-,0.929,123.594,-,-
'[14:11:49.256]',0.531,-,0.929,122.500,-,-
'[14:11:49.264]',0.539,-,0.921,121.042,-,-
'[14:11:49.272]',0.547,-,0.906,118.854,-,-
'[14:11:49.280]',0.562,-,0.906,117.031,-,-
'[14:11:49.288]',0.570,-,0.906,115.573,-,-
'[14:11:49.296]',0.562,-,0.890,112.656,-,-
'[14:11:49.304]',0.547,-,0.874,110.104,-,-
'[14:11:49.312]',0.523,-,0.874,107.187,-,-
'[14:11:49.320]',0.516,-,0.866,103.906,-,-
'[14:11:49.328]',0.484,-,0.866,100.625,-,-
'[14:11:49.336]',0.477,-,0.850,96.979,-,-
'[14:11:49.344]',0.461,-,0.850,92.239,-,-
'[14:11:49.352]',0.469,-,0.835,88.229,-,-
'[14:11:49.360]',0.445,-,0.835,85.312,-,-
'[14:11:49.368]',0.461,-,0.835,82.760,-,-
'[14:11:49.376]',0.453,-,0.835,81.302,-,-
'[14:11:49.384]',0.453,-,0.835,80.573,-,-
'[14:11:49.392]',0.445,-,0.858,79.844,-,-
'[14:11:49.400]',0.484,-,0.882,80.573,-,-
'[14:11:49.408]',0.562,-,0.929,81.302,-,-
'[14:11:49.416]',0.758,-,1.016,82.031,-,-
'[14:11:49.424]',0.945,-,1.071,82.760,-,-
'[14:11:49.432]',0.984,-,0.976,83.489,-,-
'[14:11:49.440]',0.812,-,0.843,84.219,-,-
'[14:11:49.448]',0.648,-,0.764,84.219,-,-
'[14:11:49.456]',0.539,-,0.740,84.219,-,-
'[14:11:49.464]',0.484,-,0.764,83.489,-,-
'[14:11:49.472]',0.445,-,0.780,83.489,-,-
'[14:11:49.480]',0.422,-,0.780,82.760,-,-
'[14:11:49.488]',0.422,-,0.772,82.031,-,-
'[14:11:49.496]',0.414,-,0.780,80.573,-,-
'[14:11:49.504]',0.422,-,0.780,79.844,-,-
'[14:11:49.512]',0.406,-,0.780,78.750,-,-
'[14:11:49.520]',0.414,-,0.764,78.021,-,-
'[14:11:49.528]',0.414,-,0.772,76.562,-,-
'[14:11:49.536]',0.422,-,0.772,75.833,-,-
'[14:11:49.544]',0.414,-,0.780,75.833,-,-
'[14:11:49.552]',0.406,-,0.795,75.104,-,-
'[14:11:49.560]',0.398,-,0.811,74.375,-,-
'[14:11:49.568]',0.391,-,0.835,74.375,-,-
'[14:11:49.576]',0.375,-,0.874,73.281,-,-
'[14:11:49.584]',0.375,-,0.913,72.552,-,-
'[14:11:49.592]',0.391,-,0.929,72.552,-,-
'[14:11:49.600]',0.398,-,0.937,71.823,-,-
'[14:11:49.608]',0.422,-,0.929,71.823,-,-
'[14:11:49.616]',0.422,-,0.921,71.094,-,-
'[14:11:49.624]',0.438,-,0.913,71.094,-,-
'[14:11:49.632]',0.445,-,0.906,70.365,-,-
'[14:11:49.640]',0.469,-,0.898,70.365,-,-
'[14:11:49.648]',0.469,-,0.906,71.094,-,-
'[14:11:49.656]',0.484,-,0.898,72.552,-,-
'[14:11:49.664]',0.492,-,0.890,76.562,-,-
'[14:11:49.672]',0.500,-,0.890,83.489,-,-
'[14:11:49.680]',0.516,-,0.890,92.239,-,-
'[14:11:49.688]',0.523,-,0.890,101.719,-,-
'[14:11:49.696]',0.531,-,0.898,112.656,-,-
'[14:11:49.704]',0.547,-,0.890,123.594,-,-
'[14:11:49.712]',0.539,-,0.890,131.979,-,-
'[14:11:49.720]',0.547,-,0.882,138.177,-,-
'[14:11:49.728]',0.531,-,0.866,142.187,-,-
'[14:11:49.736]',0.531,-,0.850,143.646,-,-
'[14:11:49.744]',0.516,-,0.835,142.917,-,-
'[14:11:49.752]',0.516,-,0.811,141.458,-,-
'[14:11:49.760]',0.492,-,0.803,138.177,-,-
'[14:11:49.768]',0.492,-,0.787,135.989,-,-
'[14:11:49.776]',0.477,-,0.780,132.708,-,-
'[14:11:49.784]',0.477,-,0.772,131.250,-,-
'[14:11:49.792]',0.477,-,0.764,129.792,-,-
'[14:11:49.800]',0.477,-,0.764,129.062,-,-
'[14:11:49.808]',0.477,-,0.764,129.062,-,-
'[14:11:49.816]',0.484,-,0.764,129.062,-,-
'[14:11:49.824]',0.492,-,0.764,129.062,-,-
'[14:11:49.832]',0.500,-,0.787,127.969,-,-
'[14:11:49.840]',0.516,-,0.795,127.239,-,-
'[14:11:49.848]',0.508,-,0.811,126.510,-,-
'[14:11:49.856]',0.523,-,0.827,125.052,-,-
'[14:11:49.864]',0.531,-,0.835,123.594,-,-
'[14:11:49.872]',0.547,-,0.835,121.771,-,-
'[14:11:49.880]',0.555,-,0.827,120.312,-,-
'[14:11:49.888]',0.547,-,0.819,118.125,-,-
'[14:11:49.896]',0.562,-,0.819,116.302,-,-
'[14:11:49.904]',0.555,-,0.811,114.114,-,-
'[14:11:49.912]',0.531,-,0.803,111.562,-,-
'[14:11:49.920]',0.516,-,0.795,108.646,-,-
'[14:11:49.928]',0.484,-,0.795,105.364,-,-
'[14:11:49.936]',0.453,-,0.787,102.448,-,-
'[14:11:49.944]',0.422,-,0.787,98.437,-,-
'[14:11:49.952]',0.430,-,0.795,94.427,-,-
'[14:11:49.960]',0.445,-,0.811,90.781,-,-
'[14:11:49.968]',0.453,-,0.819,87.500,-,-
'[14:11:49.976]',0.445,-,0.827,84.219,-,-
'[14:11:49.984]',0.445,-,0.819,82.760,-,-
'[14:11:49.992]',0.430,-,0.811,81.302,-,-
'[14:11:50.000]',0.406,-,0.803,80.573,-,-
'[14:11:50.008]',0.430,-,0.803,80.573,-,-
'[14:11:50.016]',0.492,-,0.803,81.302,-,-
'[14:11:50.024]',0.641,-,0.795,81.302,-,-
'[14:11:50.032]',0.875,-,0.606,82.760,-,-
'[14:11:50.040]',0.945,-,0.386,83.489,-,-
'[14:11:50.048]',0.797,-,0.220,84.219,-,-
'[14:11:50.056]',0.625,-,0.331,84.219,-,-
'[14:11:50.064]',0.492,-,0.496,84.219,-,-
'[14:11:50.072]',0.445,-,0.866,84.219,-,-
'[14:11:50.080]',0.445,-,1.055,84.219,-,-
'[14:11:50.088]',0.438,-,1.126,83.489,-,-
'[14:11:50.096]',0.445,-,1.173,82.760,-,-
'[14:11:50.104]',0.461,-,1.157,81.302,-,-
'[14:11:50.112]',0.461,-,1.126,80.573,-,-
'[14:11:50.120]',0.469,-,1.087,78.750,-,-
'[14:11:50.128]',0.461,-,1.039,75.833,-,-
'[14:11:50.136]',0.461,-,0.992,75.104,-,-
'[14:11:50.144]',0.445,-,0.945,77.292,-,-
'[14:11:50.152]',0.445,-,0.882,81.302,-,-
'[14:11:50.160]',0.430,-,0.835,78.750,-,-
'[14:11:50.168]',0.422,-,0.780,74.375,-,-
'[14:11:50.176]',0.406,-,0.756,71.823,-,-
'[14:11:50.184]',0.406,-,0.764,72.552,-,-
'[14:11:50.192]',0.406,-,0.780,73.281,-,-
'[14:11:50.200]',0.414,-,0.803,72.552,-,-
'[14:11:50.208]',0.422,-,0.835,71.823,-,-
'[14:11:50.216]',0.422,-,0.858,71.823,-,-
'[14:11:50.224]',0.438,-,0.866,71.823,-,-
'[14:11:50.232]',0.445,-,0.858,71.094,-,-
'[14:11:50.240]',0.445,-,0.835,71.094,-,-
'[14:11:50.248]',0.445,-,0.819,70.365,-,-
'[14:11:50.256]',0.453,-,0.803,71.094,-,-
'[14:11:50.264]',0.469,-,0.827,73.281,-,-
'[14:11:50.272]',0.492,-,0.835,76.562,-,-
'[14:11:50.280]',0.508,-,0.874,82.760,-,-
'[14:11:50.288]',0.531,-,0.898,90.781,-,-
'[14:11:50.296]',0.539,-,0.929,99.896,-,-
'[14:11:50.304]',0.562,-,0.961,110.833,-,-
'[14:11:50.312]',0.562,-,0.992,121.042,-,-
'[14:11:50.320]',0.562,-,1.008,129.792,-,-
'[14:11:50.328]',0.547,-,1.055,136.719,-,-
'[14:11:50.336]',0.523,-,1.126,141.458,-,-
'[14:11:50.344]',0.492,-,1.197,143.646,-,-
'[14:11:50.352]',0.492,-,1.228,143.646,-,-
'[14:11:50.360]',0.477,-,1.213,141.458,-,-
'[14:11:50.368]',0.469,-,1.181,138.906,-,-
'[14:11:50.376]',0.461,-,1.150,135.989,-,-
'[14:11:50.384]',0.461,-,1.118,133.437,-,-
'[14:11:50.392]',0.445,-,1.094,131.250,-,-
'[14:11:50.400]',0.453,-,1.047,130.521,-,-
'[14:11:50.408]',0.461,-,1.000,129.062,-,-
'[14:11:50.416]',0.477,-,0.969,129.062,-,-
'[14:11:50.424]',0.477,-,0.929,127.969,-,-
'[14:11:50.432]',0.492,-,0.913,127.969,-,-
'[14:11:50.440]',0.492,-,0.906,127.969,-,-
'[14:11:50.448]',0.500,-,0.945,127.239,-,-
'[14:11:50.456]',0.492,-,0.992,126.510,-,-
'[14:11:50.464]',0.500,-,1.039,125.781,-,-
'[14:11:50.472]',0.531,-,1.047,123.594,-,-
'[14:11:50.480]',0.555,-,1.024,121.771,-,-
'[14:11:50.488]',0.570,-,0.961,120.312,-,-
'[14:11:50.496]',0.586,-,0.913,118.854,-,-
'[14:11:50.504]',0.602,-,0.858,117.031,-,-
'[14:11:50.512]',0.586,-,0.835,114.844,-,-
'[14:11:50.520]',0.570,-,0.803,112.656,-,-
'[14:11:50.528]',0.531,-,0.780,110.104,-,-
'[14:11:50.536]',0.500,-,0.764,107.917,-,-
'[14:11:50.544]',0.461,-,0.787,104.635,-,-
'[14:11:50.552]',0.422,-,0.803,100.625,-,-
'[14:11:50.560]',0.406,-,0.835,96.250,-,-
'[14:11:50.568]',0.422,-,0.866,92.239,-,-
'[14:11:50.576]',0.430,-,0.906,88.958,-,-
'[14:11:50.584]',0.438,-,0.929,86.042,-,-
'[14:11:50.592]',0.445,-,0.937,83.489,-,-
'[14:11:50.600]',0.445,-,0.945,81.302,-,-
'[14:11:50.608]',0.438,-,0.937,80.573,-,-
'[14:11:50.616]',0.422,-,0.945,80.573,-,-
'[14:11:50.624]',0.461,-,0.961,81.302,-,-
'[14:11:50.632]',0.547,-,1.016,82.031,-,-
'[14:11:50.640]',0.742,-,1.094,82.760,-,-
'[14:11:50.648]',0.914,-,1.134,84.219,-,-
'[14:11:50.656]',0.938,-,1.000,85.312,-,-
'[14:11:50.664]',0.742,-,0.874,86.042,-,-
'[14:11:50.672]',0.570,-,0.764,86.042,-,-
'[14:11:50.680]',0.492,-,0.756,86.042,-,-
'[14:11:50.688]',0.461,-,0.803,86.042,-,-
