'Time','II','AVR','V','RESP','PLETH','ABP','CVP','UAP'
'[14:03:45.696]',0.510,0.500,0.515,-0.081,2.882,63.810,37.004,110.927
'[14:03:45.704]',0.720,0.380,0.495,-0.080,2.841,63.302,37.004,110.927
'[14:03:45.712]',1.115,0.090,0.470,-0.078,2.793,62.794,37.004,110.971
'[14:03:45.720]',1.280,-0.160,0.465,-0.077,2.739,62.247,37.004,110.971
'[14:03:45.728]',1.120,-0.215,0.445,-0.075,2.679,61.622,37.004,110.971
'[14:03:45.736]',0.420,0.280,0.620,-0.074,2.613,60.996,37.004,110.927
'[14:03:45.744]',-0.025,0.645,0.735,-0.072,2.548,60.371,37.004,110.927
'[14:03:45.752]',0.020,0.700,0.625,-0.070,2.484,59.746,37.004,110.927
'[14:03:45.760]',0.180,0.650,0.565,-0.068,2.412,59.121,37.004,110.927
'[14:03:45.768]',0.290,0.610,0.500,-0.066,2.333,58.535,37.004,110.927
'[14:03:45.776]',0.345,0.585,0.490,-0.064,2.254,58.066,37.004,110.927
'[14:03:45.784]',0.365,0.585,0.475,-0.062,2.175,57.597,37.004,110.927
'[14:03:45.792]',0.370,0.580,0.480,-0.061,2.098,57.167,37.004,110.927
'[14:03:45.800]',0.375,0.575,0.470,-0.059,2.024,56.737,37.004,110.927
'[14:03:45.808]',0.380,0.580,0.470,-0.057,1.957,56.229,37.004,110.927
'[14:03:45.816]',0.395,0.565,0.470,-0.056,1.895,55.721,37.004,110.927
'[14:03:45.824]',0.400,0.570,0.470,-0.054,1.842,55.291,37.004,110.927
'[14:03:45.832]',0.405,0.560,0.470,-0.053,1.795,54.862,37.004,110.927
'[14:03:45.840]',0.400,0.560,0.475,-0.052,1.758,54.549,37.004,110.927
'[14:03:45.848]',0.405,0.560,0.480,-0.051,1.728,54.236,37.004,110.876
'[14:03:45.856]',0.405,0.560,0.475,-0.050,1.701,53.924,37.004,110.876
'[14:03:45.864]',0.405,0.555,0.480,-0.049,1.676,53.533,37.004,110.876
'[14:03:45.872]',0.410,0.555,0.475,-0.048,1.654,53.181,37.004,110.876
'[14:03:45.880]',0.420,0.545,0.480,-0.047,1.634,52.869,37.004,110.876
'[14:03:45.888]',0.420,0.550,0.475,-0.046,1.617,52.478,37.004,110.876
'[14:03:45.896]',0.425,0.540,0.485,-0.045,1.599,52.244,37.004,110.927
'[14:03:45.904]',0.440,0.535,0.485,-0.044,1.582,52.009,37.004,110.971
'[14:03:45.912]',0.445,0.530,0.495,-0.043,1.565,51.618,37.004,110.971
'[14:03:45.920]',0.445,0.535,0.485,-0.043,1.548,51.228,37.004,110.971
'[14:03:45.928]',0.460,0.525,0.495,-0.042,1.532,50.798,37.004,110.927
'[14:03:45.936]',0.470,0.525,0.485,-0.042,1.515,50.485,37.004,110.927
'[14:03:45.944]',0.485,0.510,0.495,-0.041,1.501,50.368,37.004,110.927
'[14:03:45.952]',0.500,0.500,0.495,-0.041,1.489,50.759,37.004,110.927
'[14:03:45.960]',0.510,0.495,0.500,-0.041,1.473,52.244,37.004,110.927
'[14:03:45.968]',0.515,0.495,0.495,-0.041,1.455,55.721,37.004,110.927
'[14:03:45.976]',0.520,0.490,0.505,-0.041,1.435,61.934,37.004,110.927
'[14:03:45.984]',0.535,0.485,0.505,-0.041,1.415,70.296,37.004,110.927
'[14:03:45.992]',0.540,0.480,0.515,-0.041,1.395,78.932,37.004,110.927
'[14:03:46.000]',0.535,0.480,0.510,-0.042,1.373,85.731,37.004,110.927
'[14:03:46.008]',0.540,0.475,0.520,-0.043,1.352,89.873,37.004,110.927
'[14:03:46.016]',0.535,0.475,0.510,-0.044,1.330,92.413,37.004,110.927
'[14:03:46.024]',0.540,0.465,0.505,-0.046,1.309,94.992,37.004,110.876
'[14:03:46.032]',0.530,0.465,0.520,-0.047,1.288,98.509,37.004,110.876
'[14:03:46.040]',0.515,0.475,0.510,-0.049,1.272,102.611,37.004,110.876
'[14:03:46.048]',0.510,0.480,0.505,-0.050,1.259,106.441,37.004,110.876
'[14:03:46.056]',0.495,0.480,0.495,-0.052,1.242,109.293,37.004,110.927
'[14:03:46.064]',0.495,0.485,0.505,-0.055,1.225,111.052,37.004,110.927
'[14:03:46.072]',0.480,0.490,0.495,-0.057,1.206,112.185,37.004,110.927
'[14:03:46.080]',0.460,0.505,0.500,-0.060,1.189,113.123,37.004,110.927
'[14:03:46.088]',0.465,0.505,0.495,-0.063,1.171,113.943,37.004,110.927
'[14:03:46.096]',0.450,0.510,0.505,-0.066,1.154,114.607,37.004,110.927
'[14:03:46.104]',0.450,0.515,0.495,-0.067,1.139,115.076,37.004,110.927
'[14:03:46.112]',0.455,0.500,0.505,-0.069,1.124,115.194,37.004,110.876
'[14:03:46.120]',0.460,0.505,0.500,-0.070,1.110,114.920,37.004,110.876
'[14:03:46.128]',0.445,0.515,0.505,-0.072,1.098,114.490,37.004,110.876
'[14:03:46.136]',0.450,0.510,0.495,-0.074,1.086,113.943,37.004,110.927
'[14:03:46.144]',0.465,0.500,0.510,-0.076,1.080,113.201,37.004,110.927
'[14:03:46.152]',0.470,0.500,0.500,-0.078,1.076,112.185,37.004,110.927
'[14:03:46.160]',0.470,0.500,0.510,-0.080,1.069,110.934,37.004,110.927
'[14:03:46.168]',0.470,0.500,0.500,-0.081,1.063,109.450,37.004,110.927
'[14:03:46.176]',0.475,0.495,0.510,-0.082,1.054,107.730,37.004,110.927
'[14:03:46.184]',0.470,0.500,0.500,-0.082,1.044,105.933,37.004,110.927
'[14:03:46.192]',0.470,0.505,0.505,-0.083,1.032,104.057,37.004,110.927
'[14:03:46.200]',0.480,0.495,0.495,-0.083,1.022,101.947,37.004,110.927
'[14:03:46.208]',0.470,0.510,0.500,-0.083,1.018,99.564,37.004,110.927
'[14:03:46.216]',0.470,0.500,0.495,-0.082,1.025,96.633,37.004,110.927
'[14:03:46.224]',0.470,0.505,0.500,-0.081,1.054,93.233,37.004,110.927
'[14:03:46.232]',0.470,0.495,0.495,-0.080,1.110,89.560,37.004,110.971
'[14:03:46.240]',0.460,0.510,0.490,-0.079,1.184,85.848,37.004,110.971
'[14:03:46.248]',0.455,0.515,0.495,-0.077,1.281,82.370,37.004,110.971
'[14:03:46.256]',0.455,0.515,0.490,-0.076,1.416,79.244,37.004,110.927
'[14:03:46.264]',0.455,0.510,0.505,-0.074,1.583,76.626,37.004,110.927
'[14:03:46.272]',0.455,0.505,0.490,-0.073,1.766,74.634,37.004,110.927
'[14:03:46.280]',0.460,0.500,0.495,-0.071,1.956,73.188,37.004,110.927
'[14:03:46.288]',0.470,0.500,0.500,-0.069,2.140,72.250,37.004,110.927
'[14:03:46.296]',0.485,0.485,0.515,-0.067,2.310,71.429,37.004,110.927
'[14:03:46.304]',0.495,0.480,0.510,-0.066,2.459,70.609,37.004,110.876
'[14:03:46.312]',0.500,0.475,0.520,-0.064,2.586,69.866,37.004,110.876
'[14:03:46.320]',0.510,0.465,0.520,-0.062,2.690,69.241,37.004,110.876
'[14:03:46.328]',0.490,0.475,0.540,-0.060,2.775,68.733,37.004,110.876
'[14:03:46.336]',0.470,0.495,0.530,-0.058,2.844,68.382,37.004,110.876
'[14:03:46.344]',0.460,0.495,0.540,-0.056,2.889,68.186,37.004,110.876
'[14:03:46.352]',0.455,0.505,0.520,-0.055,2.919,68.108,37.004,110.927
'[14:03:46.360]',0.465,0.490,0.520,-0.053,2.947,68.069,37.004,110.927
'[14:03:46.368]',0.470,0.485,0.500,-0.052,2.970,67.991,37.004,110.876
'[14:03:46.376]',0.445,0.500,0.495,-0.051,2.985,67.795,37.004,110.876
'[14:03:46.384]',0.430,0.525,0.480,-0.050,2.995,67.444,37.004,110.876
'[14:03:46.392]',0.435,0.515,0.495,-0.049,2.998,67.053,37.004,110.876
'[14:03:46.400]',0.425,0.515,0.480,-0.048,2.995,66.623,37.004,110.876
'[14:03:46.408]',0.425,0.525,0.485,-0.047,2.986,66.193,37.004,110.927
'[14:03:46.416]',0.420,0.525,0.470,-0.046,2.972,65.803,37.004,110.927
'[14:03:46.424]',0.420,0.530,0.480,-0.045,2.950,65.373,37.004,110.927
'[14:03:46.432]',0.425,0.525,0.485,-0.044,2.924,64.865,37.004,110.927
'[14:03:46.440]',0.435,0.530,0.470,-0.043,2.893,64.318,37.004,110.927
'[14:03:46.448]',0.555,0.485,0.505,-0.042,2.859,63.693,37.004,110.927
'[14:03:46.456]',0.830,0.305,0.480,-0.041,2.819,63.067,37.004,110.927
'[14:03:46.464]',1.185,0.020,0.450,-0.040,2.774,62.364,37.004,110.927
'[14:03:46.472]',1.275,-0.200,0.440,-0.039,2.722,61.739,37.004,110.927
'[14:03:46.480]',1.010,-0.225,0.415,-0.039,2.665,61.192,37.004,110.927
'[14:03:46.488]',0.270,0.390,0.640,-0.038,2.599,60.567,37.004,110.876
'[14:03:46.496]',-0.030,0.675,0.725,-0.037,2.529,59.980,37.004,110.876
'[14:03:46.504]',0.045,0.705,0.610,-0.036,2.454,59.355,37.004,110.876
'[14:03:46.512]',0.205,0.640,0.550,-0.035,2.375,58.730,37.004,110.876
'[14:03:46.520]',0.310,0.600,0.495,-0.034,2.295,58.105,37.004,110.876
'[14:03:46.528]',0.360,0.585,0.485,-0.033,2.215,57.597,37.004,110.927
'[14:03:46.536]',0.365,0.585,0.470,-0.031,2.147,57.167,37.004,110.927
'[14:03:46.544]',0.380,0.580,0.475,-0.030,2.084,56.659,37.004,110.927
'[14:03:46.552]',0.385,0.570,0.465,-0.029,2.020,56.307,37.004,110.927
'[14:03:46.560]',0.395,0.575,0.470,-0.028,1.957,55.917,37.004,110.927
'[14:03:46.568]',0.400,0.565,0.465,-0.027,1.899,55.565,37.004,110.876
'[14:03:46.576]',0.400,0.560,0.470,-0.026,1.848,55.096,37.004,110.876
'[14:03:46.584]',0.420,0.560,0.470,-0.025,1.803,54.666,37.004,110.876
'[14:03:46.592]',0.405,0.560,0.475,-0.024,1.763,54.314,37.004,110.876
'[14:03:46.600]',0.410,0.560,0.470,-0.023,1.729,54.002,37.004,110.876
'[14:03:46.608]',0.415,0.555,0.475,-0.022,1.700,53.689,37.004,110.876
'[14:03:46.616]',0.420,0.555,0.470,-0.022,1.675,53.377,37.004,110.876
'[14:03:46.624]',0.420,0.545,0.465,-0.021,1.654,53.064,37.004,110.927
'[14:03:46.632]',0.425,0.555,0.475,-0.021,1.635,52.751,37.004,110.927
'[14:03:46.640]',0.430,0.550,0.480,-0.021,1.622,52.439,37.004,110.927
'[14:03:46.648]',0.435,0.545,0.485,-0.021,1.610,52.048,37.004,110.927
'[14:03:46.656]',0.440,0.540,0.480,-0.021,1.596,51.736,37.004,110.927
'[14:03:46.664]',0.445,0.535,0.490,-0.022,1.582,51.384,37.004,110.927
'[14:03:46.672]',0.470,0.525,0.485,-0.022,1.566,51.071,37.004,110.927
'[14:03:46.680]',0.470,0.520,0.495,-0.022,1.549,50.680,37.004,110.927
'[14:03:46.688]',0.480,0.515,0.485,-0.022,1.533,50.446,37.004,110.927
'[14:03:46.696]',0.500,0.500,0.495,-0.022,1.515,50.368,37.004,110.927
'[14:03:46.704]',0.505,0.505,0.490,-0.022,1.497,50.915,37.004,110.927
'[14:03:46.712]',0.515,0.490,0.495,-0.023,1.478,52.595,37.004,110.927
'[14:03:46.720]',0.535,0.485,0.495,-0.024,1.457,56.346,37.004,110.927
'[14:03:46.728]',0.545,0.475,0.510,-0.024,1.437,62.598,37.004,110.927
'[14:03:46.736]',0.540,0.485,0.500,-0.025,1.420,70.804,37.004,110.927
'[14:03:46.744]',0.545,0.470,0.515,-0.025,1.406,79.049,37.004,110.927
'[14:03:46.752]',0.545,0.475,0.510,-0.026,1.388,85.379,37.004,110.927
'[14:03:46.760]',0.545,0.465,0.520,-0.026,1.368,89.287,37.004,110.927
'[14:03:46.768]',0.540,0.465,0.510,-0.028,1.347,91.866,37.004,110.876
'[14:03:46.776]',0.540,0.465,0.515,-0.029,1.326,94.562,37.004,110.876
'[14:03:46.784]',0.540,0.465,0.500,-0.031,1.303,98.196,37.004,110.927
'[14:03:46.792]',0.530,0.465,0.495,-0.032,1.281,102.260,37.004,110.927
'[14:03:46.800]',0.515,0.480,0.495,-0.034,1.259,105.933,37.004,110.927
'[14:03:46.808]',0.510,0.475,0.495,-0.037,1.239,108.629,37.004,110.876
'[14:03:46.816]',0.495,0.485,0.490,-0.039,1.220,110.309,37.004,110.876
'[14:03:46.824]',0.485,0.490,0.495,-0.042,1.202,111.364,37.004,110.876
'[14:03:46.832]',0.475,0.495,0.490,-0.044,1.185,112.302,37.004,110.927
'[14:03:46.840]',0.470,0.500,0.495,-0.047,1.172,113.201,37.004,110.876
'[14:03:46.848]',0.480,0.490,0.490,-0.049,1.162,113.943,37.004,110.876
'[14:03:46.856]',0.465,0.505,0.495,-0.051,1.151,114.373,37.004,110.876
'[14:03:46.864]',0.465,0.505,0.490,-0.053,1.137,114.490,37.004,110.876
'[14:03:46.872]',0.455,0.510,0.490,-0.055,1.123,114.178,37.004,110.876
'[14:03:46.880]',0.465,0.500,0.495,-0.057,1.110,113.552,37.004,110.876
'[14:03:46.888]',0.470,0.495,0.495,-0.058,1.098,112.732,37.004,110.876
'[14:03:46.896]',0.470,0.500,0.505,-0.060,1.087,111.794,37.004,110.876
'[14:03:46.904]',0.470,0.495,0.495,-0.061,1.077,110.739,37.004,110.876
'[14:03:46.912]',0.475,0.495,0.500,-0.061,1.068,109.489,37.004,110.876
'[14:03:46.920]',0.480,0.495,0.495,-0.062,1.060,108.004,37.004,110.876
'[14:03:46.928]',0.480,0.490,0.495,-0.062,1.051,106.363,37.004,110.876
'[14:03:46.936]',0.480,0.500,0.495,-0.062,1.045,104.487,37.004,110.876
'[14:03:46.944]',0.485,0.490,0.500,-0.062,1.040,102.377,37.004,110.876
'[14:03:46.952]',0.470,0.495,0.495,-0.061,1.032,99.915,37.004,110.876
'[14:03:46.960]',0.470,0.500,0.495,-0.060,1.027,97.258,37.004,110.876
'[14:03:46.968]',0.475,0.495,0.490,-0.058,1.032,94.249,37.004,110.927
'[14:03:46.976]',0.470,0.500,0.495,-0.056,1.056,91.006,37.004,110.927
'[14:03:46.984]',0.470,0.495,0.495,-0.053,1.107,87.567,37.004,110.927
'[14:03:46.992]',0.475,0.495,0.495,-0.051,1.190,84.051,37.004,110.927
'[14:03:47.000]',0.470,0.505,0.490,-0.050,1.308,80.690,37.004,110.927
'[14:03:47.008]',0.460,0.510,0.495,-0.048,1.458,77.799,37.004,110.927
'[14:03:47.016]',0.455,0.515,0.490,-0.046,1.632,75.493,37.004,110.927
'[14:03:47.024]',0.445,0.515,0.495,-0.043,1.820,73.735,37.004,110.927
'[14:03:47.032]',0.460,0.505,0.490,-0.041,2.009,72.484,37.004,110.927
'[14:03:47.040]',0.465,0.505,0.495,-0.038,2.167,71.547,37.004,110.876
'[14:03:47.048]',0.470,0.490,0.495,-0.035,2.301,70.804,37.004,110.927
'[14:03:47.056]',0.485,0.485,0.505,-0.033,2.434,70.179,37.004,110.927
'[14:03:47.064]',0.500,0.480,0.510,-0.030,2.555,69.632,37.004,110.927
'[14:03:47.072]',0.500,0.480,0.515,-0.028,2.659,69.124,37.004,110.927
'[14:03:47.080]',0.505,0.480,0.520,-0.026,2.745,68.694,37.004,110.927
'[14:03:47.088]',0.495,0.490,0.515,-0.024,2.815,68.382,37.004,110.927
'[14:03:47.096]',0.475,0.490,0.535,-0.022,2.871,68.108,37.004,110.876
'[14:03:47.104]',0.470,0.505,0.530,-0.020,2.915,67.913,37.004,110.876
'[14:03:47.112]',0.470,0.495,0.520,-0.017,2.948,67.756,37.004,110.876
'[14:03:47.120]',0.470,0.490,0.510,-0.016,2.973,67.561,37.004,110.876
'[14:03:47.128]',0.475,0.490,0.500,-0.014,2.988,67.287,37.004,110.876
'[14:03:47.136]',0.445,0.505,0.480,-0.013,2.992,67.053,37.004,110.876
'[14:03:47.144]',0.440,0.510,0.480,-0.011,2.988,66.662,37.004,110.876
'[14:03:47.152]',0.445,0.510,0.485,-0.010,2.981,66.311,37.004,110.927
'[14:03:47.160]',0.435,0.515,0.490,-0.009,2.970,65.920,37.004,110.927
'[14:03:47.168]',0.415,0.535,0.470,-0.008,2.953,65.568,37.004,110.927
'[14:03:47.176]',0.420,0.525,0.480,-0.007,2.932,65.099,37.004,110.927
'[14:03:47.184]',0.425,0.530,0.470,-0.006,2.903,64.630,37.004,110.927
'[14:03:47.192]',0.430,0.525,0.475,-0.005,2.870,64.161,37.004,110.927
'[14:03:47.200]',0.435,0.530,0.470,-0.003,2.831,63.732,37.004,110.927
'[14:03:47.208]',0.545,0.485,0.505,-0.002,2.786,63.185,37.004,110.927
'[14:03:47.216]',0.800,0.325,0.465,-0.001,2.735,62.559,37.004,110.927
'[14:03:47.224]',1.170,0.030,0.445,0.000,2.678,61.817,37.004,110.927
'[14:03:47.232]',1.265,-0.195,0.425,0.000,2.616,61.035,37.004,110.927
'[14:03:47.240]',1.035,-0.225,0.405,0.001,2.554,60.371,37.004,110.927
'[14:03:47.248]',0.310,0.355,0.630,0.002,2.492,59.746,37.004,110.927
'[14:03:47.256]',-0.035,0.675,0.720,0.002,2.420,59.160,37.004,110.927
'[14:03:47.264]',0.035,0.710,0.620,0.003,2.344,58.613,37.004,110.927
'[14:03:47.272]',0.190,0.645,0.555,0.003,2.267,58.066,37.004,110.927
'[14:03:47.280]',0.300,0.605,0.490,0.004,2.190,57.558,37.004,110.927
'[14:03:47.288]',0.350,0.585,0.475,0.005,2.114,57.050,37.004,110.927
'[14:03:47.296]',0.375,0.575,0.470,0.006,2.043,56.620,37.004,110.971
'[14:03:47.304]',0.375,0.580,0.470,0.007,1.973,56.112,37.004,110.927
'[14:03:47.312]',0.390,0.575,0.475,0.008,1.906,55.565,37.004,110.927
'[14:03:47.320]',0.395,0.565,0.470,0.009,1.850,55.057,37.004,110.927
'[14:03:47.328]',0.400,0.560,0.475,0.009,1.803,54.666,37.004,110.927
'[14:03:47.336]',0.410,0.560,0.470,0.010,1.765,54.314,37.004,110.927
'[14:03:47.344]',0.405,0.555,0.470,0.011,1.736,53.924,37.004,110.927
'[14:03:47.352]',0.415,0.560,0.470,0.011,1.709,53.611,37.004,110.927
'[14:03:47.360]',0.405,0.550,0.470,0.012,1.683,53.220,37.004,110.927
'[14:03:47.368]',0.420,0.555,0.470,0.012,1.662,52.869,37.004,110.927
'[14:03:47.376]',0.420,0.545,0.480,0.012,1.642,52.556,37.004,110.927
'[14:03:47.384]',0.420,0.550,0.475,0.013,1.625,52.283,37.004,110.927
'[14:03:47.392]',0.420,0.550,0.480,0.013,1.608,52.048,37.004,110.927
'[14:03:47.400]',0.430,0.545,0.480,0.013,1.592,51.814,37.004,110.927
'[14:03:47.408]',0.435,0.535,0.490,0.012,1.577,51.501,37.004,110.927
'[14:03:47.416]',0.450,0.530,0.485,0.012,1.560,51.188,37.004,110.927
'[14:03:47.424]',0.455,0.525,0.490,0.011,1.543,50.876,37.004,110.927
'[14:03:47.432]',0.465,0.520,0.485,0.010,1.528,50.563,37.004,110.927
'[14:03:47.440]',0.470,0.515,0.490,0.009,1.515,50.290,37.004,110.971
'[14:03:47.448]',0.490,0.510,0.485,0.008,1.503,50.055,37.004,110.927
'[14:03:47.456]',0.495,0.515,0.490,0.008,1.488,49.860,37.004,110.927
'[14:03:47.464]',0.505,0.500,0.495,0.007,1.470,50.251,37.004,110.927
'[14:03:47.472]',0.520,0.490,0.490,0.006,1.452,51.696,37.004,110.927
'[14:03:47.480]',0.530,0.485,0.500,0.005,1.432,55.252,37.004,110.927
'[14:03:47.488]',0.540,0.480,0.495,0.004,1.412,61.426,37.004,110.927
'[14:03:47.496]',0.535,0.485,0.510,0.002,1.390,69.671,37.004,110.927
'[14:03:47.504]',0.540,0.480,0.510,0.001,1.369,78.072,37.004,110.927
'[14:03:47.512]',0.540,0.475,0.515,0.000,1.347,84.481,37.004,110.927
'[14:03:47.520]',0.545,0.470,0.500,-0.000,1.326,88.505,37.004,110.876
'[14:03:47.528]',0.540,0.465,0.510,-0.001,1.306,91.006,37.004,110.876
'[14:03:47.536]',0.535,0.470,0.505,-0.002,1.291,93.624,37.004,110.876
'[14:03:47.544]',0.530,0.465,0.510,-0.003,1.278,97.102,37.004,110.876
'[14:03:47.552]',0.525,0.470,0.500,-0.005,1.260,101.166,37.004,110.927
'[14:03:47.560]',0.515,0.475,0.505,-0.006,1.241,104.878,37.004,110.927
'[14:03:47.568]',0.500,0.485,0.495,-0.008,1.223,107.496,37.004,110.927
'[14:03:47.576]',0.485,0.495,0.490,-0.010,1.204,109.176,37.004,110.927
'[14:03:47.584]',0.470,0.505,0.480,-0.012,1.188,110.231,37.004,110.927
'[14:03:47.592]',0.470,0.500,0.485,-0.015,1.171,111.169,37.004,110.927
'[14:03:47.600]',0.465,0.505,0.480,-0.017,1.154,112.185,37.004,110.927
'[14:03:47.608]',0.455,0.510,0.490,-0.019,1.139,113.005,37.004,110.927
'[14:03:47.616]',0.470,0.500,0.480,-0.022,1.124,113.552,37.004,110.876
'[14:03:47.624]',0.460,0.510,0.485,-0.024,1.110,113.826,37.004,110.876
'[14:03:47.632]',0.455,0.515,0.480,-0.026,1.098,113.748,37.004,110.927
'[14:03:47.640]',0.455,0.505,0.490,-0.028,1.091,113.357,37.004,110.927
'[14:03:47.648]',0.460,0.500,0.495,-0.030,1.087,112.693,37.004,110.927
'[14:03:47.656]',0.470,0.505,0.495,-0.031,1.080,111.677,37.004,110.927
'[14:03:47.664]',0.465,0.500,0.485,-0.032,1.072,110.544,37.004,110.927
'[14:03:47.672]',0.475,0.495,0.480,-0.033,1.064,109.254,37.004,110.927
'[14:03:47.680]',0.475,0.490,0.485,-0.033,1.055,107.808,37.004,110.927
'[14:03:47.688]',0.470,0.495,0.470,-0.033,1.046,106.167,37.004,110.927
'[14:03:47.696]',0.470,0.495,0.480,-0.032,1.037,104.370,37.004,110.927
'[14:03:47.704]',0.475,0.495,0.470,-0.031,1.026,102.299,37.004,110.927
'[14:03:47.712]',0.485,0.490,0.475,-0.030,1.017,99.915,37.004,110.927
'[14:03:47.720]',0.470,0.495,0.470,-0.029,1.013,97.180,37.004,110.927
'[14:03:47.728]',0.470,0.490,0.470,-0.027,1.020,94.171,37.004,110.927
'[14:03:47.736]',0.480,0.495,0.470,-0.024,1.041,90.811,37.004,110.927
'[14:03:47.744]',0.470,0.495,0.480,-0.022,1.082,87.372,37.004,110.927
'[14:03:47.752]',0.470,0.500,0.470,-0.019,1.152,83.855,37.004,110.927
'[14:03:47.760]',0.465,0.505,0.465,-0.016,1.257,80.573,37.004,110.927
'[14:03:47.768]',0.455,0.510,0.455,-0.013,1.395,77.603,37.004,110.927
'[14:03:47.776]',0.465,0.495,0.465,-0.009,1.559,75.298,37.004,110.927
'[14:03:47.784]',0.470,0.510,0.460,-0.006,1.741,73.618,37.004,110.876
'[14:03:47.792]',0.455,0.515,0.460,-0.002,1.929,72.445,37.004,110.927
'[14:03:47.800]',0.480,0.490,0.455,0.001,2.110,71.508,37.004,110.927
'[14:03:47.808]',0.495,0.485,0.470,0.004,2.279,70.726,37.004,110.927
'[14:03:47.816]',0.495,0.480,0.465,0.007,2.427,69.984,37.004,110.927
'[14:03:47.824]',0.500,0.480,0.470,0.011,2.554,69.319,37.004,110.927
'[14:03:47.832]',0.515,0.470,0.470,0.016,2.659,68.694,37.004,110.927
'[14:03:47.840]',0.510,0.465,0.485,0.020,2.734,68.303,37.004,110.927
'[14:03:47.848]',0.480,0.485,0.495,0.025,2.788,68.108,37.004,110.927
'[14:03:47.856]',0.470,0.485,0.495,0.029,2.837,67.913,37.004,110.927
'[14:03:47.864]',0.470,0.490,0.470,0.033,2.878,67.795,37.004,110.927
'[14:03:47.872]',0.485,0.480,0.460,0.037,2.910,67.561,37.004,110.927
'[14:03:47.880]',0.475,0.485,0.445,0.041,2.935,67.287,37.004,110.927
'[14:03:47.888]',0.470,0.490,0.435,0.045,2.950,67.131,37.004,110.927
'[14:03:47.896]',0.450,0.505,0.445,0.049,2.958,66.975,37.004,110.971
'[14:03:47.904]',0.455,0.505,0.440,0.052,2.959,66.819,37.004,110.971
'[14:03:47.912]',0.445,0.515,0.430,0.057,2.954,66.506,37.004,111.073
'[14:03:47.920]',0.440,0.520,0.435,0.061,2.943,65.998,37.004,110.971
'[14:03:47.928]',0.445,0.515,0.445,0.066,2.927,65.412,37.004,110.971
'[14:03:47.936]',0.440,0.520,0.425,0.070,2.905,64.865,37.004,110.971
'[14:03:47.944]',0.435,0.515,0.425,0.074,2.878,64.318,37.004,110.971
'[14:03:47.952]',0.450,0.520,0.425,0.078,2.847,63.810,37.004,110.971
'[14:03:47.960]',0.535,0.495,0.445,0.082,2.810,63.302,37.004,111.073
'[14:03:47.968]',0.745,0.360,0.415,0.085,2.769,62.794,37.004,111.073
'[14:03:47.976]',1.155,0.050,0.375,0.089,2.722,62.169,37.004,111.073
'[14:03:47.984]',1.295,-0.195,0.350,0.092,2.670,61.504,37.004,111.073
'[14:03:47.992]',1.115,-0.245,0.310,0.095,2.610,60.723,37.004,111.073
'[14:03:48.000]',0.465,0.270,0.525,0.098,2.544,60.059,37.004,111.073
'[14:03:48.008]',0.045,0.635,0.715,0.101,2.474,59.355,37.004,111.073
'[14:03:48.016]',0.010,0.720,0.605,0.103,2.399,58.808,37.004,111.073
'[14:03:48.024]',0.170,0.665,0.530,0.106,2.322,58.222,37.004,111.073
'[14:03:48.032]',0.290,0.615,0.455,0.109,2.244,57.675,37.004,111.073
'[14:03:48.040]',0.360,0.585,0.430,0.112,2.176,57.167,37.004,111.073
'[14:03:48.048]',0.375,0.580,0.415,0.115,2.114,56.620,37.004,111.073
'[14:03:48.056]',0.390,0.570,0.410,0.117,2.050,56.112,37.004,110.971
'[14:03:48.064]',0.400,0.560,0.415,0.121,1.987,55.565,37.004,110.971
'[14:03:48.072]',0.400,0.565,0.410,0.124,1.929,54.979,37.004,110.971
'[14:03:48.080]',0.410,0.560,0.415,0.127,1.876,54.471,37.004,110.971
'[14:03:48.088]',0.415,0.560,0.400,0.131,1.829,54.041,37.004,110.971
'[14:03:48.096]',0.405,0.565,0.410,0.133,1.788,53.611,37.004,110.971
'[14:03:48.104]',0.410,0.565,0.400,0.136,1.752,53.220,37.004,111.073
'[14:03:48.112]',0.405,0.555,0.415,0.139,1.721,52.908,37.004,111.073
'[14:03:48.120]',0.420,0.560,0.400,0.142,1.695,52.595,37.004,111.073
'[14:03:48.128]',0.420,0.550,0.420,0.144,1.672,52.361,37.004,111.073
'[14:03:48.136]',0.425,0.545,0.410,0.147,1.654,52.048,37.004,111.073
'[14:03:48.144]',0.430,0.535,0.420,0.149,1.640,51.736,37.004,111.073
'[14:03:48.152]',0.430,0.550,0.415,0.151,1.626,51.423,37.004,111.073
'[14:03:48.160]',0.440,0.535,0.425,0.154,1.610,51.188,37.004,111.073
'[14:03:48.168]',0.440,0.540,0.420,0.156,1.595,50.798,37.004,111.073
'[14:03:48.176]',0.445,0.530,0.425,0.159,1.581,50.485,37.004,111.073
'[14:03:48.184]',0.465,0.520,0.415,0.161,1.567,50.133,37.004,111.073
'[14:03:48.192]',0.465,0.515,0.430,0.163,1.552,49.821,37.004,111.117
'[14:03:48.200]',0.470,0.520,0.425,0.166,1.537,49.547,37.004,111.073
'[14:03:48.208]',0.485,0.505,0.435,0.167,1.521,49.352,37.004,111.073
'[14:03:48.216]',0.490,0.515,0.430,0.169,1.503,49.508,37.004,111.073
'[14:03:48.224]',0.510,0.490,0.445,0.171,1.484,50.290,37.004,111.073
'[14:03:48.232]',0.525,0.485,0.445,0.174,1.464,52.478,37.004,111.073
'[14:03:48.240]',0.530,0.480,0.455,0.176,1.448,56.854,37.004,111.073
