'Time','I','II','III','AVR','V','RESP','PLETH','ABP','CVP','IC1','ICP'
'[15:27:16.808]',-,0.330,-,0.770,1.035,0.647,2.208,73.090,-,8.118,-
'[15:27:16.816]',-,0.340,-,0.755,1.020,0.659,2.186,72.797,-,8.313,-
'[15:27:16.824]',-,0.325,-,0.775,1.040,0.671,2.168,72.446,-,8.557,-
'[15:27:16.832]',-,0.340,-,0.755,1.020,0.684,2.150,72.094,-,8.811,-
'[15:27:16.840]',-,0.335,-,0.765,1.040,0.698,2.135,71.742,-,9.056,-
'[15:27:16.848]',-,0.345,-,0.755,1.020,0.712,2.127,71.273,-,9.251,-
'[15:27:16.856]',-,0.340,-,0.765,1.035,0.727,2.123,70.804,-,9.310,-
'[15:27:16.864]',-,0.350,-,0.755,1.010,0.743,2.121,70.394,-,9.368,-
'[15:27:16.872]',-,0.345,-,0.760,1.025,0.759,2.120,70.042,-,9.310,-
'[15:27:16.880]',-,0.355,-,0.745,1.015,0.773,2.120,69.632,-,9.251,-
'[15:27:16.888]',-,0.350,-,0.755,1.035,0.787,2.120,69.222,-,9.183,-
'[15:27:16.896]',-,0.365,-,0.745,1.015,0.800,2.113,68.753,-,9.124,-
'[15:27:16.904]',-,0.350,-,0.755,1.025,0.812,2.104,68.284,-,9.056,-
'[15:27:16.912]',-,0.360,-,0.750,1.010,0.826,2.093,67.874,-,8.997,-
'[15:27:16.920]',-,0.350,-,0.760,1.020,0.839,2.074,67.346,-,8.997,-
'[15:27:16.928]',-,0.365,-,0.755,1.025,0.854,2.056,66.936,-,8.997,-
'[15:27:16.936]',-,0.350,-,0.765,1.015,0.868,2.040,66.467,-,8.997,-
'[15:27:16.944]',-,0.355,-,0.755,1.025,0.881,2.029,66.057,-,8.997,-
'[15:27:16.952]',-,0.365,-,0.755,1.010,0.894,2.024,65.822,-,9.056,-
'[15:27:16.960]',-,0.360,-,0.750,1.030,0.905,2.022,65.998,-,9.183,-
'[15:27:16.968]',-,0.370,-,0.755,1.015,0.917,2.014,67.170,-,9.368,-
'[15:27:16.976]',-,0.375,-,0.760,1.025,0.929,2.004,70.042,-,9.681,-
'[15:27:16.984]',-,0.380,-,0.755,1.015,0.941,1.993,75.318,-,10.062,-
'[15:27:16.992]',-,0.375,-,0.765,1.030,0.954,1.978,82.879,-,10.433,-
'[15:27:17.000]',-,0.400,-,0.755,1.020,0.967,1.961,91.377,-,10.814,-
'[15:27:17.008]',-,0.410,-,0.760,1.045,0.979,1.943,99.290,-,11.058,-
'[15:27:17.016]',-,0.425,-,0.745,1.020,0.992,1.932,105.503,-,11.244,-
'[15:27:17.024]',-,0.430,-,0.760,1.015,0.996,1.926,109.899,-,11.312,-
'[15:27:17.032]',-,0.445,-,0.745,0.975,1.000,1.923,113.123,-,11.312,-
'[15:27:17.040]',-,0.440,-,0.765,0.980,1.000,1.921,115.526,-,11.371,-
'[15:27:17.048]',-,0.460,-,0.760,0.955,1.000,1.920,117.695,-,11.371,-
'[15:27:17.056]',-,0.455,-,0.775,0.970,1.000,1.916,119.687,-,11.498,-
'[15:27:17.064]',-,0.470,-,0.775,0.950,1.000,1.908,121.680,-,11.625,-
'[15:27:17.072]',-,0.455,-,0.790,0.960,1.000,1.894,123.732,-,11.625,-
'[15:27:17.080]',-,0.465,-,0.775,0.935,1.000,1.876,125.666,-,11.498,-
'[15:27:17.088]',-,0.450,-,0.790,0.950,1.000,1.853,127.307,-,11.244,-
'[15:27:17.096]',-,0.455,-,0.780,0.935,1.000,1.830,128.597,-,10.931,-
'[15:27:17.104]',-,0.435,-,0.795,0.955,1.000,1.808,129.476,-,10.619,-
'[15:27:17.112]',-,0.435,-,0.775,0.950,1.000,1.792,130.179,-,10.619,-
'[15:27:17.120]',-,0.410,-,0.795,0.970,1.000,1.780,130.589,-,10.814,-
'[15:27:17.128]',-,0.405,-,0.775,0.980,1.000,1.771,131.058,-,10.873,-
'[15:27:17.136]',-,0.390,-,0.785,0.975,1.000,1.764,131.410,-,10.687,-
'[15:27:17.144]',-,0.390,-,0.775,0.995,1.000,1.761,131.820,-,10.062,-
'[15:27:17.152]',-,0.380,-,0.770,0.980,1.000,1.756,132.055,-,9.310,-
'[15:27:17.160]',-,0.385,-,0.760,1.000,1.000,1.751,132.231,-,8.743,-
'[15:27:17.168]',-,0.380,-,0.755,0.990,1.000,1.748,132.172,-,8.626,-
'[15:27:17.176]',-,0.390,-,0.760,1.005,1.000,1.743,131.938,-,8.938,-
'[15:27:17.184]',-,0.400,-,0.745,0.995,1.000,1.741,131.469,-,9.368,-
'[15:27:17.192]',-,0.395,-,0.735,1.010,1.000,1.740,130.765,-,9.622,-
'[15:27:17.200]',-,0.410,-,0.730,0.990,1.000,1.739,129.593,-,9.622,-
'[15:27:17.208]',-,0.400,-,0.735,1.005,1.000,1.745,128.186,-,9.437,-
'[15:27:17.216]',-,0.425,-,0.705,0.990,1.000,1.750,126.194,-,9.251,-
'[15:27:17.224]',-,0.420,-,0.715,1.000,1.000,1.751,123.673,-,9.056,-
'[15:27:17.232]',-,0.435,-,0.700,0.980,1.000,1.751,120.567,-,8.811,-
'[15:27:17.240]',-,0.440,-,0.705,0.995,1.000,1.751,116.757,-,8.430,-
'[15:27:17.248]',-,0.450,-,0.680,0.975,1.000,1.751,112.244,-,7.874,-
'[15:27:17.256]',-,0.445,-,0.690,0.985,1.000,1.751,107.437,-,7.375,-
'[15:27:17.264]',-,0.450,-,0.680,0.965,1.000,1.751,102.573,-,6.994,-
'[15:27:17.272]',-,0.440,-,0.690,0.975,1.000,1.751,98.177,-,6.936,-
'[15:27:17.280]',-,0.445,-,0.680,0.955,1.000,1.751,95.011,-,7.307,-
'[15:27:17.288]',-,0.440,-,0.695,0.950,1.000,1.751,93.194,-,7.874,-
'[15:27:17.296]',-,0.445,-,0.685,0.965,1.000,1.757,92.667,-,8.499,-
'[15:27:17.304]',-,0.430,-,0.695,0.950,1.000,1.769,92.843,-,8.870,-
'[15:27:17.312]',-,0.435,-,0.680,0.960,1.000,1.785,93.194,-,8.870,-
'[15:27:17.320]',-,0.425,-,0.695,0.940,1.000,1.805,93.253,-,8.557,-
'[15:27:17.328]',-,0.430,-,0.685,0.950,1.000,1.828,92.960,-,8.118,-
'[15:27:17.336]',-,0.425,-,0.700,0.935,1.000,1.848,92.315,-,7.620,-
'[15:27:17.344]',-,0.425,-,0.685,0.955,1.000,1.865,91.436,-,7.307,-
'[15:27:17.352]',-,0.435,-,0.680,0.945,1.000,1.883,90.440,-,7.180,-
'[15:27:17.360]',-,0.460,-,0.670,0.970,1.000,1.904,89.502,-,7.248,-
'[15:27:17.368]',-,0.475,-,0.660,0.965,1.000,1.928,88.681,-,7.493,-
'[15:27:17.376]',-,0.490,-,0.650,0.990,1.000,1.952,88.037,-,7.805,-
'[15:27:17.384]',-,0.500,-,0.640,0.930,1.000,1.977,87.626,-,8.245,-
'[15:27:17.392]',-,0.495,-,0.650,0.895,0.995,2.004,87.275,-,8.626,-
'[15:27:17.400]',-,0.505,-,0.640,0.875,0.990,2.033,86.923,-,8.938,-
'[15:27:17.408]',-,0.485,-,0.665,0.895,0.975,2.061,86.513,-,9.056,-
'[15:27:17.416]',-,0.500,-,0.640,0.880,0.959,2.087,85.926,-,8.870,-
'[15:27:17.424]',-,0.475,-,0.660,0.905,0.945,2.112,85.223,-,8.557,-
'[15:27:17.432]',-,0.450,-,0.675,0.900,0.930,2.135,84.403,-,8.059,-
'[15:27:17.440]',-,0.425,-,0.700,0.935,0.917,2.152,83.523,-,7.620,-
'[15:27:17.448]',-,0.410,-,0.705,0.935,0.903,2.170,82.586,-,7.121,-
'[15:27:17.456]',-,0.385,-,0.730,0.960,0.889,2.192,81.648,-,6.809,-
'[15:27:17.464]',-,0.380,-,0.725,0.950,0.875,2.212,80.769,-,6.555,-
'[15:27:17.472]',-,0.360,-,0.745,0.965,0.860,2.229,80.007,-,6.438,-
'[15:27:17.480]',-,0.365,-,0.735,0.950,0.845,2.242,79.245,-,6.369,-
'[15:27:17.488]',-,0.360,-,0.755,0.960,0.830,2.256,78.541,-,6.369,-
'[15:27:17.496]',-,0.370,-,0.745,0.955,0.815,2.263,77.897,-,6.369,-
'[15:27:17.504]',-,0.395,-,0.755,1.000,0.801,2.263,77.310,-,6.369,-
'[15:27:17.512]',-,0.420,-,0.715,1.045,0.786,2.263,76.724,-,6.438,-
'[15:27:17.520]',-,0.545,-,0.580,0.800,0.773,2.260,76.197,-,6.438,-
'[15:27:17.528]',-,0.650,-,0.440,0.565,0.760,2.252,75.669,-,6.496,-
'[15:27:17.536]',-,0.560,-,0.565,0.385,0.748,2.242,75.083,-,6.555,-
'[15:27:17.544]',-,0.400,-,0.700,0.380,0.736,2.231,74.556,-,6.623,-
'[15:27:17.552]',-,0.335,-,0.745,0.720,0.725,2.219,74.028,-,6.750,-
'[15:27:17.560]',-,0.345,-,0.755,0.875,0.713,2.206,73.618,-,6.936,-
'[15:27:17.568]',-,0.325,-,0.770,0.965,0.702,2.191,73.149,-,7.121,-
'[15:27:17.576]',-,0.320,-,0.780,0.990,0.691,2.174,72.797,-,7.307,-
'[15:27:17.584]',-,0.330,-,0.775,0.985,0.681,2.159,72.446,-,7.493,-
'[15:27:17.592]',-,0.315,-,0.780,1.010,0.672,2.149,72.035,-,7.620,-
'[15:27:17.600]',-,0.325,-,0.775,0.995,0.663,2.144,71.742,-,7.688,-
'[15:27:17.608]',-,0.315,-,0.795,1.010,0.655,2.141,71.273,-,7.805,-
'[15:27:17.616]',-,0.330,-,0.770,0.995,0.647,2.140,70.922,-,7.874,-
'[15:27:17.624]',-,0.330,-,0.780,1.020,0.639,2.139,70.394,-,8.059,-
'[15:27:17.632]',-,0.335,-,0.770,1.005,0.631,2.139,69.984,-,8.245,-
'[15:27:17.640]',-,0.330,-,0.780,1.020,0.623,2.139,69.573,-,8.499,-
'[15:27:17.648]',-,0.340,-,0.775,0.995,0.615,2.139,69.046,-,8.743,-
'[15:27:17.656]',-,0.330,-,0.775,1.015,0.607,2.132,68.636,-,8.938,-
'[15:27:17.664]',-,0.335,-,0.770,0.995,0.599,2.123,68.167,-,8.997,-
'[15:27:17.672]',-,0.330,-,0.785,1.010,0.591,2.115,67.698,-,8.938,-
'[15:27:17.680]',-,0.340,-,0.775,0.985,0.584,2.105,67.170,-,8.870,-
'[15:27:17.688]',-,0.335,-,0.780,1.000,0.577,2.090,66.643,-,8.626,-
'[15:27:17.696]',-,0.345,-,0.770,0.990,0.571,2.073,66.174,-,8.372,-
'[15:27:17.704]',-,0.340,-,0.775,1.005,0.565,2.056,65.705,-,8.001,-
'[15:27:17.712]',-,0.350,-,0.765,0.995,0.559,2.034,65.236,-,7.747,-
'[15:27:17.720]',-,0.350,-,0.775,1.005,0.554,2.015,64.767,-,7.561,-
'[15:27:17.728]',-,0.355,-,0.765,1.010,0.548,1.995,64.474,-,7.434,-
'[15:27:17.736]',-,0.350,-,0.775,0.995,0.542,1.979,64.591,-,7.493,-
'[15:27:17.744]',-,0.360,-,0.765,1.005,0.537,1.972,65.471,-,7.688,-
'[15:27:17.752]',-,0.365,-,0.770,0.980,0.532,1.961,67.991,-,8.001,-
'[15:27:17.760]',-,0.370,-,0.775,1.005,0.527,1.949,72.797,-,8.499,-
'[15:27:17.768]',-,0.375,-,0.770,0.985,0.523,1.943,79.948,-,8.938,-
'[15:27:17.776]',-,0.390,-,0.775,1.005,0.517,1.937,88.388,-,9.310,-
'[15:27:17.784]',-,0.400,-,0.765,0.985,0.512,1.929,96.360,-,9.495,-
'[15:27:17.792]',-,0.405,-,0.770,0.995,0.506,1.921,102.807,-,9.564,-
'[15:27:17.800]',-,0.420,-,0.765,0.975,0.500,1.911,107.496,-,9.495,-
'[15:27:17.808]',-,0.425,-,0.775,0.980,0.494,1.896,110.837,-,9.368,-
'[15:27:17.816]',-,0.440,-,0.770,0.955,0.487,1.883,113.416,-,9.251,-
'[15:27:17.824]',-,0.445,-,0.785,0.960,0.480,1.870,115.585,-,9.251,-
'[15:27:17.832]',-,0.455,-,0.775,0.925,0.474,1.857,117.695,-,9.368,-
'[15:27:17.840]',-,0.450,-,0.795,0.930,0.467,1.848,119.746,-,9.564,-
'[15:27:17.848]',-,0.455,-,0.790,0.920,0.460,1.843,121.915,-,9.681,-
'[15:27:17.856]',-,0.445,-,0.805,0.930,0.452,1.834,123.966,-,9.808,-
'[15:27:17.864]',-,0.445,-,0.800,0.910,0.445,1.823,125.783,-,9.749,-
'[15:27:17.872]',-,0.430,-,0.815,0.925,0.437,1.815,127.249,-,9.681,-
'[15:27:17.880]',-,0.435,-,0.800,0.925,0.428,1.804,128.245,-,9.564,-
'[15:27:17.888]',-,0.410,-,0.815,0.940,0.419,1.797,128.948,-,9.368,-
'[15:27:17.896]',-,0.410,-,0.800,0.935,0.410,1.786,129.417,-,9.251,-
'[15:27:17.904]',-,0.390,-,0.805,0.960,0.401,1.774,129.828,-,9.056,-
'[15:27:17.912]',-,0.395,-,0.785,0.950,0.392,1.765,130.179,-,8.870,-
'[15:27:17.920]',-,0.375,-,0.800,0.970,0.383,1.759,130.531,-,8.743,-
'[15:27:17.928]',-,0.380,-,0.775,0.960,0.374,1.755,130.941,-,8.626,-
'[15:27:17.936]',-,0.375,-,0.775,0.955,0.365,1.750,131.293,-,8.499,-
'[15:27:17.944]',-,0.380,-,0.760,0.975,0.356,1.748,131.469,-,8.499,-
'[15:27:17.952]',-,0.375,-,0.760,0.965,0.347,1.747,131.469,-,8.430,-
'[15:27:17.960]',-,0.385,-,0.745,0.980,0.338,1.740,131.176,-,8.372,-
'[15:27:17.968]',-,0.390,-,0.745,0.965,0.329,1.733,130.472,-,8.372,-
'[15:27:17.976]',-,0.395,-,0.730,0.985,0.320,1.730,129.417,-,8.313,-
'[15:27:17.984]',-,0.400,-,0.730,0.965,0.312,1.725,127.835,-,8.245,-
'[15:27:17.992]',-,0.405,-,0.725,0.975,0.303,1.719,125.783,-,8.118,-
'[15:27:18.000]',-,0.415,-,0.715,0.965,0.296,1.717,123.204,-,8.059,-
'[15:27:18.008]',-,0.405,-,0.725,0.975,0.290,1.718,119.981,-,7.932,-
'[15:27:18.016]',-,0.425,-,0.705,0.950,0.284,1.725,116.229,-,7.688,-
'[15:27:18.024]',-,0.420,-,0.710,0.965,0.278,1.735,112.009,-,7.493,-
'[15:27:18.032]',-,0.435,-,0.690,0.950,0.273,1.743,107.262,-,7.307,-
'[15:27:18.040]',-,0.430,-,0.705,0.965,0.268,1.747,102.397,-,7.180,-
'[15:27:18.048]',-,0.440,-,0.690,0.940,0.263,1.749,98.059,-,7.121,-
'[15:27:18.056]',-,0.425,-,0.705,0.950,0.259,1.750,94.718,-,7.121,-
'[15:27:18.064]',-,0.430,-,0.690,0.930,0.255,1.751,92.784,-,7.248,-
'[15:27:18.072]',-,0.420,-,0.695,0.950,0.251,1.751,92.139,-,7.375,-
'[15:27:18.080]',-,0.425,-,0.685,0.930,0.248,1.757,92.198,-,7.493,-
'[15:27:18.088]',-,0.415,-,0.700,0.950,0.245,1.772,92.432,-,7.561,-
'[15:27:18.096]',-,0.425,-,0.690,0.935,0.242,1.793,92.550,-,7.493,-
'[15:27:18.104]',-,0.410,-,0.705,0.950,0.240,1.815,92.315,-,7.434,-
'[15:27:18.112]',-,0.425,-,0.685,0.930,0.238,1.836,91.729,-,7.375,-
'[15:27:18.120]',-,0.420,-,0.700,0.945,0.236,1.855,90.909,-,7.375,-
'[15:27:18.128]',-,0.440,-,0.680,0.950,0.234,1.878,89.912,-,7.375,-
'[15:27:18.136]',-,0.445,-,0.680,0.945,0.233,1.901,88.916,-,7.434,-
'[15:27:18.144]',-,0.475,-,0.655,0.975,0.231,1.923,88.095,-,7.493,-
'[15:27:18.152]',-,0.490,-,0.650,0.965,0.229,1.943,87.450,-,7.493,-
'[15:27:18.160]',-,0.500,-,0.635,0.970,0.227,1.969,86.981,-,7.493,-
'[15:27:18.168]',-,0.505,-,0.640,0.885,0.226,2.003,86.688,-,7.434,-
'[15:27:18.176]',-,0.500,-,0.650,0.890,0.225,2.042,86.337,-,7.375,-
'[15:27:18.184]',-,0.500,-,0.640,0.880,0.224,2.077,86.044,-,7.180,-
'[15:27:18.192]',-,0.495,-,0.645,0.890,0.223,2.105,85.575,-,7.063,-
'[15:27:18.200]',-,0.475,-,0.655,0.870,0.222,2.124,84.930,-,6.936,-
'[15:27:18.208]',-,0.455,-,0.665,0.905,0.221,2.141,84.109,-,6.750,-
'[15:27:18.216]',-,0.430,-,0.685,0.900,0.220,2.155,83.230,-,6.623,-
'[15:27:18.224]',-,0.400,-,0.715,0.945,0.218,2.169,82.292,-,6.496,-
'[15:27:18.232]',-,0.390,-,0.720,0.930,0.216,2.182,81.296,-,6.369,-
'[15:27:18.240]',-,0.375,-,0.730,0.950,0.214,2.192,80.358,-,6.242,-
'[15:27:18.248]',-,0.375,-,0.730,0.940,0.211,2.199,79.538,-,6.184,-
'[15:27:18.256]',-,0.360,-,0.745,0.960,0.209,2.209,78.776,-,6.125,-
'[15:27:18.264]',-,0.370,-,0.730,0.945,0.206,2.221,78.072,-,6.057,-
'[15:27:18.272]',-,0.355,-,0.750,0.965,0.203,2.233,77.428,-,6.057,-
'[15:27:18.280]',-,0.400,-,0.740,0.980,0.200,2.241,76.783,-,6.057,-
'[15:27:18.288]',-,0.395,-,0.745,1.035,0.197,2.246,76.255,-,6.057,-
'[15:27:18.296]',-,0.550,-,0.565,0.785,0.195,2.248,75.728,-,6.125,-
'[15:27:18.304]',-,0.625,-,0.455,0.560,0.193,2.249,75.200,-,6.125,-
'[15:27:18.312]',-,0.540,-,0.565,0.360,0.191,2.247,74.614,-,6.184,-
'[15:27:18.320]',-,0.365,-,0.715,0.335,0.189,2.239,74.087,-,6.242,-
'[15:27:18.328]',-,0.325,-,0.745,0.710,0.188,2.227,73.618,-,6.311,-
'[15:27:18.336]',-,0.335,-,0.735,0.875,0.187,2.204,73.149,-,6.438,-
'[15:27:18.344]',-,0.330,-,0.765,0.950,0.186,2.181,72.739,-,6.555,-
'[15:27:18.352]',-,0.320,-,0.780,0.990,0.185,2.162,72.387,-,6.682,-
'[15:27:18.360]',-,0.325,-,0.775,1.000,0.184,2.147,71.977,-,6.809,-
'[15:27:18.368]',-,0.320,-,0.780,0.985,0.183,2.136,71.625,-,6.994,-
'[15:27:18.376]',-,0.330,-,0.770,1.000,0.182,2.131,71.215,-,7.121,-
'[15:27:18.384]',-,0.335,-,0.765,0.995,0.181,2.128,70.863,-,7.307,-
'[15:27:18.392]',-,0.325,-,0.775,1.020,0.181,2.127,70.511,-,7.434,-
'[15:27:18.400]',-,0.345,-,0.760,0.995,0.181,2.126,70.042,-,7.620,-
'[15:27:18.408]',-,0.330,-,0.775,1.010,0.181,2.126,69.632,-,7.747,-
'[15:27:18.416]',-,0.345,-,0.760,0.995,0.182,2.126,69.163,-,7.874,-
'[15:27:18.424]',-,0.335,-,0.770,1.010,0.182,2.126,68.694,-,8.001,-
'[15:27:18.432]',-,0.345,-,0.760,0.990,0.183,2.119,68.225,-,8.001,-
'[15:27:18.440]',-,0.335,-,0.775,1.015,0.185,2.110,67.815,-,8.001,-
'[15:27:18.448]',-,0.345,-,0.765,0.995,0.187,2.103,67.288,-,7.874,-
'[15:27:18.456]',-,0.340,-,0.775,1.010,0.189,2.092,66.760,-,7.747,-
'[15:27:18.464]',-,0.350,-,0.765,0.985,0.191,2.084,66.233,-,7.620,-
'[15:27:18.472]',-,0.340,-,0.770,1.005,0.193,2.073,65.705,-,7.493,-
'[15:27:18.480]',-,0.350,-,0.760,0.990,0.195,2.063,65.236,-,7.375,-
'[15:27:18.488]',-,0.340,-,0.775,1.005,0.197,2.051,64.709,-,7.248,-
'[15:27:18.496]',-,0.350,-,0.765,0.990,0.200,2.032,64.357,-,7.121,-
'[15:27:18.504]',-,0.340,-,0.780,1.000,0.202,2.010,64.064,-,7.121,-
'[15:27:18.512]',-,0.360,-,0.765,0.985,0.205,1.989,64.181,-,7.180,-
'[15:27:18.520]',-,0.350,-,0.775,0.995,0.207,1.973,65.119,-,7.375,-
'[15:27:18.528]',-,0.365,-,0.760,1.000,0.210,1.955,67.581,-,7.620,-
'[15:27:18.536]',-,0.370,-,0.770,0.995,0.212,1.940,72.504,-,7.932,-
'[15:27:18.544]',-,0.380,-,0.755,1.005,0.214,1.934,79.538,-,8.313,-
'[15:27:18.552]',-,0.385,-,0.770,0.985,0.216,1.930,87.919,-,8.684,-
'[15:27:18.560]',-,0.380,-,0.775,1.000,0.218,1.928,95.832,-,8.938,-
'[15:27:18.568]',-,0.405,-,0.760,0.980,0.220,1.921,102.279,-,9.056,-
'[15:27:18.576]',-,0.420,-,0.765,0.995,0.221,1.911,106.968,-,9.056,-
'[15:27:18.584]',-,0.430,-,0.760,0.970,0.222,1.899,110.368,-,9.056,-
'[15:27:18.592]',-,0.425,-,0.775,0.985,0.223,1.888,113.006,-,9.124,-
'[15:27:18.600]',-,0.445,-,0.770,0.950,0.224,1.882,115.174,-,9.183,-
'[15:27:18.608]',-,0.445,-,0.790,0.960,0.224,1.872,117.226,-,9.251,-
'[15:27:18.616]',-,0.455,-,0.780,0.930,0.224,1.861,119.336,-,9.368,-
'[15:27:18.624]',-,0.450,-,0.800,0.945,0.223,1.856,121.563,-,9.495,-
'[15:27:18.632]',-,0.455,-,0.790,0.925,0.222,1.850,123.673,-,9.564,-
'[15:27:18.640]',-,0.440,-,0.805,0.940,0.221,1.841,125.490,-,9.495,-
'[15:27:18.648]',-,0.445,-,0.800,0.925,0.219,1.833,126.897,-,9.437,-
'[15:27:18.656]',-,0.425,-,0.810,0.950,0.218,1.823,127.952,-,9.310,-
'[15:27:18.664]',-,0.425,-,0.795,0.930,0.216,1.808,128.597,-,9.124,-
'[15:27:18.672]',-,0.405,-,0.800,0.955,0.214,1.792,129.124,-,8.938,-
'[15:27:18.680]',-,0.405,-,0.790,0.950,0.211,1.774,129.534,-,8.811,-
'[15:27:18.688]',-,0.390,-,0.795,0.980,0.208,1.760,130.003,-,8.626,-
'[15:27:18.696]',-,0.395,-,0.775,0.970,0.205,1.746,130.414,-,8.557,-
'[15:27:18.704]',-,0.385,-,0.775,0.990,0.202,1.736,130.824,-,8.499,-
'[15:27:18.712]',-,0.385,-,0.760,0.980,0.199,1.728,131.117,-,8.430,-
'[15:27:18.720]',-,0.375,-,0.770,0.995,0.196,1.724,131.234,-,8.372,-
'[15:27:18.728]',-,0.385,-,0.745,0.985,0.194,1.725,131.234,-,8.372,-
'[15:27:18.736]',-,0.390,-,0.750,0.980,0.190,1.726,130.941,-,8.313,-
'[15:27:18.744]',-,0.385,-,0.730,0.995,0.187,1.729,130.296,-,8.245,-
'[15:27:18.752]',-,0.400,-,0.740,0.985,0.183,1.731,129.241,-,8.186,-
'[15:27:18.760]',-,0.395,-,0.725,1.000,0.180,1.729,127.717,-,8.059,-
'[15:27:18.768]',-,0.405,-,0.720,0.975,0.177,1.728,125.725,-,8.001,-
'[15:27:18.776]',-,0.415,-,0.725,0.990,0.173,1.724,123.204,-,7.932,-
'[15:27:18.784]',-,0.425,-,0.705,0.965,0.171,1.719,119.981,-,7.805,-
'[15:27:18.792]',-,0.420,-,0.710,0.980,0.168,1.717,116.171,-,7.688,-
'[15:27:18.800]',-,0.435,-,0.695,0.965,0.166,1.712,111.833,-,7.561,-
'[15:27:18.808]',-,0.430,-,0.700,0.975,0.164,1.710,107.027,-,7.375,-
'[15:27:18.816]',-,0.440,-,0.690,0.955,0.162,1.715,102.279,-,7.248,-
'[15:27:18.824]',-,0.425,-,0.705,0.970,0.161,1.723,98.001,-,7.180,-
'[15:27:18.832]',-,0.430,-,0.690,0.950,0.160,1.734,94.718,-,7.121,-
'[15:27:18.840]',-,0.425,-,0.700,0.975,0.160,1.743,92.843,-,7.180,-
'[15:27:18.848]',-,0.430,-,0.685,0.950,0.160,1.753,92.198,-,7.307,-
'[15:27:18.856]',-,0.420,-,0.695,0.975,0.160,1.770,92.198,-,7.375,-
'[15:27:18.864]',-,0.425,-,0.690,0.950,0.161,1.792,92.432,-,7.434,-
'[15:27:18.872]',-,0.415,-,0.700,0.965,0.162,1.815,92.432,-,7.434,-
'[15:27:18.880]',-,0.425,-,0.690,0.945,0.162,1.839,92.198,-,7.375,-
'[15:27:18.888]',-,0.415,-,0.700,0.960,0.163,1.863,91.553,-,7.307,-
'[15:27:18.896]',-,0.425,-,0.685,0.950,0.165,1.889,90.674,-,7.307,-
'[15:27:18.904]',-,0.425,-,0.695,0.970,0.167,1.917,89.678,-,7.307,-
'[15:27:18.912]',-,0.455,-,0.670,0.965,0.169,1.952,88.681,-,7.375,-
'[15:27:18.920]',-,0.465,-,0.675,0.990,0.171,1.992,87.861,-,7.434,-
'[15:27:18.928]',-,0.495,-,0.640,0.970,0.173,2.027,87.275,-,7.493,-
'[15:27:18.936]',-,0.500,-,0.635,0.925,0.175,2.055,86.923,-,7.493,-
'[15:27:18.944]',-,0.505,-,0.650,0.895,0.177,2.078,86.630,-,7.434,-
'[15:27:18.952]',-,0.485,-,0.660,0.885,0.180,2.102,86.337,-,7.375,-
'[15:27:18.960]',-,0.480,-,0.650,0.900,0.182,2.123,85.985,-,7.248,-
'[15:27:18.968]',-,0.495,-,0.645,0.875,0.183,2.140,85.399,-,7.063,-
'[15:27:18.976]',-,0.470,-,0.660,0.900,0.184,2.154,84.754,-,6.936,-
'[15:27:18.984]',-,0.435,-,0.685,0.895,0.185,2.168,83.934,-,6.809,-
'[15:27:18.992]',-,0.420,-,0.700,0.935,0.186,2.181,83.054,-,6.623,-
'[15:27:19.000]',-,0.395,-,0.720,0.945,0.187,2.194,82.058,-,6.496,-
'[15:27:19.008]',-,0.375,-,0.730,0.965,0.188,2.206,81.120,-,6.369,-
'[15:27:19.016]',-,0.370,-,0.730,0.950,0.189,2.219,80.241,-,6.242,-
'[15:27:19.024]',-,0.360,-,0.745,0.960,0.189,2.232,79.420,-,6.125,-
'[15:27:19.032]',-,0.370,-,0.730,0.945,0.189,2.244,78.658,-,6.057,-
'[15:27:19.040]',-,0.360,-,0.745,0.970,0.189,2.254,78.014,-,6.057,-
'[15:27:19.048]',-,0.380,-,0.735,0.955,0.189,2.259,77.369,-,6.057,-
'[15:27:19.056]',-,0.400,-,0.750,1.030,0.190,2.264,76.724,-,6.057,-
'[15:27:19.064]',-,0.445,-,0.680,1.050,0.190,2.267,76.197,-,6.057,-
'[15:27:19.072]',-,0.590,-,0.525,0.740,0.190,2.262,75.611,-,6.057,-
'[15:27:19.080]',-,0.645,-,0.450,0.525,0.191,2.253,75.024,-,5.998,-
'[15:27:19.088]',-,0.495,-,0.615,0.350,0.191,2.242,74.556,-,6.057,-
'[15:27:19.096]',-,0.350,-,0.720,0.520,0.192,2.231,74.028,-,6.125,-
'[15:27:19.104]',-,0.325,-,0.745,0.770,0.192,2.219,73.618,-,6.184,-
'[15:27:19.112]',-,0.350,-,0.740,0.900,0.193,2.206,73.090,-,6.311,-
'[15:27:19.120]',-,0.330,-,0.770,0.975,0.194,2.195,72.739,-,6.438,-
'[15:27:19.128]',-,0.330,-,0.770,0.995,0.195,2.182,72.387,-,6.555,-
'[15:27:19.136]',-,0.310,-,0.785,1.015,0.196,2.169,71.977,-,6.750,-
'[15:27:19.144]',-,0.325,-,0.775,1.020,0.198,2.156,71.625,-,6.867,-
'[15:27:19.152]',-,0.330,-,0.780,0.995,0.200,2.148,71.215,-,6.994,-
'[15:27:19.160]',-,0.320,-,0.775,1.020,0.202,2.143,70.804,-,7.180,-
'[15:27:19.168]',-,0.330,-,0.775,1.010,0.204,2.137,70.394,-,7.307,-
