'Time','II','PLETH','I','ABP','III'
'[05:38:22.912]',-0.016,0.294,-,58.750,-
'[05:38:22.920]',-0.031,0.275,-,58.750,-
'[05:38:22.928]',-0.039,0.259,-,60.000,-
'[05:38:22.936]',-0.047,0.247,-,62.500,-
'[05:38:22.944]',-0.047,0.239,-,65.625,-
'[05:38:22.952]',-0.047,0.231,-,68.750,-
'[05:38:22.960]',-0.047,0.231,-,71.250,-
'[05:38:22.968]',-0.047,0.235,-,73.750,-
'[05:38:22.976]',-0.047,0.239,-,75.625,-
'[05:38:22.984]',-0.047,0.243,-,78.125,-
'[05:38:22.992]',-0.039,0.251,-,80.625,-
'[05:38:23.000]',-0.047,0.263,-,83.125,-
'[05:38:23.008]',-0.047,0.271,-,86.250,-
'[05:38:23.016]',-0.047,0.282,-,87.500,-
'[05:38:23.024]',-0.055,0.290,-,90.000,-
'[05:38:23.032]',-0.047,0.302,-,90.625,-
'[05:38:23.040]',-0.047,0.310,-,91.250,-
'[05:38:23.048]',-0.055,0.318,-,91.250,-
'[05:38:23.056]',-0.055,0.325,-,91.250,-
'[05:38:23.064]',-0.055,0.329,-,90.000,-
'[05:38:23.072]',-0.047,0.333,-,88.125,-
'[05:38:23.080]',-0.024,0.333,-,86.875,-
'[05:38:23.088]',-0.016,0.333,-,84.375,-
'[05:38:23.096]',0.008,0.333,-,81.875,-
'[05:38:23.104]',0.039,0.333,-,80.000,-
'[05:38:23.112]',0.055,0.329,-,76.875,-
'[05:38:23.120]',0.063,0.325,-,74.375,-
'[05:38:23.128]',0.055,0.322,-,71.875,-
'[05:38:23.136]',0.000,0.318,-,70.625,-
'[05:38:23.144]',-0.055,0.314,-,68.125,-
'[05:38:23.152]',-0.071,0.306,-,66.250,-
'[05:38:23.160]',-0.071,0.298,-,65.000,-
'[05:38:23.168]',-0.079,0.290,-,63.125,-
'[05:38:23.176]',-0.079,0.282,-,62.500,-
'[05:38:23.184]',-0.110,0.278,-,61.250,-
'[05:38:23.192]',-0.213,0.275,-,60.000,-
'[05:38:23.200]',0.134,0.275,-,60.000,-
'[05:38:23.208]',0.953,0.278,-,59.375,-
'[05:38:23.216]',1.283,0.290,-,59.375,-
'[05:38:23.224]',0.528,0.310,-,58.750,-
'[05:38:23.232]',-0.039,0.333,-,58.750,-
'[05:38:23.240]',-0.299,0.365,-,59.375,-
'[05:38:23.248]',-0.346,0.400,-,59.375,-
'[05:38:23.256]',-0.268,0.443,-,59.375,-
'[05:38:23.264]',-0.244,0.486,-,59.375,-
'[05:38:23.272]',-0.236,0.529,-,60.000,-
'[05:38:23.280]',-0.228,0.569,-,61.250,-
'[05:38:23.288]',-0.213,0.600,-,61.250,-
'[05:38:23.296]',-0.205,0.627,-,61.250,-
'[05:38:23.304]',-0.189,0.647,-,61.875,-
'[05:38:23.312]',-0.173,0.667,-,61.875,-
'[05:38:23.320]',-0.165,0.678,-,61.875,-
'[05:38:23.328]',-0.142,0.682,-,62.500,-
'[05:38:23.336]',-0.142,0.682,-,62.500,-
'[05:38:23.344]',-0.126,0.675,-,62.500,-
'[05:38:23.352]',-0.118,0.659,-,62.500,-
'[05:38:23.360]',-0.102,0.639,-,61.875,-
'[05:38:23.368]',-0.087,0.612,-,61.875,-
'[05:38:23.376]',-0.063,0.584,-,61.875,-
'[05:38:23.384]',-0.039,0.557,-,61.250,-
'[05:38:23.392]',-0.016,0.529,-,61.250,-
'[05:38:23.400]',0.000,0.498,-,60.000,-
'[05:38:23.408]',0.016,0.467,-,60.000,-
'[05:38:23.416]',0.024,0.435,-,59.375,-
'[05:38:23.424]',0.024,0.408,-,59.375,-
'[05:38:23.432]',0.024,0.380,-,58.750,-
'[05:38:23.440]',0.008,0.353,-,58.125,-
'[05:38:23.448]',-0.008,0.329,-,58.125,-
'[05:38:23.456]',-0.024,0.306,-,58.125,-
'[05:38:23.464]',-0.031,0.290,-,59.375,-
'[05:38:23.472]',-0.047,0.275,-,61.875,-
'[05:38:23.480]',-0.047,0.267,-,65.000,-
'[05:38:23.488]',-0.047,0.259,-,68.125,-
'[05:38:23.496]',-0.047,0.255,-,71.250,-
'[05:38:23.504]',-0.047,0.255,-,73.750,-
'[05:38:23.512]',-0.047,0.259,-,75.625,-
'[05:38:23.520]',-0.047,0.263,-,78.125,-
'[05:38:23.528]',-0.047,0.267,-,80.625,-
'[05:38:23.536]',-0.047,0.275,-,83.125,-
'[05:38:23.544]',-0.047,0.286,-,86.250,-
'[05:38:23.552]',-0.047,0.294,-,88.125,-
'[05:38:23.560]',-0.047,0.306,-,90.000,-
'[05:38:23.568]',-0.055,0.314,-,91.250,-
'[05:38:23.576]',-0.063,0.325,-,92.500,-
'[05:38:23.584]',-0.055,0.333,-,92.500,-
'[05:38:23.592]',-0.063,0.337,-,92.500,-
'[05:38:23.600]',-0.055,0.345,-,91.250,-
'[05:38:23.608]',-0.047,0.349,-,90.000,-
'[05:38:23.616]',-0.031,0.353,-,88.125,-
'[05:38:23.624]',-0.016,0.353,-,86.250,-
'[05:38:23.632]',0.008,0.357,-,83.750,-
'[05:38:23.640]',0.039,0.353,-,80.625,-
'[05:38:23.648]',0.047,0.353,-,78.125,-
'[05:38:23.656]',0.063,0.349,-,75.625,-
'[05:38:23.664]',0.071,0.345,-,73.750,-
'[05:38:23.672]',0.016,0.341,-,71.250,-
'[05:38:23.680]',-0.047,0.337,-,68.750,-
'[05:38:23.688]',-0.071,0.333,-,67.500,-
'[05:38:23.696]',-0.071,0.329,-,65.625,-
'[05:38:23.704]',-0.079,0.325,-,64.375,-
'[05:38:23.712]',-0.087,0.318,-,62.500,-
'[05:38:23.720]',-0.102,0.314,-,61.875,-
'[05:38:23.728]',-0.205,0.310,-,61.250,-
'[05:38:23.736]',-0.055,0.306,-,60.000,-
'[05:38:23.744]',0.693,0.310,-,59.375,-
'[05:38:23.752]',1.307,0.322,-,59.375,-
'[05:38:23.760]',0.764,0.337,-,59.375,-
'[05:38:23.768]',0.071,0.361,-,58.750,-
'[05:38:23.776]',-0.268,0.388,-,59.375,-
'[05:38:23.784]',-0.362,0.420,-,59.375,-
'[05:38:23.792]',-0.276,0.451,-,59.375,-
'[05:38:23.800]',-0.252,0.486,-,60.000,-
'[05:38:23.808]',-0.244,0.525,-,60.000,-
'[05:38:23.816]',-0.228,0.565,-,61.250,-
'[05:38:23.824]',-0.213,0.600,-,61.250,-
'[05:38:23.832]',-0.205,0.631,-,61.875,-
'[05:38:23.840]',-0.189,0.659,-,61.875,-
'[05:38:23.848]',-0.189,0.678,-,62.500,-
'[05:38:23.856]',-0.173,0.690,-,62.500,-
'[05:38:23.864]',-0.165,0.698,-,62.500,-
'[05:38:23.872]',-0.150,0.698,-,62.500,-
'[05:38:23.880]',-0.142,0.690,-,62.500,-
'[05:38:23.888]',-0.126,0.678,-,62.500,-
'[05:38:23.896]',-0.118,0.663,-,62.500,-
'[05:38:23.904]',-0.102,0.643,-,62.500,-
'[05:38:23.912]',-0.087,0.620,-,62.500,-
'[05:38:23.920]',-0.063,0.592,-,61.875,-
'[05:38:23.928]',-0.031,0.565,-,61.875,-
'[05:38:23.936]',-0.016,0.533,-,61.250,-
'[05:38:23.944]',0.000,0.498,-,61.250,-
'[05:38:23.952]',0.016,0.467,-,60.000,-
'[05:38:23.960]',0.024,0.435,-,59.375,-
'[05:38:23.968]',0.024,0.408,-,59.375,-
'[05:38:23.976]',0.008,0.380,-,58.750,-
'[05:38:23.984]',0.000,0.357,-,58.750,-
'[05:38:23.992]',-0.024,0.337,-,58.750,-
'[05:38:24.000]',-0.031,0.322,-,59.375,-
'[05:38:24.008]',-0.047,0.306,-,62.500,-
'[05:38:24.016]',-0.047,0.290,-,65.625,-
'[05:38:24.024]',-0.047,0.282,-,68.750,-
'[05:38:24.032]',-0.047,0.275,-,71.875,-
'[05:38:24.040]',-0.047,0.271,-,74.375,-
'[05:38:24.048]',-0.047,0.275,-,76.875,-
'[05:38:24.056]',-0.047,0.275,-,80.000,-
'[05:38:24.064]',-0.047,0.282,-,81.875,-
'[05:38:24.072]',-0.047,0.290,-,85.000,-
'[05:38:24.080]',-0.047,0.298,-,87.500,-
'[05:38:24.088]',-0.047,0.306,-,90.000,-
'[05:38:24.096]',-0.047,0.318,-,92.500,-
'[05:38:24.104]',-0.047,0.325,-,93.750,-
'[05:38:24.112]',-0.047,0.337,-,94.375,-
'[05:38:24.120]',-0.047,0.345,-,94.375,-
'[05:38:24.128]',-0.047,0.353,-,94.375,-
'[05:38:24.136]',-0.047,0.361,-,93.750,-
'[05:38:24.144]',-0.047,0.369,-,92.500,-
'[05:38:24.152]',-0.024,0.373,-,90.625,-
'[05:38:24.160]',-0.008,0.373,-,88.125,-
'[05:38:24.168]',0.016,0.373,-,86.250,-
'[05:38:24.176]',0.039,0.373,-,83.750,-
'[05:38:24.184]',0.071,0.373,-,80.625,-
'[05:38:24.192]',0.079,0.373,-,78.125,-
'[05:38:24.200]',0.079,0.369,-,75.625,-
'[05:38:24.208]',0.031,0.365,-,73.750,-
'[05:38:24.216]',-0.024,0.361,-,71.250,-
'[05:38:24.224]',-0.055,0.357,-,68.750,-
'[05:38:24.232]',-0.063,0.353,-,67.500,-
'[05:38:24.240]',-0.063,0.345,-,65.625,-
'[05:38:24.248]',-0.071,0.337,-,64.375,-
'[05:38:24.256]',-0.079,0.333,-,63.125,-
'[05:38:24.264]',-0.173,0.329,-,62.500,-
'[05:38:24.272]',-0.197,0.329,-,61.875,-
'[05:38:24.280]',0.614,0.333,-,61.250,-
'[05:38:24.288]',1.331,0.341,-,60.000,-
'[05:38:24.296]',0.874,0.357,-,60.000,-
'[05:38:24.304]',0.173,0.376,-,60.000,-
'[05:38:24.312]',-0.205,0.408,-,60.000,-
'[05:38:24.320]',-0.346,0.443,-,60.000,-
'[05:38:24.328]',-0.276,0.482,-,60.000,-
'[05:38:24.336]',-0.244,0.522,-,61.250,-
'[05:38:24.344]',-0.236,0.565,-,61.250,-
'[05:38:24.352]',-0.228,0.608,-,61.250,-
'[05:38:24.360]',-0.213,0.647,-,61.875,-
'[05:38:24.368]',-0.197,0.678,-,61.875,-
'[05:38:24.376]',-0.189,0.706,-,62.500,-
'[05:38:24.384]',-0.189,0.722,-,62.500,-
'[05:38:24.392]',-0.173,0.733,-,62.500,-
'[05:38:24.400]',-0.165,0.737,-,63.125,-
'[05:38:24.408]',-0.157,0.737,-,63.125,-
'[05:38:24.416]',-0.142,0.733,-,63.125,-
'[05:38:24.424]',-0.134,0.722,-,63.125,-
'[05:38:24.432]',-0.118,0.702,-,63.125,-
'[05:38:24.440]',-0.110,0.682,-,63.125,-
'[05:38:24.448]',-0.087,0.655,-,62.500,-
'[05:38:24.456]',-0.071,0.627,-,62.500,-
'[05:38:24.464]',-0.047,0.596,-,61.875,-
'[05:38:24.472]',-0.024,0.565,-,61.875,-
'[05:38:24.480]',-0.008,0.537,-,61.250,-
'[05:38:24.488]',0.016,0.510,-,61.250,-
'[05:38:24.496]',0.024,0.478,-,60.000,-
'[05:38:24.504]',0.024,0.451,-,59.375,-
'[05:38:24.512]',0.016,0.420,-,59.375,-
'[05:38:24.520]',0.000,0.392,-,58.750,-
'[05:38:24.528]',-0.008,0.369,-,59.375,-
'[05:38:24.536]',-0.024,0.349,-,60.000,-
'[05:38:24.544]',-0.031,0.329,-,63.125,-
'[05:38:24.552]',-0.039,0.314,-,67.500,-
'[05:38:24.560]',-0.047,0.306,-,70.625,-
'[05:38:24.568]',-0.047,0.298,-,73.750,-
'[05:38:24.576]',-0.047,0.294,-,75.625,-
'[05:38:24.584]',-0.039,0.298,-,78.125,-
'[05:38:24.592]',-0.039,0.298,-,81.250,-
'[05:38:24.600]',-0.039,0.306,-,83.750,-
'[05:38:24.608]',-0.031,0.310,-,86.875,-
'[05:38:24.616]',-0.031,0.318,-,90.000,-
'[05:38:24.624]',-0.039,0.329,-,92.500,-
'[05:38:24.632]',-0.031,0.337,-,93.750,-
'[05:38:24.640]',-0.039,0.349,-,95.625,-
'[05:38:24.648]',-0.031,0.357,-,96.250,-
'[05:38:24.656]',-0.031,0.369,-,96.250,-
'[05:38:24.664]',-0.039,0.376,-,95.625,-
'[05:38:24.672]',-0.031,0.380,-,94.375,-
'[05:38:24.680]',-0.031,0.388,-,93.125,-
'[05:38:24.688]',-0.016,0.388,-,91.250,-
'[05:38:24.696]',0.000,0.392,-,89.375,-
'[05:38:24.704]',0.024,0.392,-,86.875,-
'[05:38:24.712]',0.047,0.392,-,83.750,-
'[05:38:24.720]',0.071,0.392,-,81.250,-
'[05:38:24.728]',0.079,0.388,-,78.125,-
'[05:38:24.736]',0.094,0.384,-,75.625,-
'[05:38:24.744]',0.047,0.380,-,72.500,-
'[05:38:24.752]',-0.016,0.376,-,71.250,-
'[05:38:24.760]',-0.047,0.369,-,68.750,-
'[05:38:24.768]',-0.063,0.365,-,67.500,-
'[05:38:24.776]',-0.063,0.357,-,65.625,-
'[05:38:24.784]',-0.063,0.353,-,64.375,-
'[05:38:24.792]',-0.071,0.349,-,62.500,-
'[05:38:24.800]',-0.157,0.345,-,61.875,-
'[05:38:24.808]',-0.189,0.345,-,61.250,-
'[05:38:24.816]',0.575,0.349,-,60.000,-
'[05:38:24.824]',1.299,0.361,-,60.000,-
'[05:38:24.832]',0.921,0.376,-,59.375,-
'[05:38:24.840]',0.173,0.404,-,59.375,-
'[05:38:24.848]',-0.181,0.435,-,59.375,-
'[05:38:24.856]',-0.331,0.475,-,59.375,-
'[05:38:24.864]',-0.276,0.518,-,59.375,-
'[05:38:24.872]',-0.236,0.561,-,60.000,-
'[05:38:24.880]',-0.228,0.600,-,60.000,-
'[05:38:24.888]',-0.220,0.635,-,61.250,-
'[05:38:24.896]',-0.213,0.671,-,61.250,-
'[05:38:24.904]',-0.197,0.702,-,61.250,-
'[05:38:24.912]',-0.189,0.729,-,61.875,-
'[05:38:24.920]',-0.173,0.749,-,61.875,-
'[05:38:24.928]',-0.165,0.761,-,61.875,-
'[05:38:24.936]',-0.150,0.769,-,62.500,-
'[05:38:24.944]',-0.142,0.765,-,62.500,-
'[05:38:24.952]',-0.126,0.757,-,62.500,-
'[05:38:24.960]',-0.118,0.741,-,62.500,-
'[05:38:24.968]',-0.102,0.722,-,61.875,-
'[05:38:24.976]',-0.087,0.698,-,61.875,-
'[05:38:24.984]',-0.071,0.675,-,61.875,-
'[05:38:24.992]',-0.055,0.647,-,61.250,-
'[05:38:25.000]',-0.031,0.620,-,61.250,-
'[05:38:25.008]',-0.016,0.588,-,60.000,-
'[05:38:25.016]',0.000,0.553,-,60.000,-
'[05:38:25.024]',0.024,0.518,-,59.375,-
'[05:38:25.032]',0.031,0.486,-,59.375,-
'[05:38:25.040]',0.039,0.451,-,58.750,-
'[05:38:25.048]',0.024,0.420,-,58.125,-
'[05:38:25.056]',0.000,0.392,-,58.125,-
'[05:38:25.064]',-0.008,0.369,-,56.875,-
'[05:38:25.072]',-0.024,0.345,-,58.125,-
'[05:38:25.080]',-0.031,0.329,-,60.000,-
'[05:38:25.088]',-0.031,0.318,-,63.125,-
'[05:38:25.096]',-0.039,0.306,-,66.250,-
'[05:38:25.104]',-0.031,0.298,-,69.375,-
'[05:38:25.112]',-0.039,0.294,-,71.875,-
'[05:38:25.120]',-0.031,0.290,-,74.375,-
'[05:38:25.128]',-0.031,0.294,-,76.875,-
'[05:38:25.136]',-0.031,0.298,-,78.750,-
'[05:38:25.144]',-0.031,0.302,-,81.250,-
'[05:38:25.152]',-0.031,0.314,-,83.750,-
'[05:38:25.160]',-0.039,0.322,-,86.250,-
'[05:38:25.168]',-0.031,0.329,-,88.125,-
'[05:38:25.176]',-0.031,0.341,-,90.000,-
'[05:38:25.184]',-0.031,0.349,-,90.625,-
'[05:38:25.192]',-0.039,0.357,-,91.250,-
'[05:38:25.200]',-0.031,0.365,-,90.625,-
'[05:38:25.208]',-0.039,0.369,-,90.000,-
'[05:38:25.216]',-0.031,0.376,-,89.375,-
'[05:38:25.224]',-0.024,0.380,-,87.500,-
'[05:38:25.232]',0.000,0.380,-,85.000,-
'[05:38:25.240]',0.016,0.380,-,83.125,-
'[05:38:25.248]',0.039,0.380,-,80.625,-
'[05:38:25.256]',0.063,0.380,-,78.125,-
'[05:38:25.264]',0.079,0.376,-,75.625,-
'[05:38:25.272]',0.079,0.373,-,72.500,-
'[05:38:25.280]',0.055,0.369,-,70.625,-
'[05:38:25.288]',-0.016,0.365,-,68.750,-
'[05:38:25.296]',-0.047,0.357,-,66.250,-
'[05:38:25.304]',-0.063,0.353,-,65.000,-
'[05:38:25.312]',-0.063,0.345,-,63.125,-
'[05:38:25.320]',-0.071,0.337,-,62.500,-
'[05:38:25.328]',-0.063,0.329,-,61.250,-
'[05:38:25.336]',-0.165,0.325,-,60.000,-
'[05:38:25.344]',-0.197,0.322,-,59.375,-
'[05:38:25.352]',0.528,0.322,-,58.750,-
'[05:38:25.360]',1.283,0.329,-,58.125,-
'[05:38:25.368]',0.961,0.341,-,58.125,-
'[05:38:25.376]',0.181,0.361,-,58.125,-
'[05:38:25.384]',-0.189,0.380,-,58.125,-
'[05:38:25.392]',-0.331,0.404,-,58.125,-
'[05:38:25.400]',-0.276,0.439,-,58.125,-
'[05:38:25.408]',-0.228,0.475,-,58.125,-
'[05:38:25.416]',-0.220,0.514,-,58.750,-
'[05:38:25.424]',-0.213,0.553,-,58.750,-
'[05:38:25.432]',-0.197,0.592,-,59.375,-
'[05:38:25.440]',-0.189,0.620,-,59.375,-
'[05:38:25.448]',-0.181,0.639,-,59.375,-
'[05:38:25.456]',-0.173,0.659,-,60.000,-
'[05:38:25.464]',-0.157,0.671,-,60.000,-
'[05:38:25.472]',-0.142,0.678,-,60.000,-
'[05:38:25.480]',-0.134,0.682,-,61.250,-
'[05:38:25.488]',-0.118,0.678,-,61.250,-
'[05:38:25.496]',-0.110,0.667,-,61.250,-
'[05:38:25.504]',-0.094,0.655,-,60.000,-
'[05:38:25.512]',-0.079,0.635,-,60.000,-
'[05:38:25.520]',-0.055,0.616,-,60.000,-
'[05:38:25.528]',-0.031,0.588,-,60.000,-
'[05:38:25.536]',-0.008,0.561,-,59.375,-
'[05:38:25.544]',0.008,0.529,-,59.375,-
'[05:38:25.552]',0.024,0.502,-,58.750,-
'[05:38:25.560]',0.039,0.471,-,58.750,-
'[05:38:25.568]',0.047,0.439,-,58.125,-
'[05:38:25.576]',0.047,0.408,-,56.875,-
'[05:38:25.584]',0.039,0.384,-,56.875,-
'[05:38:25.592]',0.024,0.365,-,56.250,-
'[05:38:25.600]',0.000,0.341,-,56.250,-
'[05:38:25.608]',-0.008,0.322,-,56.250,-
'[05:38:25.616]',-0.016,0.302,-,58.125,-
'[05:38:25.624]',-0.024,0.286,-,60.000,-
'[05:38:25.632]',-0.031,0.275,-,62.500,-
'[05:38:25.640]',-0.031,0.263,-,65.625,-
'[05:38:25.648]',-0.031,0.259,-,68.750,-
'[05:38:25.656]',-0.031,0.255,-,70.625,-
'[05:38:25.664]',-0.024,0.259,-,72.500,-
'[05:38:25.672]',-0.024,0.259,-,74.375,-
'[05:38:25.680]',-0.024,0.267,-,76.875,-
'[05:38:25.688]',-0.031,0.271,-,78.750,-
'[05:38:25.696]',-0.031,0.278,-,81.250,-
'[05:38:25.704]',-0.031,0.286,-,83.750,-
'[05:38:25.712]',-0.039,0.298,-,85.000,-
'[05:38:25.720]',-0.039,0.306,-,86.250,-
'[05:38:25.728]',-0.047,0.314,-,86.875,-
'[05:38:25.736]',-0.039,0.322,-,86.875,-
'[05:38:25.744]',-0.047,0.329,-,86.875,-
'[05:38:25.752]',-0.031,0.337,-,86.250,-
'[05:38:25.760]',-0.016,0.341,-,84.375,-
'[05:38:25.768]',0.000,0.345,-,83.125,-
'[05:38:25.776]',0.031,0.349,-,80.625,-
'[05:38:25.784]',0.055,0.349,-,78.125,-
'[05:38:25.792]',0.071,0.349,-,75.625,-
'[05:38:25.800]',0.079,0.349,-,73.750,-
'[05:38:25.808]',0.063,0.345,-,71.250,-
'[05:38:25.816]',0.008,0.345,-,68.750,-
'[05:38:25.824]',-0.039,0.341,-,67.500,-
'[05:38:25.832]',-0.063,0.333,-,65.000,-
'[05:38:25.840]',-0.063,0.329,-,63.125,-
'[05:38:25.848]',-0.063,0.325,-,61.875,-
'[05:38:25.856]',-0.063,0.318,-,61.250,-
'[05:38:25.864]',-0.110,0.314,-,59.375,-
'[05:38:25.872]',-0.197,0.306,-,58.750,-
'[05:38:25.880]',0.181,0.302,-,58.125,-
'[05:38:25.888]',0.969,0.302,-,56.875,-
'[05:38:25.896]',1.283,0.306,-,56.250,-
'[05:38:25.904]',0.488,0.314,-,56.250,-
'[05:38:25.912]',-0.039,0.325,-,56.250,-
'[05:38:25.920]',-0.299,0.341,-,56.250,-
'[05:38:25.928]',-0.339,0.369,-,56.250,-
'[05:38:25.936]',-0.244,0.396,-,56.250,-
'[05:38:25.944]',-0.228,0.431,-,56.250,-
'[05:38:25.952]',-0.213,0.467,-,56.250,-
'[05:38:25.960]',-0.213,0.502,-,56.875,-
'[05:38:25.968]',-0.197,0.537,-,56.875,-
'[05:38:25.976]',-0.189,0.569,-,58.125,-
'[05:38:25.984]',-0.181,0.592,-,58.125,-
'[05:38:25.992]',-0.173,0.612,-,58.750,-
'[05:38:26.000]',-0.165,0.627,-,58.750,-
'[05:38:26.008]',-0.157,0.639,-,58.750,-
'[05:38:26.016]',-0.142,0.647,-,58.750,-
'[05:38:26.024]',-0.126,0.647,-,59.375,-
'[05:38:26.032]',-0.118,0.643,-,59.375,-
'[05:38:26.040]',-0.094,0.631,-,59.375,-
'[05:38:26.048]',-0.071,0.620,-,58.750,-
'[05:38:26.056]',-0.047,0.600,-,58.750,-
'[05:38:26.064]',-0.024,0.576,-,58.750,-
'[05:38:26.072]',-0.008,0.549,-,58.750,-
'[05:38:26.080]',0.008,0.525,-,58.125,-
'[05:38:26.088]',0.024,0.502,-,58.125,-
'[05:38:26.096]',0.039,0.475,-,56.875,-
'[05:38:26.104]',0.039,0.447,-,56.875,-
'[05:38:26.112]',0.031,0.420,-,56.250,-
'[05:38:26.120]',0.024,0.392,-,56.250,-
'[05:38:26.128]',0.000,0.369,-,55.625,-
'[05:38:26.136]',-0.008,0.341,-,55.625,-
'[05:38:26.144]',-0.016,0.322,-,56.250,-
'[05:38:26.152]',-0.024,0.302,-,58.750,-
'[05:38:26.160]',-0.031,0.286,-,61.875,-
'[05:38:26.168]',-0.031,0.275,-,65.000,-
'[05:38:26.176]',-0.039,0.267,-,67.500,-
'[05:38:26.184]',-0.031,0.259,-,69.375,-
'[05:38:26.192]',-0.031,0.259,-,71.875,-
'[05:38:26.200]',-0.031,0.259,-,73.750,-
'[05:38:26.208]',-0.031,0.259,-,75.625,-
'[05:38:26.216]',-0.031,0.263,-,78.125,-
'[05:38:26.224]',-0.039,0.271,-,80.625,-
'[05:38:26.232]',-0.047,0.278,-,83.125,-
'[05:38:26.240]',-0.039,0.286,-,85.000,-
'[05:38:26.248]',-0.047,0.294,-,86.250,-
'[05:38:26.256]',-0.039,0.306,-,87.500,-
'[05:38:26.264]',-0.039,0.314,-,87.500,-
'[05:38:26.272]',-0.047,0.322,-,87.500,-
'[05:38:26.280]',-0.031,0.329,-,86.875,-
'[05:38:26.288]',-0.016,0.337,-,85.000,-
'[05:38:26.296]',0.000,0.341,-,83.750,-
'[05:38:26.304]',0.016,0.345,-,81.875,-
'[05:38:26.312]',0.047,0.349,-,80.000,-
'[05:38:26.320]',0.063,0.353,-,77.500,-
'[05:38:26.328]',0.079,0.353,-,75.000,-
'[05:38:26.336]',0.071,0.353,-,72.500,-
'[05:38:26.344]',0.024,0.349,-,70.625,-
'[05:38:26.352]',-0.031,0.349,-,68.125,-
'[05:38:26.360]',-0.055,0.345,-,66.250,-
'[05:38:26.368]',-0.063,0.341,-,65.000,-
'[05:38:26.376]',-0.063,0.337,-,63.125,-
'[05:38:26.384]',-0.063,0.337,-,61.875,-
'[05:38:26.392]',-0.087,0.329,-,60.000,-
'[05:38:26.400]',-0.197,0.325,-,59.375,-
'[05:38:26.408]',0.087,0.322,-,58.750,-
'[05:38:26.416]',0.874,0.318,-,58.125,-
'[05:38:26.424]',1.307,0.318,-,56.875,-
'[05:38:26.432]',0.622,0.325,-,56.875,-
'[05:38:26.440]',0.024,0.333,-,56.250,-
'[05:38:26.448]',-0.276,0.353,-,56.250,-
'[05:38:26.456]',-0.331,0.376,-,56.250,-
'[05:38:26.464]',-0.260,0.404,-,56.250,-
'[05:38:26.472]',-0.236,0.439,-,56.250,-
'[05:38:26.480]',-0.228,0.471,-,56.875,-
'[05:38:26.488]',-0.213,0.498,-,56.875,-
'[05:38:26.496]',-0.197,0.533,-,56.875,-
'[05:38:26.504]',-0.189,0.565,-,58.125,-
'[05:38:26.512]',-0.181,0.596,-,58.125,-
'[05:38:26.520]',-0.165,0.624,-,58.750,-
'[05:38:26.528]',-0.157,0.647,-,58.750,-
'[05:38:26.536]',-0.142,0.663,-,59.375,-
'[05:38:26.544]',-0.134,0.671,-,59.375,-
'[05:38:26.552]',-0.126,0.675,-,59.375,-
'[05:38:26.560]',-0.118,0.675,-,59.375,-
'[05:38:26.568]',-0.094,0.663,-,59.375,-
'[05:38:26.576]',-0.071,0.651,-,59.375,-
'[05:38:26.584]',-0.047,0.635,-,59.375,-
'[05:38:26.592]',-0.031,0.616,-,59.375,-
'[05:38:26.600]',-0.008,0.592,-,58.750,-
'[05:38:26.608]',0.008,0.565,-,58.750,-
'[05:38:26.616]',0.024,0.537,-,58.750,-
'[05:38:26.624]',0.031,0.510,-,58.125,-
'[05:38:26.632]',0.039,0.478,-,58.125,-
'[05:38:26.640]',0.039,0.451,-,56.875,-
'[05:38:26.648]',0.024,0.424,-,56.250,-
'[05:38:26.656]',0.000,0.396,-,56.250,-
'[05:38:26.664]',-0.016,0.369,-,56.250,-
'[05:38:26.672]',-0.031,0.345,-,58.125,-
'[05:38:26.680]',-0.031,0.329,-,60.000,-
'[05:38:26.688]',-0.047,0.314,-,63.125,-
'[05:38:26.696]',-0.047,0.298,-,66.250,-
'[05:38:26.704]',-0.047,0.286,-,69.375,-
'[05:38:26.712]',-0.047,0.278,-,71.875,-
'[05:38:26.720]',-0.047,0.275,-,74.375,-
'[05:38:26.728]',-0.047,0.271,-,75.625,-
'[05:38:26.736]',-0.047,0.271,-,78.125,-
'[05:38:26.744]',-0.047,0.275,-,81.250,-
'[05:38:26.752]',-0.039,0.278,-,83.750,-
'[05:38:26.760]',-0.047,0.286,-,86.250,-
'[05:38:26.768]',-0.039,0.294,-,87.500,-
'[05:38:26.776]',-0.039,0.302,-,89.375,-
'[05:38:26.784]',-0.031,0.314,-,90.000,-
'[05:38:26.792]',-0.039,0.322,-,90.625,-
'[05:38:26.800]',-0.047,0.329,-,90.000,-
'[05:38:26.808]',-0.031,0.337,-,89.375,-
'[05:38:26.816]',-0.016,0.345,-,88.125,-
'[05:38:26.824]',0.000,0.353,-,86.875,-
'[05:38:26.832]',0.031,0.361,-,84.375,-
'[05:38:26.840]',0.055,0.365,-,83.125,-
'[05:38:26.848]',0.071,0.369,-,80.000,-
'[05:38:26.856]',0.079,0.369,-,77.500,-
'[05:38:26.864]',0.055,0.369,-,75.000,-
'[05:38:26.872]',-0.008,0.369,-,72.500,-
'[05:38:26.880]',-0.047,0.365,-,70.625,-
'[05:38:26.888]',-0.071,0.365,-,68.750,-
'[05:38:26.896]',-0.071,0.361,-,67.500,-
'[05:38:26.904]',-0.071,0.357,-,65.625,-
'[05:38:26.912]',-0.071,0.349,-,64.375,-
'[05:38:26.920]',-0.142,0.345,-,62.500,-
'[05:38:26.928]',-0.197,0.341,-,61.875,-
