'Time','II','ABP','PLETH','III'
'[16:39:10.744]',0.471,68.437,0.518,-
'[16:39:10.752]',0.471,77.812,0.506,-
'[16:39:10.760]',0.475,88.125,0.498,-
'[16:39:10.768]',0.478,95.625,0.490,-
'[16:39:10.776]',0.486,102.187,0.486,-
'[16:39:10.784]',0.486,107.812,0.478,-
'[16:39:10.792]',0.478,110.625,0.471,-
'[16:39:10.800]',0.478,112.500,0.467,-
'[16:39:10.808]',0.475,113.437,0.463,-
'[16:39:10.816]',0.471,112.500,0.455,-
'[16:39:10.824]',0.467,109.687,0.451,-
'[16:39:10.832]',0.467,107.812,0.447,-
'[16:39:10.840]',0.459,105.000,0.447,-
'[16:39:10.848]',0.459,102.187,0.443,-
'[16:39:10.856]',0.459,99.375,0.439,-
'[16:39:10.864]',0.459,97.500,0.431,-
'[16:39:10.872]',0.459,94.687,0.431,-
'[16:39:10.880]',0.459,92.812,0.427,-
'[16:39:10.888]',0.459,90.937,0.424,-
'[16:39:10.896]',0.467,89.062,0.420,-
'[16:39:10.904]',0.467,87.187,0.416,-
'[16:39:10.912]',0.467,85.312,0.412,-
'[16:39:10.920]',0.459,84.375,0.408,-
'[16:39:10.928]',0.459,82.500,0.404,-
'[16:39:10.936]',0.459,80.625,0.404,-
'[16:39:10.944]',0.459,78.750,0.400,-
'[16:39:10.952]',0.459,76.875,0.396,-
'[16:39:10.960]',0.475,74.062,0.392,-
'[16:39:10.968]',0.490,72.187,0.392,-
'[16:39:10.976]',0.506,69.375,0.392,-
'[16:39:10.984]',0.514,66.562,0.388,-
'[16:39:10.992]',0.529,64.687,0.388,-
'[16:39:11.000]',0.533,61.875,0.392,-
'[16:39:11.008]',0.541,60.000,0.396,-
'[16:39:11.016]',0.525,59.062,0.404,-
'[16:39:11.024]',0.498,57.187,0.412,-
'[16:39:11.032]',0.467,56.250,0.427,-
'[16:39:11.040]',0.431,55.312,0.443,-
'[16:39:11.048]',0.400,55.312,0.463,-
'[16:39:11.056]',0.396,54.375,0.486,-
'[16:39:11.064]',0.396,54.375,0.506,-
'[16:39:11.072]',0.396,54.375,0.525,-
'[16:39:11.080]',0.396,54.375,0.545,-
'[16:39:11.088]',0.388,53.437,0.565,-
'[16:39:11.096]',0.384,53.437,0.584,-
'[16:39:11.104]',0.404,53.437,0.604,-
'[16:39:11.112]',0.514,53.437,0.620,-
'[16:39:11.120]',0.686,53.437,0.639,-
'[16:39:11.128]',0.812,53.437,0.651,-
'[16:39:11.136]',0.827,52.500,0.663,-
'[16:39:11.144]',0.796,52.500,0.675,-
'[16:39:11.152]',0.741,52.500,0.682,-
'[16:39:11.160]',0.651,51.562,0.686,-
'[16:39:11.168]',0.557,51.562,0.690,-
'[16:39:11.176]',0.471,50.625,0.694,-
'[16:39:11.184]',0.420,50.625,0.694,-
'[16:39:11.192]',0.400,50.625,0.694,-
'[16:39:11.200]',0.396,49.687,0.690,-
'[16:39:11.208]',0.388,49.687,0.686,-
'[16:39:11.216]',0.388,48.750,0.682,-
'[16:39:11.224]',0.388,48.750,0.678,-
'[16:39:11.232]',0.388,47.812,0.671,-
'[16:39:11.240]',0.388,47.812,0.667,-
'[16:39:11.248]',0.396,46.875,0.659,-
'[16:39:11.256]',0.400,46.875,0.651,-
'[16:39:11.264]',0.404,45.937,0.639,-
'[16:39:11.272]',0.404,45.937,0.631,-
'[16:39:11.280]',0.404,45.000,0.624,-
'[16:39:11.288]',0.404,45.000,0.612,-
'[16:39:11.296]',0.404,44.062,0.604,-
'[16:39:11.304]',0.408,44.062,0.592,-
'[16:39:11.312]',0.416,43.125,0.580,-
'[16:39:11.320]',0.420,43.125,0.565,-
'[16:39:11.328]',0.420,43.125,0.553,-
'[16:39:11.336]',0.431,42.187,0.541,-
'[16:39:11.344]',0.435,43.125,0.529,-
'[16:39:11.352]',0.439,45.000,0.522,-
'[16:39:11.360]',0.439,48.750,0.510,-
'[16:39:11.368]',0.439,55.312,0.502,-
'[16:39:11.376]',0.443,63.750,0.498,-
'[16:39:11.384]',0.451,74.062,0.490,-
'[16:39:11.392]',0.455,83.437,0.482,-
'[16:39:11.400]',0.459,91.875,0.475,-
'[16:39:11.408]',0.459,99.375,0.467,-
'[16:39:11.416]',0.459,104.062,0.459,-
'[16:39:11.424]',0.459,107.812,0.455,-
'[16:39:11.432]',0.455,110.625,0.447,-
'[16:39:11.440]',0.451,110.625,0.443,-
'[16:39:11.448]',0.451,109.687,0.439,-
'[16:39:11.456]',0.443,107.812,0.431,-
'[16:39:11.464]',0.443,105.000,0.427,-
'[16:39:11.472]',0.443,102.187,0.424,-
'[16:39:11.480]',0.443,99.375,0.420,-
'[16:39:11.488]',0.443,97.500,0.416,-
'[16:39:11.496]',0.443,94.687,0.412,-
'[16:39:11.504]',0.443,91.875,0.408,-
'[16:39:11.512]',0.443,90.000,0.404,-
'[16:39:11.520]',0.443,88.125,0.404,-
'[16:39:11.528]',0.443,85.312,0.400,-
'[16:39:11.536]',0.443,83.437,0.396,-
'[16:39:11.544]',0.439,82.500,0.392,-
'[16:39:11.552]',0.439,80.625,0.392,-
'[16:39:11.560]',0.439,78.750,0.388,-
'[16:39:11.568]',0.439,76.875,0.388,-
'[16:39:11.576]',0.439,75.000,0.384,-
'[16:39:11.584]',0.439,72.187,0.380,-
'[16:39:11.592]',0.451,70.312,0.376,-
'[16:39:11.600]',0.467,67.500,0.373,-
'[16:39:11.608]',0.475,65.625,0.373,-
'[16:39:11.616]',0.486,62.812,0.369,-
'[16:39:11.624]',0.494,60.937,0.369,-
'[16:39:11.632]',0.506,59.062,0.369,-
'[16:39:11.640]',0.510,57.187,0.373,-
'[16:39:11.648]',0.514,56.250,0.380,-
'[16:39:11.656]',0.486,55.312,0.392,-
'[16:39:11.664]',0.459,54.375,0.404,-
'[16:39:11.672]',0.424,53.437,0.420,-
'[16:39:11.680]',0.388,53.437,0.435,-
'[16:39:11.688]',0.380,53.437,0.455,-
'[16:39:11.696]',0.380,52.500,0.478,-
'[16:39:11.704]',0.380,52.500,0.502,-
'[16:39:11.712]',0.380,53.437,0.525,-
'[16:39:11.720]',0.380,53.437,0.549,-
'[16:39:11.728]',0.373,53.437,0.573,-
'[16:39:11.736]',0.380,53.437,0.596,-
'[16:39:11.744]',0.467,53.437,0.616,-
'[16:39:11.752]',0.647,53.437,0.635,-
'[16:39:11.760]',0.808,52.500,0.655,-
'[16:39:11.768]',0.835,52.500,0.667,-
'[16:39:11.776]',0.780,52.500,0.675,-
'[16:39:11.784]',0.725,52.500,0.686,-
'[16:39:11.792]',0.651,51.562,0.694,-
'[16:39:11.800]',0.557,51.562,0.702,-
'[16:39:11.808]',0.471,50.625,0.710,-
'[16:39:11.816]',0.416,50.625,0.714,-
'[16:39:11.824]',0.388,49.687,0.718,-
'[16:39:11.832]',0.384,49.687,0.722,-
'[16:39:11.840]',0.380,48.750,0.722,-
'[16:39:11.848]',0.373,48.750,0.722,-
'[16:39:11.856]',0.373,47.812,0.722,-
'[16:39:11.864]',0.373,47.812,0.722,-
'[16:39:11.872]',0.373,46.875,0.718,-
'[16:39:11.880]',0.380,46.875,0.714,-
'[16:39:11.888]',0.384,45.937,0.710,-
'[16:39:11.896]',0.384,45.937,0.702,-
'[16:39:11.904]',0.388,45.000,0.698,-
'[16:39:11.912]',0.396,45.000,0.690,-
'[16:39:11.920]',0.396,45.000,0.678,-
'[16:39:11.928]',0.396,44.062,0.671,-
'[16:39:11.936]',0.404,44.062,0.663,-
'[16:39:11.944]',0.404,43.125,0.651,-
'[16:39:11.952]',0.416,43.125,0.643,-
'[16:39:11.960]',0.420,42.187,0.631,-
'[16:39:11.968]',0.420,42.187,0.624,-
'[16:39:11.976]',0.424,42.187,0.620,-
'[16:39:11.984]',0.431,43.125,0.612,-
'[16:39:11.992]',0.435,45.000,0.604,-
'[16:39:12.000]',0.435,50.625,0.596,-
'[16:39:12.008]',0.435,58.125,0.588,-
'[16:39:12.016]',0.439,67.500,0.584,-
'[16:39:12.024]',0.443,77.812,0.576,-
'[16:39:12.032]',0.451,87.187,0.573,-
'[16:39:12.040]',0.459,94.687,0.569,-
'[16:39:12.048]',0.459,101.250,0.561,-
'[16:39:12.056]',0.459,105.937,0.557,-
'[16:39:12.064]',0.451,108.750,0.553,-
'[16:39:12.072]',0.443,110.625,0.549,-
'[16:39:12.080]',0.443,109.687,0.545,-
'[16:39:12.088]',0.439,108.750,0.541,-
'[16:39:12.096]',0.439,105.937,0.537,-
'[16:39:12.104]',0.439,103.125,0.533,-
'[16:39:12.112]',0.435,100.312,0.529,-
'[16:39:12.120]',0.435,97.500,0.525,-
'[16:39:12.128]',0.439,94.687,0.525,-
'[16:39:12.136]',0.439,91.875,0.522,-
'[16:39:12.144]',0.439,89.062,0.522,-
'[16:39:12.152]',0.439,87.187,0.518,-
'[16:39:12.160]',0.439,85.312,0.518,-
'[16:39:12.168]',0.435,83.437,0.514,-
'[16:39:12.176]',0.435,80.625,0.514,-
'[16:39:12.184]',0.435,78.750,0.510,-
'[16:39:12.192]',0.439,76.875,0.506,-
'[16:39:12.200]',0.435,75.000,0.502,-
'[16:39:12.208]',0.435,73.125,0.498,-
'[16:39:12.216]',0.435,71.250,0.498,-
'[16:39:12.224]',0.439,68.437,0.494,-
'[16:39:12.232]',0.451,66.562,0.490,-
'[16:39:12.240]',0.467,63.750,0.486,-
'[16:39:12.248]',0.471,61.875,0.486,-
'[16:39:12.256]',0.478,59.062,0.486,-
'[16:39:12.264]',0.490,57.187,0.486,-
'[16:39:12.272]',0.506,56.250,0.490,-
'[16:39:12.280]',0.506,54.375,0.494,-
'[16:39:12.288]',0.490,54.375,0.502,-
'[16:39:12.296]',0.459,53.437,0.510,-
'[16:39:12.304]',0.435,53.437,0.522,-
'[16:39:12.312]',0.400,52.500,0.537,-
'[16:39:12.320]',0.384,52.500,0.557,-
'[16:39:12.328]',0.380,52.500,0.573,-
'[16:39:12.336]',0.380,52.500,0.596,-
'[16:39:12.344]',0.380,53.437,0.616,-
'[16:39:12.352]',0.384,53.437,0.635,-
'[16:39:12.360]',0.380,53.437,0.659,-
'[16:39:12.368]',0.373,53.437,0.675,-
'[16:39:12.376]',0.439,53.437,0.690,-
'[16:39:12.384]',0.600,53.437,0.702,-
'[16:39:12.392]',0.780,53.437,0.718,-
'[16:39:12.400]',0.847,53.437,0.729,-
'[16:39:12.408]',0.808,52.500,0.741,-
'[16:39:12.416]',0.745,52.500,0.749,-
'[16:39:12.424]',0.682,52.500,0.757,-
'[16:39:12.432]',0.592,51.562,0.765,-
'[16:39:12.440]',0.506,51.562,0.769,-
'[16:39:12.448]',0.439,50.625,0.773,-
'[16:39:12.456]',0.408,50.625,0.773,-
'[16:39:12.464]',0.396,50.625,0.773,-
'[16:39:12.472]',0.396,49.687,0.773,-
'[16:39:12.480]',0.388,49.687,0.769,-
'[16:39:12.488]',0.384,48.750,0.769,-
'[16:39:12.496]',0.384,48.750,0.765,-
'[16:39:12.504]',0.384,47.812,0.757,-
'[16:39:12.512]',0.396,47.812,0.749,-
'[16:39:12.520]',0.400,46.875,0.741,-
'[16:39:12.528]',0.404,46.875,0.733,-
'[16:39:12.536]',0.404,45.937,0.725,-
'[16:39:12.544]',0.408,45.937,0.714,-
'[16:39:12.552]',0.416,45.000,0.690,-
'[16:39:12.560]',0.416,45.000,0.663,-
'[16:39:12.568]',0.420,44.062,0.643,-
'[16:39:12.576]',0.424,44.062,0.627,-
'[16:39:12.584]',0.431,43.125,0.612,-
'[16:39:12.592]',0.435,43.125,0.600,-
'[16:39:12.600]',0.435,43.125,0.588,-
'[16:39:12.608]',0.439,43.125,0.576,-
'[16:39:12.616]',0.451,44.062,0.569,-
'[16:39:12.624]',0.455,46.875,0.557,-
'[16:39:12.632]',0.459,51.562,0.549,-
'[16:39:12.640]',0.459,59.062,0.541,-
'[16:39:12.648]',0.467,69.375,0.533,-
'[16:39:12.656]',0.475,79.687,0.525,-
'[16:39:12.664]',0.478,89.062,0.522,-
'[16:39:12.672]',0.486,97.500,0.514,-
'[16:39:12.680]',0.486,104.062,0.510,-
'[16:39:12.688]',0.478,108.750,0.506,-
'[16:39:12.696]',0.478,111.562,0.502,-
'[16:39:12.704]',0.471,112.500,0.498,-
'[16:39:12.712]',0.471,112.500,0.490,-
'[16:39:12.720]',0.471,110.625,0.486,-
'[16:39:12.728]',0.467,108.750,0.486,-
'[16:39:12.736]',0.467,105.937,0.482,-
'[16:39:12.744]',0.467,103.125,0.478,-
'[16:39:12.752]',0.467,100.312,0.475,-
'[16:39:12.760]',0.467,97.500,0.475,-
'[16:39:12.768]',0.467,95.625,0.471,-
'[16:39:12.776]',0.467,92.812,0.471,-
'[16:39:12.784]',0.467,90.937,0.467,-
'[16:39:12.792]',0.467,89.062,0.467,-
'[16:39:12.800]',0.467,87.187,0.463,-
'[16:39:12.808]',0.471,85.312,0.459,-
'[16:39:12.816]',0.471,83.437,0.455,-
'[16:39:12.824]',0.471,82.500,0.451,-
'[16:39:12.832]',0.471,80.625,0.447,-
'[16:39:12.840]',0.467,78.750,0.443,-
'[16:39:12.848]',0.467,75.937,0.439,-
'[16:39:12.856]',0.471,74.062,0.435,-
'[16:39:12.864]',0.486,72.187,0.431,-
'[16:39:12.872]',0.494,69.375,0.427,-
'[16:39:12.880]',0.506,66.562,0.424,-
'[16:39:12.888]',0.514,64.687,0.420,-
'[16:39:12.896]',0.525,61.875,0.416,-
'[16:39:12.904]',0.533,60.000,0.416,-
'[16:39:12.912]',0.533,59.062,0.420,-
'[16:39:12.920]',0.522,57.187,0.427,-
'[16:39:12.928]',0.494,56.250,0.439,-
'[16:39:12.936]',0.467,56.250,0.455,-
'[16:39:12.944]',0.431,55.312,0.478,-
'[16:39:12.952]',0.404,55.312,0.502,-
'[16:39:12.960]',0.404,54.375,0.525,-
'[16:39:12.968]',0.404,54.375,0.549,-
'[16:39:12.976]',0.408,54.375,0.569,-
'[16:39:12.984]',0.408,54.375,0.588,-
'[16:39:12.992]',0.404,54.375,0.612,-
'[16:39:13.000]',0.408,54.375,0.635,-
'[16:39:13.008]',0.471,54.375,0.655,-
'[16:39:13.016]',0.631,54.375,0.675,-
'[16:39:13.024]',0.800,54.375,0.690,-
'[16:39:13.032]',0.863,54.375,0.706,-
'[16:39:13.040]',0.831,54.375,0.714,-
'[16:39:13.048]',0.792,53.437,0.722,-
'[16:39:13.056]',0.722,53.437,0.722,-
'[16:39:13.064]',0.631,53.437,0.722,-
'[16:39:13.072]',0.533,52.500,0.718,-
'[16:39:13.080]',0.471,52.500,0.714,-
'[16:39:13.088]',0.435,51.562,0.706,-
'[16:39:13.096]',0.420,51.562,0.698,-
'[16:39:13.104]',0.420,51.562,0.690,-
'[16:39:13.112]',0.416,50.625,0.682,-
'[16:39:13.120]',0.416,50.625,0.671,-
'[16:39:13.128]',0.416,49.687,0.659,-
'[16:39:13.136]',0.416,49.687,0.647,-
'[16:39:13.144]',0.416,48.750,0.639,-
'[16:39:13.152]',0.420,48.750,0.627,-
'[16:39:13.160]',0.420,47.812,0.616,-
'[16:39:13.168]',0.420,47.812,0.604,-
'[16:39:13.176]',0.424,46.875,0.592,-
'[16:39:13.184]',0.435,46.875,0.580,-
'[16:39:13.192]',0.435,45.937,0.569,-
'[16:39:13.200]',0.439,45.937,0.557,-
'[16:39:13.208]',0.439,45.000,0.541,-
'[16:39:13.216]',0.443,45.000,0.529,-
'[16:39:13.224]',0.451,45.000,0.514,-
'[16:39:13.232]',0.459,44.062,0.502,-
'[16:39:13.240]',0.467,45.000,0.486,-
'[16:39:13.248]',0.471,46.875,0.471,-
'[16:39:13.256]',0.471,51.562,0.455,-
'[16:39:13.264]',0.478,58.125,0.443,-
'[16:39:13.272]',0.486,67.500,0.431,-
'[16:39:13.280]',0.486,77.812,0.420,-
'[16:39:13.288]',0.494,88.125,0.408,-
'[16:39:13.296]',0.498,96.562,0.400,-
'[16:39:13.304]',0.506,104.062,0.392,-
'[16:39:13.312]',0.498,108.750,0.380,-
'[16:39:13.320]',0.494,113.437,0.373,-
'[16:39:13.328]',0.490,115.312,0.369,-
'[16:39:13.336]',0.486,116.250,0.361,-
'[16:39:13.344]',0.478,115.312,0.353,-
'[16:39:13.352]',0.478,113.437,0.345,-
'[16:39:13.360]',0.478,110.625,0.341,-
'[16:39:13.368]',0.478,107.812,0.337,-
'[16:39:13.376]',0.478,105.937,0.333,-
'[16:39:13.384]',0.478,103.125,0.329,-
'[16:39:13.392]',0.478,101.250,0.325,-
'[16:39:13.400]',0.478,98.437,0.322,-
'[16:39:13.408]',0.478,96.562,0.318,-
'[16:39:13.416]',0.486,94.687,0.310,-
'[16:39:13.424]',0.486,93.750,0.306,-
'[16:39:13.432]',0.486,91.875,0.298,-
'[16:39:13.440]',0.478,90.000,0.290,-
'[16:39:13.448]',0.478,89.062,0.286,-
'[16:39:13.456]',0.478,87.187,0.278,-
'[16:39:13.464]',0.478,85.312,0.275,-
'[16:39:13.472]',0.478,83.437,0.271,-
'[16:39:13.480]',0.475,81.562,0.267,-
'[16:39:13.488]',0.486,79.687,0.259,-
'[16:39:13.496]',0.498,77.812,0.259,-
'[16:39:13.504]',0.514,75.000,0.255,-
'[16:39:13.512]',0.525,73.125,0.255,-
'[16:39:13.520]',0.529,70.312,0.255,-
'[16:39:13.528]',0.541,67.500,0.259,-
'[16:39:13.536]',0.549,64.687,0.267,-
'[16:39:13.544]',0.541,62.812,0.275,-
'[16:39:13.552]',0.522,60.937,0.290,-
'[16:39:13.560]',0.490,59.062,0.310,-
'[16:39:13.568]',0.455,58.125,0.329,-
'[16:39:13.576]',0.424,57.187,0.353,-
'[16:39:13.584]',0.416,56.250,0.376,-
'[16:39:13.592]',0.416,55.312,0.404,-
'[16:39:13.600]',0.420,55.312,0.435,-
'[16:39:13.608]',0.420,55.312,0.463,-
'[16:39:13.616]',0.420,55.312,0.490,-
'[16:39:13.624]',0.416,54.375,0.518,-
'[16:39:13.632]',0.424,54.375,0.545,-
'[16:39:13.640]',0.510,54.375,0.569,-
'[16:39:13.648]',0.675,54.375,0.588,-
'[16:39:13.656]',0.820,54.375,0.608,-
'[16:39:13.664]',0.863,54.375,0.624,-
'[16:39:13.672]',0.831,54.375,0.631,-
'[16:39:13.680]',0.784,54.375,0.643,-
'[16:39:13.688]',0.714,53.437,0.651,-
'[16:39:13.696]',0.612,53.437,0.659,-
'[16:39:13.704]',0.522,53.437,0.667,-
'[16:39:13.712]',0.455,52.500,0.671,-
'[16:39:13.720]',0.431,52.500,0.675,-
'[16:39:13.728]',0.416,52.500,0.675,-
'[16:39:13.736]',0.416,51.562,0.675,-
'[16:39:13.744]',0.408,51.562,0.675,-
'[16:39:13.752]',0.404,50.625,0.671,-
'[16:39:13.760]',0.408,50.625,0.663,-
'[16:39:13.768]',0.416,49.687,0.659,-
'[16:39:13.776]',0.416,49.687,0.651,-
'[16:39:13.784]',0.416,48.750,0.643,-
'[16:39:13.792]',0.416,48.750,0.631,-
'[16:39:13.800]',0.416,47.812,0.620,-
'[16:39:13.808]',0.420,47.812,0.608,-
'[16:39:13.816]',0.424,46.875,0.592,-
'[16:39:13.824]',0.424,46.875,0.576,-
'[16:39:13.832]',0.435,45.937,0.561,-
'[16:39:13.840]',0.435,45.937,0.545,-
'[16:39:13.848]',0.439,45.000,0.525,-
'[16:39:13.856]',0.443,45.000,0.510,-
'[16:39:13.864]',0.451,45.000,0.494,-
'[16:39:13.872]',0.459,45.937,0.482,-
'[16:39:13.880]',0.467,47.812,0.467,-
'[16:39:13.888]',0.467,52.500,0.451,-
'[16:39:13.896]',0.471,60.937,0.435,-
'[16:39:13.904]',0.475,70.312,0.420,-
'[16:39:13.912]',0.478,80.625,0.404,-
'[16:39:13.920]',0.486,90.000,0.392,-
'[16:39:13.928]',0.486,98.437,0.380,-
'[16:39:13.936]',0.486,105.000,0.365,-
'[16:39:13.944]',0.486,109.687,0.357,-
'[16:39:13.952]',0.486,113.437,0.345,-
'[16:39:13.960]',0.478,115.312,0.333,-
'[16:39:13.968]',0.471,115.312,0.325,-
'[16:39:13.976]',0.471,114.375,0.322,-
'[16:39:13.984]',0.471,111.562,0.314,-
'[16:39:13.992]',0.467,109.687,0.306,-
'[16:39:14.000]',0.467,106.875,0.298,-
'[16:39:14.008]',0.467,104.062,0.294,-
'[16:39:14.016]',0.467,102.187,0.286,-
'[16:39:14.024]',0.467,99.375,0.278,-
'[16:39:14.032]',0.467,97.500,0.271,-
'[16:39:14.040]',0.467,95.625,0.263,-
'[16:39:14.048]',0.467,93.750,0.255,-
'[16:39:14.056]',0.471,92.812,0.247,-
'[16:39:14.064]',0.471,90.937,0.239,-
'[16:39:14.072]',0.471,89.062,0.231,-
'[16:39:14.080]',0.471,88.125,0.224,-
'[16:39:14.088]',0.467,86.250,0.216,-
'[16:39:14.096]',0.467,84.375,0.208,-
'[16:39:14.104]',0.467,82.500,0.200,-
'[16:39:14.112]',0.467,80.625,0.192,-
'[16:39:14.120]',0.478,78.750,0.184,-
'[16:39:14.128]',0.498,75.937,0.180,-
'[16:39:14.136]',0.510,74.062,0.173,-
'[16:39:14.144]',0.525,71.250,0.169,-
'[16:39:14.152]',0.533,68.437,0.169,-
'[16:39:14.160]',0.541,65.625,0.169,-
'[16:39:14.168]',0.545,63.750,0.176,-
'[16:39:14.176]',0.533,60.937,0.184,-
'[16:39:14.184]',0.510,60.000,0.196,-
'[16:39:14.192]',0.486,58.125,0.212,-
'[16:39:14.200]',0.443,57.187,0.231,-
'[16:39:14.208]',0.416,56.250,0.255,-
'[16:39:14.216]',0.404,55.312,0.282,-
'[16:39:14.224]',0.400,55.312,0.310,-
'[16:39:14.232]',0.400,55.312,0.341,-
'[16:39:14.240]',0.404,54.375,0.373,-
'[16:39:14.248]',0.404,54.375,0.400,-
'[16:39:14.256]',0.400,54.375,0.427,-
'[16:39:14.264]',0.408,54.375,0.451,-
'[16:39:14.272]',0.490,54.375,0.471,-
'[16:39:14.280]',0.655,54.375,0.494,-
'[16:39:14.288]',0.800,54.375,0.514,-
'[16:39:14.296]',0.839,54.375,0.529,-
'[16:39:14.304]',0.827,54.375,0.545,-
'[16:39:14.312]',0.780,53.437,0.561,-
'[16:39:14.320]',0.706,53.437,0.576,-
'[16:39:14.328]',0.600,53.437,0.588,-
'[16:39:14.336]',0.498,52.500,0.600,-
'[16:39:14.344]',0.439,52.500,0.608,-
'[16:39:14.352]',0.416,52.500,0.616,-
'[16:39:14.360]',0.400,51.562,0.620,-
'[16:39:14.368]',0.396,51.562,0.620,-
'[16:39:14.376]',0.396,50.625,0.620,-
'[16:39:14.384]',0.400,50.625,0.620,-
'[16:39:14.392]',0.400,49.687,0.616,-
'[16:39:14.400]',0.400,49.687,0.612,-
'[16:39:14.408]',0.400,48.750,0.604,-
'[16:39:14.416]',0.404,48.750,0.596,-
'[16:39:14.424]',0.408,47.812,0.588,-
'[16:39:14.432]',0.408,47.812,0.576,-
'[16:39:14.440]',0.416,46.875,0.565,-
'[16:39:14.448]',0.416,46.875,0.549,-
'[16:39:14.456]',0.420,45.937,0.533,-
'[16:39:14.464]',0.420,45.937,0.522,-
'[16:39:14.472]',0.424,45.937,0.510,-
'[16:39:14.480]',0.431,45.000,0.494,-
'[16:39:14.488]',0.435,45.000,0.478,-
'[16:39:14.496]',0.439,45.000,0.467,-
'[16:39:14.504]',0.443,45.000,0.455,-
'[16:39:14.512]',0.443,47.812,0.439,-
'[16:39:14.520]',0.451,52.500,0.427,-
'[16:39:14.528]',0.459,60.000,0.416,-
'[16:39:14.536]',0.467,69.375,0.404,-
'[16:39:14.544]',0.471,79.687,0.392,-
'[16:39:14.552]',0.478,89.062,0.380,-
'[16:39:14.560]',0.486,97.500,0.373,-
'[16:39:14.568]',0.486,104.062,0.369,-
'[16:39:14.576]',0.478,108.750,0.361,-
'[16:39:14.584]',0.478,112.500,0.353,-
'[16:39:14.592]',0.475,114.375,0.349,-
'[16:39:14.600]',0.471,114.375,0.357,-
'[16:39:14.608]',0.471,113.437,0.376,-
'[16:39:14.616]',0.467,111.562,0.384,-
'[16:39:14.624]',0.467,108.750,0.384,-
'[16:39:14.632]',0.459,105.937,0.380,-
'[16:39:14.640]',0.459,103.125,0.376,-
'[16:39:14.648]',0.459,101.250,0.373,-
'[16:39:14.656]',0.459,98.437,0.369,-
'[16:39:14.664]',0.459,96.562,0.365,-
'[16:39:14.672]',0.459,94.687,0.361,-
'[16:39:14.680]',0.459,92.812,0.361,-
'[16:39:14.688]',0.467,90.937,0.357,-
'[16:39:14.696]',0.467,89.062,0.353,-
'[16:39:14.704]',0.467,88.125,0.345,-
'[16:39:14.712]',0.467,86.250,0.341,-
'[16:39:14.720]',0.467,84.375,0.337,-
'[16:39:14.728]',0.459,83.437,0.333,-
'[16:39:14.736]',0.459,81.562,0.325,-
'[16:39:14.744]',0.459,79.687,0.322,-
'[16:39:14.752]',0.475,76.875,0.318,-
'[16:39:14.760]',0.490,75.000,0.314,-
'[16:39:14.768]',0.506,72.187,0.310,-
'[16:39:14.776]',0.522,69.375,0.306,-
'[16:39:14.784]',0.529,66.562,0.306,-
'[16:39:14.792]',0.529,64.687,0.306,-
'[16:39:14.800]',0.533,61.875,0.306,-
'[16:39:14.808]',0.525,60.000,0.314,-
'[16:39:14.816]',0.498,59.062,0.322,-
'[16:39:14.824]',0.471,58.125,0.333,-
'[16:39:14.832]',0.431,57.187,0.349,-
'[16:39:14.840]',0.400,56.250,0.369,-
'[16:39:14.848]',0.396,55.312,0.392,-
'[16:39:14.856]',0.396,55.312,0.416,-
'[16:39:14.864]',0.396,54.375,0.439,-
'[16:39:14.872]',0.400,54.375,0.459,-
'[16:39:14.880]',0.396,54.375,0.482,-
'[16:39:14.888]',0.388,54.375,0.506,-
'[16:39:14.896]',0.400,54.375,0.525,-
'[16:39:14.904]',0.475,54.375,0.545,-
'[16:39:14.912]',0.639,54.375,0.561,-
'[16:39:14.920]',0.784,54.375,0.576,-
'[16:39:14.928]',0.835,54.375,0.592,-
'[16:39:14.936]',0.820,54.375,0.600,-
'[16:39:14.944]',0.780,53.437,0.612,-
'[16:39:14.952]',0.706,53.437,0.616,-
'[16:39:14.960]',0.600,53.437,0.620,-
'[16:39:14.968]',0.506,52.500,0.624,-
'[16:39:14.976]',0.443,52.500,0.624,-
'[16:39:14.984]',0.416,52.500,0.620,-
'[16:39:14.992]',0.400,51.562,0.620,-
'[16:39:15.000]',0.400,51.562,0.616,-
'[16:39:15.008]',0.396,50.625,0.608,-
'[16:39:15.016]',0.396,50.625,0.604,-
'[16:39:15.024]',0.400,49.687,0.596,-
'[16:39:15.032]',0.400,49.687,0.584,-
'[16:39:15.040]',0.400,48.750,0.576,-
'[16:39:15.048]',0.404,48.750,0.565,-
'[16:39:15.056]',0.404,47.812,0.549,-
'[16:39:15.064]',0.408,47.812,0.537,-
'[16:39:15.072]',0.416,46.875,0.525,-
'[16:39:15.080]',0.416,46.875,0.514,-
'[16:39:15.088]',0.420,45.937,0.498,-
'[16:39:15.096]',0.420,45.937,0.482,-
'[16:39:15.104]',0.424,45.000,0.463,-
'[16:39:15.112]',0.435,45.000,0.447,-
'[16:39:15.120]',0.435,45.000,0.431,-
'[16:39:15.128]',0.439,44.062,0.416,-
'[16:39:15.136]',0.443,45.000,0.400,-
'[16:39:15.144]',0.451,46.875,0.388,-
'[16:39:15.152]',0.451,51.562,0.373,-
'[16:39:15.160]',0.455,59.062,0.365,-
'[16:39:15.168]',0.459,67.500,0.353,-
'[16:39:15.176]',0.467,77.812,0.345,-
'[16:39:15.184]',0.467,88.125,0.333,-
'[16:39:15.192]',0.471,96.562,0.325,-
'[16:39:15.200]',0.471,103.125,0.318,-
'[16:39:15.208]',0.471,108.750,0.310,-
