'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP'
'[16:11:24.712]',-,0.525,-,0.449,0.278,-,-,0.376,-
'[16:11:24.720]',-,0.515,-,0.466,0.269,-,-,0.370,-
'[16:11:24.728]',-,0.510,-,0.471,0.269,-,-,0.364,-
'[16:11:24.736]',-,0.495,-,0.480,0.275,-,-,0.357,-
'[16:11:24.744]',-,0.490,-,0.485,0.278,-,-,0.351,-
'[16:11:24.752]',-,0.495,-,0.480,0.275,-,-,0.345,-
'[16:11:24.760]',-,0.490,-,0.480,0.269,-,-,0.339,-
'[16:11:24.768]',-,0.470,-,0.495,0.269,-,-,0.335,-
'[16:11:24.776]',-,0.455,-,0.510,0.269,-,-,0.331,-
'[16:11:24.784]',-,0.445,-,0.515,0.265,-,-,0.327,-
'[16:11:24.792]',-,0.445,-,0.520,0.265,-,-,0.323,-
'[16:11:24.800]',-,0.440,-,0.520,0.265,-,-,0.319,-
'[16:11:24.808]',-,0.430,-,0.529,0.259,-,-,0.315,-
'[16:11:24.816]',-,0.415,-,0.546,0.249,-,-,0.310,-
'[16:11:24.824]',-,0.415,-,0.556,0.249,-,-,0.307,-
'[16:11:24.832]',-,0.425,-,0.539,0.255,-,-,0.303,-
'[16:11:24.840]',-,0.445,-,0.524,0.265,-,-,0.300,-
'[16:11:24.848]',-,0.460,-,0.520,0.275,-,-,0.296,-
'[16:11:24.856]',-,0.480,-,0.500,0.294,-,-,0.292,-
'[16:11:24.864]',-,0.510,-,0.471,0.314,-,-,0.289,-
'[16:11:24.872]',-,0.535,-,0.454,0.335,-,-,0.286,-
'[16:11:24.880]',-,0.540,-,0.454,0.349,-,-,0.284,-
'[16:11:24.888]',-,0.540,-,0.454,0.365,-,-,0.282,-
'[16:11:24.896]',-,0.540,-,0.454,0.365,-,-,0.280,-
'[16:11:24.904]',-,0.545,-,0.454,0.365,-,-,0.277,-
'[16:11:24.912]',-,0.560,-,0.439,0.371,-,-,0.274,-
'[16:11:24.920]',-,0.575,-,0.425,0.375,-,-,0.271,-
'[16:11:24.928]',-,0.580,-,0.425,0.371,-,-,0.269,-
'[16:11:24.936]',-,0.575,-,0.425,0.365,-,-,0.267,-
'[16:11:24.944]',-,0.565,-,0.434,0.355,-,-,0.265,-
'[16:11:24.952]',-,0.555,-,0.444,0.355,-,-,0.263,-
'[16:11:24.960]',-,0.555,-,0.449,0.355,-,-,0.260,-
'[16:11:24.968]',-,0.555,-,0.444,0.349,-,-,0.258,-
'[16:11:24.976]',-,0.560,-,0.434,0.349,-,-,0.256,-
'[16:11:24.984]',-,0.560,-,0.444,0.349,-,-,0.253,-
'[16:11:24.992]',-,0.555,-,0.444,0.349,-,-,0.250,-
'[16:11:25.000]',-,0.575,-,0.425,0.355,-,-,0.247,-
'[16:11:25.008]',-,0.585,-,0.415,0.359,-,-,0.245,-
'[16:11:25.016]',-,0.575,-,0.420,0.359,-,-,0.244,-
'[16:11:25.024]',-,0.560,-,0.434,0.355,-,-,0.247,-
'[16:11:25.032]',-,0.535,-,0.449,0.345,-,-,0.253,-
'[16:11:25.040]',-,0.530,-,0.461,0.345,-,-,0.263,-
'[16:11:25.048]',-,0.530,-,0.461,0.345,-,-,0.278,-
'[16:11:25.056]',-,0.525,-,0.461,0.349,-,-,0.298,-
'[16:11:25.064]',-,0.520,-,0.461,0.349,-,-,0.324,-
'[16:11:25.072]',-,0.520,-,0.461,0.349,-,-,0.347,-
'[16:11:25.080]',-,0.530,-,0.449,0.349,-,-,0.370,-
'[16:11:25.088]',-,0.545,-,0.434,0.355,-,-,0.399,-
'[16:11:25.096]',-,0.555,-,0.434,0.349,-,-,0.427,-
'[16:11:25.104]',-,0.540,-,0.449,0.349,-,-,0.457,-
'[16:11:25.112]',-,0.540,-,0.454,0.349,-,-,0.485,-
'[16:11:25.120]',-,0.535,-,0.461,0.349,-,-,0.512,-
'[16:11:25.128]',-,0.525,-,0.471,0.349,-,-,0.538,-
'[16:11:25.136]',-,0.530,-,0.461,0.355,-,-,0.561,-
'[16:11:25.144]',-,0.540,-,0.454,0.371,-,-,0.583,-
'[16:11:25.152]',-,0.555,-,0.444,0.384,-,-,0.602,-
'[16:11:25.160]',-,0.580,-,0.425,0.390,-,-,0.619,-
'[16:11:25.168]',-,0.611,-,0.400,0.384,-,-,0.631,-
'[16:11:25.176]',-,0.630,-,0.390,0.371,-,-,0.641,-
'[16:11:25.184]',-,0.605,-,0.410,0.349,-,-,0.651,-
'[16:11:25.192]',-,0.570,-,0.439,0.329,-,-,0.660,-
'[16:11:25.200]',-,0.545,-,0.454,0.329,-,-,0.668,-
'[16:11:25.208]',-,0.530,-,0.461,0.335,-,-,0.674,-
'[16:11:25.216]',-,0.515,-,0.461,0.339,-,-,0.677,-
'[16:11:25.224]',-,0.495,-,0.476,0.345,-,-,0.679,-
'[16:11:25.232]',-,0.490,-,0.480,0.345,-,-,0.679,-
'[16:11:25.240]',-,0.495,-,0.476,0.335,-,-,0.676,-
'[16:11:25.248]',-,0.520,-,0.454,0.335,-,-,0.671,-
'[16:11:25.256]',-,0.530,-,0.449,0.339,-,-,0.662,-
'[16:11:25.264]',-,0.500,-,0.485,0.329,-,-,0.651,-
'[16:11:25.272]',-,0.480,-,0.505,0.324,-,-,0.639,-
'[16:11:25.280]',-,0.485,-,0.510,0.324,-,-,0.627,-
'[16:11:25.288]',-,0.490,-,0.495,0.335,-,-,0.612,-
'[16:11:25.296]',-,0.470,-,0.510,0.339,-,-,0.596,-
'[16:11:25.304]',-,0.555,-,0.466,0.304,-,-,0.580,-
'[16:11:25.312]',-,0.786,-,0.325,0.249,-,-,0.562,-
'[16:11:25.320]',-,0.950,-,0.225,0.224,-,-,0.545,-
'[16:11:25.328]',-,0.775,-,0.330,0.249,-,-,0.529,-
'[16:11:25.336]',-,0.395,-,0.561,0.304,-,-,0.513,-
'[16:11:25.344]',-,0.159,-,0.715,0.404,-,-,0.499,-
'[16:11:25.352]',-,0.135,-,0.740,0.535,-,-,0.487,-
'[16:11:25.360]',-,0.185,-,0.709,0.641,-,-,0.475,-
'[16:11:25.368]',-,0.235,-,0.680,0.676,-,-,0.466,-
'[16:11:25.376]',-,0.305,-,0.635,0.600,-,-,0.458,-
'[16:11:25.384]',-,0.395,-,0.570,0.439,-,-,0.453,-
'[16:11:25.392]',-,0.470,-,0.515,0.329,-,-,0.447,-
'[16:11:25.400]',-,0.515,-,0.476,0.300,-,-,0.441,-
'[16:11:25.408]',-,0.535,-,0.454,0.300,-,-,0.435,-
'[16:11:25.416]',-,0.545,-,0.449,0.294,-,-,0.429,-
'[16:11:25.424]',-,0.540,-,0.461,0.290,-,-,0.423,-
'[16:11:25.432]',-,0.535,-,0.461,0.290,-,-,0.417,-
'[16:11:25.440]',-,0.540,-,0.454,0.290,-,-,0.410,-
'[16:11:25.448]',-,0.555,-,0.449,0.290,-,-,0.402,-
'[16:11:25.456]',-,0.555,-,0.444,0.290,-,-,0.393,-
'[16:11:25.464]',-,0.550,-,0.449,0.284,-,-,0.385,-
'[16:11:25.472]',-,0.545,-,0.454,0.284,-,-,0.378,-
'[16:11:25.480]',-,0.560,-,0.430,0.300,-,-,0.371,-
'[16:11:25.488]',-,0.575,-,0.420,0.310,-,-,0.364,-
'[16:11:25.496]',-,0.555,-,0.439,0.300,-,-,0.357,-
'[16:11:25.504]',-,0.535,-,0.461,0.290,-,-,0.349,-
'[16:11:25.512]',-,0.535,-,0.454,0.294,-,-,0.341,-
'[16:11:25.520]',-,0.540,-,0.454,0.300,-,-,0.334,-
'[16:11:25.528]',-,0.530,-,0.461,0.290,-,-,0.326,-
'[16:11:25.536]',-,0.525,-,0.461,0.290,-,-,0.319,-
'[16:11:25.544]',-,0.520,-,0.466,0.290,-,-,0.311,-
'[16:11:25.552]',-,0.515,-,0.471,0.290,-,-,0.303,-
'[16:11:25.560]',-,0.510,-,0.476,0.290,-,-,0.296,-
'[16:11:25.568]',-,0.495,-,0.485,0.284,-,-,0.291,-
'[16:11:25.576]',-,0.475,-,0.505,0.284,-,-,0.287,-
'[16:11:25.584]',-,0.455,-,0.520,0.284,-,-,0.283,-
'[16:11:25.592]',-,0.450,-,0.524,0.278,-,-,0.279,-
'[16:11:25.600]',-,0.445,-,0.529,0.275,-,-,0.274,-
'[16:11:25.608]',-,0.445,-,0.524,0.275,-,-,0.269,-
'[16:11:25.616]',-,0.430,-,0.534,0.269,-,-,0.265,-
'[16:11:25.624]',-,0.410,-,0.556,0.269,-,-,0.261,-
'[16:11:25.632]',-,0.415,-,0.561,0.269,-,-,0.257,-
'[16:11:25.640]',-,0.430,-,0.546,0.278,-,-,0.253,-
'[16:11:25.648]',-,0.445,-,0.534,0.284,-,-,0.249,-
'[16:11:25.656]',-,0.455,-,0.524,0.300,-,-,0.246,-
'[16:11:25.664]',-,0.470,-,0.515,0.314,-,-,0.243,-
'[16:11:25.672]',-,0.490,-,0.495,0.329,-,-,0.242,-
'[16:11:25.680]',-,0.520,-,0.466,0.359,-,-,0.239,-
'[16:11:25.688]',-,0.535,-,0.449,0.380,-,-,0.236,-
'[16:11:25.696]',-,0.525,-,0.466,0.380,-,-,0.233,-
'[16:11:25.704]',-,0.505,-,0.490,0.380,-,-,0.229,-
'[16:11:25.712]',-,0.500,-,0.495,0.375,-,-,0.224,-
'[16:11:25.720]',-,0.500,-,0.490,0.375,-,-,0.220,-
'[16:11:25.728]',-,0.510,-,0.476,0.380,-,-,0.216,-
'[16:11:25.736]',-,0.525,-,0.461,0.390,-,-,0.211,-
'[16:11:25.744]',-,0.530,-,0.454,0.394,-,-,0.208,-
'[16:11:25.752]',-,0.520,-,0.454,0.400,-,-,0.204,-
'[16:11:25.760]',-,0.515,-,0.461,0.394,-,-,0.201,-
'[16:11:25.768]',-,0.520,-,0.461,0.394,-,-,0.199,-
'[16:11:25.776]',-,0.510,-,0.471,0.394,-,-,0.197,-
'[16:11:25.784]',-,0.485,-,0.490,0.394,-,-,0.196,-
'[16:11:25.792]',-,0.455,-,0.510,0.400,-,-,0.194,-
'[16:11:25.800]',-,0.450,-,0.500,0.410,-,-,0.193,-
'[16:11:25.808]',-,0.475,-,0.480,0.400,-,-,0.193,-
'[16:11:25.816]',-,0.485,-,0.480,0.394,-,-,0.196,-
'[16:11:25.824]',-,0.470,-,0.495,0.394,-,-,0.201,-
'[16:11:25.832]',-,0.475,-,0.490,0.394,-,-,0.212,-
'[16:11:25.840]',-,0.480,-,0.480,0.400,-,-,0.227,-
'[16:11:25.848]',-,0.480,-,0.490,0.404,-,-,0.246,-
'[16:11:25.856]',-,0.500,-,0.490,0.390,-,-,0.271,-
'[16:11:25.864]',-,0.525,-,0.476,0.380,-,-,0.294,-
'[16:11:25.872]',-,0.540,-,0.461,0.375,-,-,0.320,-
'[16:11:25.880]',-,0.555,-,0.449,0.375,-,-,0.348,-
'[16:11:25.888]',-,0.575,-,0.430,0.371,-,-,0.378,-
'[16:11:25.896]',-,0.595,-,0.425,0.365,-,-,0.409,-
'[16:11:25.904]',-,0.600,-,0.430,0.355,-,-,0.437,-
'[16:11:25.912]',-,0.600,-,0.430,0.355,-,-,0.465,-
'[16:11:25.920]',-,0.600,-,0.425,0.365,-,-,0.493,-
'[16:11:25.928]',-,0.600,-,0.425,0.359,-,-,0.517,-
'[16:11:25.936]',-,0.605,-,0.430,0.355,-,-,0.541,-
'[16:11:25.944]',-,0.585,-,0.444,0.365,-,-,0.563,-
'[16:11:25.952]',-,0.580,-,0.449,0.375,-,-,0.584,-
'[16:11:25.960]',-,0.611,-,0.430,0.375,-,-,0.604,-
'[16:11:25.968]',-,0.625,-,0.415,0.375,-,-,0.619,-
'[16:11:25.976]',-,0.620,-,0.415,0.371,-,-,0.631,-
'[16:11:25.984]',-,0.620,-,0.415,0.365,-,-,0.645,-
'[16:11:25.992]',-,0.630,-,0.405,0.355,-,-,0.657,-
'[16:11:26.000]',-,0.611,-,0.425,0.345,-,-,0.669,-
'[16:11:26.008]',-,0.550,-,0.466,0.335,-,-,0.677,-
'[16:11:26.016]',-,0.510,-,0.490,0.335,-,-,0.684,-
'[16:11:26.024]',-,0.515,-,0.480,0.339,-,-,0.690,-
'[16:11:26.032]',-,0.530,-,0.471,0.345,-,-,0.695,-
'[16:11:26.040]',-,0.515,-,0.476,0.349,-,-,0.697,-
'[16:11:26.048]',-,0.510,-,0.490,0.349,-,-,0.697,-
'[16:11:26.056]',-,0.510,-,0.490,0.349,-,-,0.694,-
'[16:11:26.064]',-,0.515,-,0.495,0.349,-,-,0.689,-
'[16:11:26.072]',-,0.515,-,0.485,0.349,-,-,0.682,-
'[16:11:26.080]',-,0.520,-,0.480,0.349,-,-,0.674,-
'[16:11:26.088]',-,0.480,-,0.505,0.359,-,-,0.663,-
'[16:11:26.096]',-,0.470,-,0.515,0.349,-,-,0.651,-
'[16:11:26.104]',-,0.605,-,0.444,0.314,-,-,0.636,-
'[16:11:26.112]',-,0.825,-,0.315,0.278,-,-,0.622,-
'[16:11:26.120]',-,0.895,-,0.270,0.278,-,-,0.606,-
'[16:11:26.128]',-,0.611,-,0.461,0.304,-,-,0.590,-
'[16:11:26.136]',-,0.280,-,0.665,0.345,-,-,0.575,-
'[16:11:26.144]',-,0.135,-,0.750,0.439,-,-,0.560,-
'[16:11:26.152]',-,0.129,-,0.760,0.561,-,-,0.544,-
'[16:11:26.160]',-,0.190,-,0.735,0.635,-,-,0.530,-
'[16:11:26.168]',-,0.250,-,0.700,0.651,-,-,0.517,-
'[16:11:26.176]',-,0.325,-,0.651,0.539,-,-,0.504,-
'[16:11:26.184]',-,0.400,-,0.600,0.394,-,-,0.491,-
'[16:11:26.192]',-,0.460,-,0.539,0.324,-,-,0.476,-
'[16:11:26.200]',-,0.500,-,0.490,0.314,-,-,0.462,-
'[16:11:26.208]',-,0.525,-,0.466,0.314,-,-,0.450,-
'[16:11:26.216]',-,0.545,-,0.449,0.310,-,-,0.437,-
'[16:11:26.224]',-,0.560,-,0.434,0.310,-,-,0.425,-
'[16:11:26.232]',-,0.575,-,0.425,0.320,-,-,0.414,-
'[16:11:26.240]',-,0.580,-,0.425,0.324,-,-,0.405,-
'[16:11:26.248]',-,0.550,-,0.444,0.310,-,-,0.395,-
'[16:11:26.256]',-,0.535,-,0.461,0.310,-,-,0.387,-
'[16:11:26.264]',-,0.520,-,0.471,0.304,-,-,0.381,-
'[16:11:26.272]',-,0.510,-,0.485,0.304,-,-,0.375,-
'[16:11:26.280]',-,0.510,-,0.490,0.304,-,-,0.370,-
'[16:11:26.288]',-,0.535,-,0.461,0.310,-,-,0.365,-
'[16:11:26.296]',-,0.545,-,0.454,0.310,-,-,0.361,-
'[16:11:26.304]',-,0.530,-,0.461,0.314,-,-,0.357,-
'[16:11:26.312]',-,0.525,-,0.471,0.314,-,-,0.353,-
'[16:11:26.320]',-,0.525,-,0.471,0.310,-,-,0.349,-
'[16:11:26.328]',-,0.515,-,0.476,0.300,-,-,0.346,-
'[16:11:26.336]',-,0.495,-,0.495,0.290,-,-,0.344,-
'[16:11:26.344]',-,0.485,-,0.505,0.290,-,-,0.342,-
'[16:11:26.352]',-,0.500,-,0.490,0.300,-,-,0.340,-
'[16:11:26.360]',-,0.505,-,0.480,0.304,-,-,0.339,-
'[16:11:26.368]',-,0.460,-,0.510,0.284,-,-,0.338,-
'[16:11:26.376]',-,0.445,-,0.520,0.284,-,-,0.337,-
'[16:11:26.384]',-,0.465,-,0.515,0.284,-,-,0.335,-
'[16:11:26.392]',-,0.445,-,0.529,0.278,-,-,0.334,-
'[16:11:26.400]',-,0.430,-,0.551,0.278,-,-,0.333,-
'[16:11:26.408]',-,0.440,-,0.534,0.284,-,-,0.332,-
'[16:11:26.416]',-,0.425,-,0.551,0.269,-,-,0.331,-
'[16:11:26.424]',-,0.385,-,0.585,0.255,-,-,0.330,-
'[16:11:26.432]',-,0.380,-,0.590,0.249,-,-,0.329,-
'[16:11:26.440]',-,0.400,-,0.575,0.269,-,-,0.327,-
'[16:11:26.448]',-,0.415,-,0.561,0.294,-,-,0.325,-
'[16:11:26.456]',-,0.445,-,0.534,0.320,-,-,0.321,-
'[16:11:26.464]',-,0.495,-,0.485,0.339,-,-,0.318,-
'[16:11:26.472]',-,0.530,-,0.461,0.349,-,-,0.315,-
'[16:11:26.480]',-,0.510,-,0.485,0.355,-,-,0.312,-
'[16:11:26.488]',-,0.490,-,0.500,0.355,-,-,0.309,-
'[16:11:26.496]',-,0.495,-,0.495,0.371,-,-,0.306,-
'[16:11:26.504]',-,0.500,-,0.490,0.384,-,-,0.303,-
'[16:11:26.512]',-,0.510,-,0.490,0.390,-,-,0.300,-
'[16:11:26.520]',-,0.525,-,0.476,0.390,-,-,0.298,-
'[16:11:26.528]',-,0.555,-,0.439,0.404,-,-,0.296,-
'[16:11:26.536]',-,0.565,-,0.425,0.416,-,-,0.294,-
'[16:11:26.544]',-,0.540,-,0.454,0.390,-,-,0.292,-
'[16:11:26.552]',-,0.520,-,0.476,0.384,-,-,0.290,-
'[16:11:26.560]',-,0.520,-,0.480,0.390,-,-,0.289,-
'[16:11:26.568]',-,0.515,-,0.480,0.390,-,-,0.302,-
'[16:11:26.576]',-,0.515,-,0.471,0.380,-,-,0.323,-
'[16:11:26.584]',-,0.530,-,0.449,0.384,-,-,0.332,-
'[16:11:26.592]',-,0.545,-,0.444,0.400,-,-,0.337,-
'[16:11:26.600]',-,0.555,-,0.449,0.404,-,-,0.341,-
'[16:11:26.608]',-,0.555,-,0.444,0.400,-,-,0.347,-
'[16:11:26.616]',-,0.545,-,0.439,0.400,-,-,0.356,-
'[16:11:26.624]',-,0.515,-,0.466,0.394,-,-,0.370,-
'[16:11:26.632]',-,0.475,-,0.500,0.384,-,-,0.388,-
'[16:11:26.640]',-,0.470,-,0.505,0.384,-,-,0.411,-
'[16:11:26.648]',-,0.515,-,0.471,0.394,-,-,0.436,-
'[16:11:26.656]',-,0.530,-,0.454,0.400,-,-,0.464,-
'[16:11:26.664]',-,0.510,-,0.466,0.394,-,-,0.490,-
'[16:11:26.672]',-,0.490,-,0.490,0.394,-,-,0.512,-
'[16:11:26.680]',-,0.485,-,0.500,0.390,-,-,0.539,-
'[16:11:26.688]',-,0.495,-,0.490,0.380,-,-,0.565,-
'[16:11:26.696]',-,0.490,-,0.495,0.375,-,-,0.591,-
'[16:11:26.704]',-,0.485,-,0.505,0.371,-,-,0.617,-
'[16:11:26.712]',-,0.490,-,0.510,0.375,-,-,0.640,-
'[16:11:26.720]',-,0.500,-,0.490,0.384,-,-,0.664,-
'[16:11:26.728]',-,0.510,-,0.476,0.394,-,-,0.684,-
'[16:11:26.736]',-,0.515,-,0.466,0.390,-,-,0.705,-
'[16:11:26.744]',-,0.500,-,0.471,0.380,-,-,0.723,-
'[16:11:26.752]',-,0.495,-,0.480,0.384,-,-,0.741,-
'[16:11:26.760]',-,0.505,-,0.485,0.394,-,-,0.758,-
'[16:11:26.768]',-,0.510,-,0.476,0.400,-,-,0.769,-
'[16:11:26.776]',-,0.510,-,0.480,0.404,-,-,0.778,-
'[16:11:26.784]',-,0.505,-,0.490,0.400,-,-,0.789,-
'[16:11:26.792]',-,0.530,-,0.476,0.400,-,-,0.798,-
'[16:11:26.800]',-,0.550,-,0.454,0.394,-,-,0.806,-
'[16:11:26.808]',-,0.560,-,0.444,0.384,-,-,0.814,-
'[16:11:26.816]',-,0.550,-,0.444,0.375,-,-,0.820,-
'[16:11:26.824]',-,0.530,-,0.454,0.371,-,-,0.824,-
'[16:11:26.832]',-,0.505,-,0.476,0.371,-,-,0.826,-
'[16:11:26.840]',-,0.470,-,0.505,0.365,-,-,0.826,-
'[16:11:26.848]',-,0.440,-,0.524,0.355,-,-,0.825,-
'[16:11:26.856]',-,0.435,-,0.529,0.359,-,-,0.821,-
'[16:11:26.864]',-,0.440,-,0.524,0.365,-,-,0.815,-
'[16:11:26.872]',-,0.450,-,0.515,0.371,-,-,0.808,-
'[16:11:26.880]',-,0.455,-,0.510,0.365,-,-,0.800,-
'[16:11:26.888]',-,0.450,-,0.515,0.359,-,-,0.789,-
'[16:11:26.896]',-,0.445,-,0.529,0.355,-,-,0.778,-
'[16:11:26.904]',-,0.450,-,0.520,0.365,-,-,0.766,-
'[16:11:26.912]',-,0.455,-,0.515,0.375,-,-,0.754,-
'[16:11:26.920]',-,0.465,-,0.515,0.380,-,-,0.741,-
'[16:11:26.928]',-,0.550,-,0.476,0.339,-,-,0.729,-
'[16:11:26.936]',-,0.725,-,0.376,0.300,-,-,0.719,-
'[16:11:26.944]',-,0.800,-,0.325,0.294,-,-,0.709,-
'[16:11:26.952]',-,0.570,-,0.476,0.314,-,-,0.700,-
'[16:11:26.960]',-,0.230,-,0.690,0.355,-,-,0.690,-
'[16:11:26.968]',-,0.090,-,0.780,0.439,-,-,0.681,-
'[16:11:26.976]',-,0.110,-,0.770,0.565,-,-,0.673,-
'[16:11:26.984]',-,0.155,-,0.740,0.651,-,-,0.663,-
'[16:11:26.992]',-,0.209,-,0.709,0.676,-,-,0.654,-
'[16:11:27.000]',-,0.285,-,0.665,0.561,-,-,0.644,-
'[16:11:27.008]',-,0.355,-,0.619,0.416,-,-,0.634,-
'[16:11:27.016]',-,0.410,-,0.575,0.345,-,-,0.626,-
'[16:11:27.024]',-,0.455,-,0.520,0.329,-,-,0.617,-
'[16:11:27.032]',-,0.495,-,0.476,0.329,-,-,0.609,-
'[16:11:27.040]',-,0.500,-,0.471,0.329,-,-,0.600,-
'[16:11:27.048]',-,0.480,-,0.505,0.324,-,-,0.591,-
'[16:11:27.056]',-,0.495,-,0.490,0.320,-,-,0.583,-
'[16:11:27.064]',-,0.525,-,0.466,0.324,-,-,0.575,-
'[16:11:27.072]',-,0.535,-,0.461,0.329,-,-,0.567,-
'[16:11:27.080]',-,0.505,-,0.476,0.320,-,-,0.558,-
'[16:11:27.088]',-,0.480,-,0.490,0.314,-,-,0.549,-
'[16:11:27.096]',-,0.475,-,0.500,0.314,-,-,0.541,-
'[16:11:27.104]',-,0.480,-,0.505,0.324,-,-,0.532,-
'[16:11:27.112]',-,0.500,-,0.485,0.324,-,-,0.524,-
'[16:11:27.120]',-,0.510,-,0.471,0.324,-,-,0.515,-
'[16:11:27.128]',-,0.515,-,0.476,0.320,-,-,0.507,-
'[16:11:27.136]',-,0.500,-,0.485,0.320,-,-,0.499,-
'[16:11:27.144]',-,0.495,-,0.490,0.310,-,-,0.491,-
'[16:11:27.152]',-,0.485,-,0.495,0.310,-,-,0.482,-
'[16:11:27.160]',-,0.465,-,0.520,0.310,-,-,0.473,-
'[16:11:27.168]',-,0.465,-,0.524,0.310,-,-,0.465,-
'[16:11:27.176]',-,0.490,-,0.490,0.310,-,-,0.458,-
'[16:11:27.184]',-,0.495,-,0.480,0.300,-,-,0.452,-
'[16:11:27.192]',-,0.480,-,0.490,0.300,-,-,0.444,-
'[16:11:27.200]',-,0.460,-,0.515,0.294,-,-,0.435,-
'[16:11:27.208]',-,0.430,-,0.539,0.290,-,-,0.427,-
'[16:11:27.216]',-,0.405,-,0.566,0.284,-,-,0.419,-
'[16:11:27.224]',-,0.389,-,0.580,0.278,-,-,0.413,-
'[16:11:27.232]',-,0.400,-,0.585,0.278,-,-,0.406,-
'[16:11:27.240]',-,0.405,-,0.580,0.278,-,-,0.400,-
'[16:11:27.248]',-,0.400,-,0.575,0.278,-,-,0.395,-
'[16:11:27.256]',-,0.400,-,0.566,0.278,-,-,0.390,-
'[16:11:27.264]',-,0.380,-,0.575,0.278,-,-,0.386,-
'[16:11:27.272]',-,0.375,-,0.590,0.290,-,-,0.382,-
'[16:11:27.280]',-,0.415,-,0.551,0.314,-,-,0.378,-
'[16:11:27.288]',-,0.460,-,0.520,0.345,-,-,0.374,-
'[16:11:27.296]',-,0.480,-,0.515,0.365,-,-,0.369,-
'[16:11:27.304]',-,0.490,-,0.505,0.380,-,-,0.364,-
'[16:11:27.312]',-,0.485,-,0.500,0.384,-,-,0.359,-
'[16:11:27.320]',-,0.475,-,0.505,0.390,-,-,0.353,-
'[16:11:27.328]',-,0.490,-,0.495,0.400,-,-,0.347,-
'[16:11:27.336]',-,0.515,-,0.476,0.410,-,-,0.342,-
'[16:11:27.344]',-,0.525,-,0.480,0.404,-,-,0.337,-
'[16:11:27.352]',-,0.515,-,0.490,0.394,-,-,0.332,-
'[16:11:27.360]',-,0.510,-,0.490,0.394,-,-,0.328,-
'[16:11:27.368]',-,0.515,-,0.476,0.394,-,-,0.326,-
'[16:11:27.376]',-,0.525,-,0.466,0.400,-,-,0.324,-
'[16:11:27.384]',-,0.530,-,0.471,0.400,-,-,0.320,-
'[16:11:27.392]',-,0.535,-,0.476,0.404,-,-,0.315,-
'[16:11:27.400]',-,0.525,-,0.480,0.400,-,-,0.311,-
'[16:11:27.408]',-,0.530,-,0.471,0.400,-,-,0.307,-
'[16:11:27.416]',-,0.535,-,0.471,0.404,-,-,0.302,-
'[16:11:27.424]',-,0.515,-,0.485,0.390,-,-,0.299,-
'[16:11:27.432]',-,0.500,-,0.495,0.390,-,-,0.297,-
'[16:11:27.440]',-,0.525,-,0.471,0.390,-,-,0.299,-
'[16:11:27.448]',-,0.545,-,0.454,0.394,-,-,0.305,-
'[16:11:27.456]',-,0.535,-,0.476,0.394,-,-,0.316,-
'[16:11:27.464]',-,0.525,-,0.485,0.394,-,-,0.328,-
'[16:11:27.472]',-,0.550,-,0.449,0.394,-,-,0.345,-
'[16:11:27.480]',-,0.555,-,0.444,0.390,-,-,0.367,-
'[16:11:27.488]',-,0.525,-,0.471,0.375,-,-,0.391,-
'[16:11:27.496]',-,0.520,-,0.476,0.371,-,-,0.417,-
'[16:11:27.504]',-,0.525,-,0.480,0.371,-,-,0.445,-
'[16:11:27.512]',-,0.530,-,0.480,0.371,-,-,0.471,-
'[16:11:27.520]',-,0.540,-,0.471,0.371,-,-,0.498,-
'[16:11:27.528]',-,0.575,-,0.439,0.380,-,-,0.523,-
'[16:11:27.536]',-,0.580,-,0.430,0.375,-,-,0.546,-
'[16:11:27.544]',-,0.525,-,0.485,0.365,-,-,0.569,-
'[16:11:27.552]',-,0.510,-,0.505,0.355,-,-,0.590,-
'[16:11:27.560]',-,0.515,-,0.485,0.355,-,-,0.608,-
'[16:11:27.568]',-,0.520,-,0.466,0.355,-,-,0.623,-
'[16:11:27.576]',-,0.535,-,0.461,0.359,-,-,0.638,-
'[16:11:27.584]',-,0.550,-,0.449,0.371,-,-,0.654,-
'[16:11:27.592]',-,0.575,-,0.430,0.375,-,-,0.669,-
'[16:11:27.600]',-,0.590,-,0.420,0.390,-,-,0.682,-
'[16:11:27.608]',-,0.565,-,0.449,0.394,-,-,0.695,-
'[16:11:27.616]',-,0.540,-,0.476,0.384,-,-,0.706,-
'[16:11:27.624]',-,0.550,-,0.480,0.380,-,-,0.716,-
'[16:11:27.632]',-,0.570,-,0.461,0.375,-,-,0.722,-
'[16:11:27.640]',-,0.580,-,0.444,0.365,-,-,0.728,-
'[16:11:27.648]',-,0.590,-,0.420,0.359,-,-,0.732,-
'[16:11:27.656]',-,0.585,-,0.415,0.355,-,-,0.733,-
'[16:11:27.664]',-,0.555,-,0.449,0.349,-,-,0.731,-
'[16:11:27.672]',-,0.525,-,0.480,0.349,-,-,0.728,-
'[16:11:27.680]',-,0.500,-,0.500,0.345,-,-,0.722,-
'[16:11:27.688]',-,0.480,-,0.520,0.339,-,-,0.717,-
'[16:11:27.696]',-,0.480,-,0.520,0.345,-,-,0.708,-
'[16:11:27.704]',-,0.500,-,0.505,0.349,-,-,0.697,-
'[16:11:27.712]',-,0.510,-,0.495,0.349,-,-,0.685,-
'[16:11:27.720]',-,0.495,-,0.495,0.349,-,-,0.672,-
