"'Time','II','PLETH','ABP'"
"'[21:57:55.928]',0.606,0.427,81.250"
"'[21:57:55.936]',0.646,0.463,78.125"
"'[21:57:55.944]',0.606,0.498,75.781"
"'[21:57:55.952]',0.638,0.533,73.438"
"'[21:57:55.960]',0.606,0.569,71.094"
"'[21:57:55.968]',0.630,0.604,69.531"
"'[21:57:55.976]',0.606,0.639,68.750"
"'[21:57:55.984]',0.654,0.667,67.969"
"'[21:57:55.992]',0.646,0.694,67.188"
"'[21:57:56.000]',0.693,0.718,66.406"
"'[21:57:56.008]',0.709,0.737,66.406"
"'[21:57:56.016]',0.693,0.753,66.406"
"'[21:57:56.024]',0.724,0.765,66.406"
"'[21:57:56.032]',0.654,0.776,65.625"
"'[21:57:56.040]',0.622,0.784,65.625"
"'[21:57:56.048]',0.598,0.792,65.625"
"'[21:57:56.056]',0.614,0.796,65.625"
"'[21:57:56.064]',0.575,0.800,64.844"
"'[21:57:56.072]',0.598,0.800,64.062"
"'[21:57:56.080]',0.551,0.800,64.062"
"'[21:57:56.088]',0.567,0.800,63.281"
"'[21:57:56.096]',0.528,0.796,62.500"
"'[21:57:56.104]',0.567,0.792,61.719"
"'[21:57:56.112]',0.535,0.784,60.938"
"'[21:57:56.120]',0.575,0.776,60.938"
"'[21:57:56.128]',0.535,0.769,60.156"
"'[21:57:56.136]',0.583,0.757,59.375"
"'[21:57:56.144]',0.543,0.745,59.375"
"'[21:57:56.152]',0.583,0.729,58.594"
"'[21:57:56.160]',0.496,0.718,57.812"
"'[21:57:56.168]',0.472,0.702,57.031"
"'[21:57:56.176]',0.803,0.686,57.031"
"'[21:57:56.184]',1.504,0.675,56.250"
"'[21:57:56.192]',1.504,0.663,56.250"
"'[21:57:56.200]',1.504,0.651,55.469"
"'[21:57:56.208]',0.843,0.639,55.469"
"'[21:57:56.216]',0.512,0.627,54.688"
"'[21:57:56.224]',0.457,0.620,54.688"
"'[21:57:56.232]',0.512,0.608,54.688"
"'[21:57:56.240]',0.551,0.600,54.688"
"'[21:57:56.248]',0.583,0.596,54.688"
"'[21:57:56.256]',0.606,0.588,54.688"
"'[21:57:56.264]',0.559,0.584,53.906"
"'[21:57:56.272]',0.606,0.576,53.906"
"'[21:57:56.280]',0.575,0.573,53.906"
"'[21:57:56.288]',0.614,0.565,53.906"
"'[21:57:56.296]',0.591,0.561,53.906"
"'[21:57:56.304]',0.630,0.557,53.906"
"'[21:57:56.312]',0.606,0.549,53.906"
"'[21:57:56.320]',0.654,0.545,53.125"
"'[21:57:56.328]',0.622,0.537,53.125"
"'[21:57:56.336]',0.669,0.529,53.125"
"'[21:57:56.344]',0.630,0.522,53.125"
"'[21:57:56.352]',0.685,0.518,52.344"
"'[21:57:56.360]',0.654,0.510,52.344"
"'[21:57:56.368]',0.701,0.502,52.344"
"'[21:57:56.376]',0.677,0.494,51.562"
"'[21:57:56.384]',0.724,0.486,51.562"
"'[21:57:56.392]',0.709,0.478,51.562"
"'[21:57:56.400]',0.748,0.467,51.562"
"'[21:57:56.408]',0.740,0.459,50.781"
"'[21:57:56.416]',0.780,0.455,50.781"
"'[21:57:56.424]',0.795,0.447,51.562"
"'[21:57:56.432]',0.780,0.439,52.344"
"'[21:57:56.440]',0.843,0.431,53.906"
"'[21:57:56.448]',0.819,0.424,57.031"
"'[21:57:56.456]',0.882,0.420,61.719"
"'[21:57:56.464]',0.850,0.412,67.188"
"'[21:57:56.472]',0.898,0.408,74.219"
"'[21:57:56.480]',0.858,0.404,81.250"
"'[21:57:56.488]',0.890,0.400,88.281"
"'[21:57:56.496]',0.843,0.392,95.312"
"'[21:57:56.504]',0.850,0.392,101.562"
"'[21:57:56.512]',0.780,0.384,106.250"
"'[21:57:56.520]',0.780,0.380,110.156"
"'[21:57:56.528]',0.677,0.376,112.500"
"'[21:57:56.536]',0.685,0.373,113.281"
"'[21:57:56.544]',0.606,0.369,114.062"
"'[21:57:56.552]',0.622,0.365,114.062"
"'[21:57:56.560]',0.567,0.357,114.062"
"'[21:57:56.568]',0.598,0.357,113.281"
"'[21:57:56.576]',0.559,0.349,112.500"
"'[21:57:56.584]',0.591,0.345,111.719"
"'[21:57:56.592]',0.559,0.341,110.938"
"'[21:57:56.600]',0.591,0.341,110.156"
"'[21:57:56.608]',0.567,0.337,108.594"
"'[21:57:56.616]',0.598,0.337,107.812"
"'[21:57:56.624]',0.598,0.337,106.250"
"'[21:57:56.632]',0.567,0.345,105.469"
"'[21:57:56.640]',0.606,0.349,103.906"
"'[21:57:56.648]',0.559,0.361,102.344"
"'[21:57:56.656]',0.614,0.376,100.781"
"'[21:57:56.664]',0.583,0.396,99.219"
"'[21:57:56.672]',0.622,0.416,96.875"
"'[21:57:56.680]',0.583,0.443,94.531"
"'[21:57:56.688]',0.622,0.471,91.406"
"'[21:57:56.696]',0.583,0.502,88.281"
"'[21:57:56.704]',0.606,0.533,85.156"
"'[21:57:56.712]',0.567,0.569,82.031"
"'[21:57:56.720]',0.606,0.600,79.688"
"'[21:57:56.728]',0.567,0.635,77.344"
"'[21:57:56.736]',0.598,0.663,75.781"
"'[21:57:56.744]',0.567,0.690,74.219"
"'[21:57:56.752]',0.614,0.718,72.656"
"'[21:57:56.760]',0.598,0.737,71.875"
"'[21:57:56.768]',0.654,0.757,71.875"
"'[21:57:56.776]',0.638,0.773,71.094"
"'[21:57:56.784]',0.693,0.784,71.094"
"'[21:57:56.792]',0.669,0.796,70.312"
"'[21:57:56.800]',0.709,0.804,70.312"
"'[21:57:56.808]',0.654,0.808,70.312"
"'[21:57:56.816]',0.630,0.816,69.531"
"'[21:57:56.824]',0.654,0.816,69.531"
"'[21:57:56.832]',0.591,0.820,68.750"
"'[21:57:56.840]',0.622,0.820,68.750"
"'[21:57:56.848]',0.567,0.816,67.969"
"'[21:57:56.856]',0.591,0.788,67.969"
"'[21:57:56.864]',0.535,0.788,67.188"
"'[21:57:56.872]',0.559,0.784,66.406"
"'[21:57:56.880]',0.520,0.780,65.625"
"'[21:57:56.888]',0.559,0.773,64.844"
"'[21:57:56.896]',0.520,0.769,64.062"
"'[21:57:56.904]',0.551,0.757,64.062"
"'[21:57:56.912]',0.528,0.749,63.281"
"'[21:57:56.920]',0.559,0.737,62.500"
"'[21:57:56.928]',0.528,0.725,61.719"
"'[21:57:56.936]',0.535,0.714,61.719"
"'[21:57:56.944]',0.449,0.698,60.938"
"'[21:57:56.952]',0.748,0.682,60.156"
"'[21:57:56.960]',1.378,0.667,60.156"
"'[21:57:56.968]',1.504,0.651,59.375"
"'[21:57:56.976]',1.504,0.639,58.594"
"'[21:57:56.984]',0.866,0.624,58.594"
"'[21:57:56.992]',0.457,0.612,58.594"
