'Time','I','II','AVR','V','RESP','PLETH','ABP','CVP'
'[15:04:26.128]',-,0.625,0.480,0.330,0.350,1.854,67.581,-0.127
'[15:04:26.136]',-,0.655,0.455,0.300,0.346,1.830,71.332,-0.068
'[15:04:26.144]',-,0.685,0.430,0.275,0.343,1.805,77.135,-0.127
'[15:04:26.152]',-,0.710,0.405,0.245,0.340,1.781,84.168,-0.381
'[15:04:26.160]',-,0.730,0.385,0.225,0.337,1.759,90.909,-0.821
'[15:04:26.168]',-,0.745,0.380,0.210,0.334,1.738,96.477,-1.319
'[15:04:26.176]',-,0.750,0.380,0.210,0.331,1.723,101.107,-1.758
'[15:04:26.184]',-,0.715,0.400,0.230,0.328,1.713,105.386,-1.944
'[15:04:26.192]',-,0.670,0.435,0.265,0.326,1.700,109.254,-1.944
'[15:04:26.200]',-,0.615,0.480,0.325,0.323,1.684,112.126,-1.758
'[15:04:26.208]',-,0.560,0.530,0.375,0.320,1.670,113.475,-1.504
'[15:04:26.216]',-,0.515,0.570,0.425,0.318,1.656,113.592,-1.377
'[15:04:26.224]',-,0.480,0.605,0.450,0.315,1.642,113.064,-1.377
'[15:04:26.232]',-,0.450,0.630,0.470,0.312,1.629,112.361,-1.563
'[15:04:26.240]',-,0.430,0.650,0.485,0.310,1.614,112.126,-1.817
'[15:04:26.248]',-,0.410,0.665,0.490,0.307,1.597,112.185,-2.071
'[15:04:26.256]',-,0.405,0.670,0.495,0.304,1.582,112.478,-2.257
'[15:04:26.264]',-,0.400,0.680,0.500,0.301,1.568,112.888,-2.384
'[15:04:26.272]',-,0.400,0.680,0.500,0.298,1.554,113.123,-2.384
'[15:04:26.280]',-,0.400,0.675,0.495,0.294,1.544,113.240,-2.384
'[15:04:26.288]',-,0.400,0.670,0.495,0.290,1.539,113.240,-2.384
'[15:04:26.296]',-,0.405,0.670,0.495,0.287,1.533,113.064,-2.442
'[15:04:26.304]',-,0.405,0.670,0.495,0.283,1.525,112.713,-2.569
'[15:04:26.312]',-,0.405,0.665,0.490,0.279,1.518,112.244,-2.813
'[15:04:26.320]',-,0.410,0.665,0.490,0.275,1.511,111.599,-2.999
'[15:04:26.328]',-,0.415,0.665,0.490,0.271,1.501,110.720,-2.999
'[15:04:26.336]',-,0.415,0.660,0.490,0.268,1.491,109.606,-2.999
'[15:04:26.344]',-,0.415,0.660,0.480,0.266,1.479,108.141,-2.999
'[15:04:26.352]',-,0.420,0.660,0.475,0.263,1.465,106.265,-2.999
'[15:04:26.360]',-,0.420,0.655,0.475,0.261,1.451,103.745,-2.999
'[15:04:26.368]',-,0.425,0.655,0.470,0.258,1.437,100.521,-2.999
'[15:04:26.376]',-,0.425,0.655,0.470,0.256,1.427,97.004,-2.999
'[15:04:26.384]',-,0.425,0.650,0.465,0.254,1.419,93.429,-2.999
'[15:04:26.392]',-,0.425,0.650,0.465,0.251,1.410,90.674,-2.999
'[15:04:26.400]',-,0.425,0.650,0.460,0.249,1.398,89.092,-2.999
'[15:04:26.408]',-,0.425,0.650,0.460,0.247,1.386,88.564,-2.813
'[15:04:26.416]',-,0.425,0.655,0.455,0.245,1.374,88.271,-2.628
'[15:04:26.424]',-,0.425,0.655,0.455,0.243,1.366,87.861,-2.569
'[15:04:26.432]',-,0.425,0.655,0.455,0.242,1.366,87.333,-2.569
'[15:04:26.440]',-,0.425,0.655,0.455,0.240,1.377,86.923,-2.569
'[15:04:26.448]',-,0.425,0.650,0.455,0.239,1.407,86.688,-2.569
'[15:04:26.456]',-,0.430,0.650,0.450,0.238,1.458,86.630,-2.501
'[15:04:26.464]',-,0.430,0.650,0.450,0.237,1.534,86.571,-2.384
'[15:04:26.472]',-,0.430,0.645,0.450,0.237,1.630,86.337,-2.130
'[15:04:26.480]',-,0.430,0.640,0.450,0.236,1.725,86.102,-1.876
'[15:04:26.488]',-,0.430,0.640,0.445,0.236,1.826,85.751,-1.631
'[15:04:26.496]',-,0.435,0.645,0.445,0.236,1.942,85.282,-1.377
'[15:04:26.504]',-,0.440,0.640,0.445,0.235,2.062,84.871,-1.133
'[15:04:26.512]',-,0.450,0.625,0.455,0.235,2.175,84.227,-0.938
'[15:04:26.520]',-,0.475,0.610,0.465,0.235,2.278,83.582,-0.752
'[15:04:26.528]',-,0.500,0.585,0.455,0.235,2.367,82.996,-0.625
'[15:04:26.536]',-,0.520,0.575,0.430,0.235,2.436,82.351,-0.625
'[15:04:26.544]',-,0.530,0.565,0.400,0.235,2.484,81.648,-0.694
'[15:04:26.552]',-,0.535,0.555,0.370,0.235,2.514,81.062,-0.752
'[15:04:26.560]',-,0.530,0.550,0.360,0.235,2.530,80.358,-0.879
'[15:04:26.568]',-,0.520,0.560,0.370,0.235,2.533,79.714,-1.065
'[15:04:26.576]',-,0.500,0.575,0.385,0.235,2.526,79.127,-1.250
'[15:04:26.584]',-,0.470,0.600,0.400,0.235,2.515,78.483,-1.319
'[15:04:26.592]',-,0.440,0.625,0.410,0.234,2.501,77.838,-1.377
'[15:04:26.600]',-,0.420,0.645,0.425,0.233,2.489,77.310,-1.446
'[15:04:26.608]',-,0.410,0.660,0.435,0.233,2.478,76.666,-1.446
'[15:04:26.616]',-,0.400,0.665,0.445,0.231,2.466,76.138,-1.446
'[15:04:26.624]',-,0.400,0.670,0.445,0.230,2.456,75.552,-1.504
'[15:04:26.632]',-,0.400,0.670,0.440,0.229,2.444,74.966,-1.504
'[15:04:26.640]',-,0.400,0.670,0.440,0.228,2.429,74.438,-1.504
'[15:04:26.648]',-,0.400,0.670,0.440,0.227,2.413,73.852,-1.504
'[15:04:26.656]',-,0.400,0.665,0.435,0.226,2.395,73.325,-1.504
'[15:04:26.664]',-,0.405,0.665,0.435,0.226,2.374,72.739,-1.504
'[15:04:26.672]',-,0.405,0.665,0.435,0.225,2.347,72.211,-1.504
'[15:04:26.680]',-,0.410,0.660,0.435,0.224,2.318,71.742,-1.504
'[15:04:26.688]',-,0.435,0.650,0.450,0.222,2.285,71.273,-1.504
'[15:04:26.696]',-,0.495,0.605,0.455,0.220,2.246,70.863,-1.504
'[15:04:26.704]',-,0.610,0.490,0.265,0.218,2.202,70.511,-1.446
'[15:04:26.712]',-,0.795,0.275,-0.110,0.217,2.158,70.218,-1.446
'[15:04:26.720]',-,0.945,0.070,-0.411,0.216,2.119,69.984,-1.319
'[15:04:26.728]',-,0.855,0.055,-0.421,0.215,2.085,69.808,-1.065
'[15:04:26.736]',-,0.560,0.460,0.125,0.214,2.052,69.573,-0.752
'[15:04:26.744]',-,0.355,0.735,0.455,0.213,2.021,69.222,-0.313
'[15:04:26.752]',-,0.315,0.805,0.540,0.212,1.992,68.929,0.059
'[15:04:26.760]',-,0.360,0.750,0.535,0.210,1.970,68.636,0.371
'[15:04:26.768]',-,0.410,0.685,0.520,0.209,1.954,68.284,0.557
'[15:04:26.776]',-,0.440,0.655,0.515,0.208,1.943,67.874,0.742
'[15:04:26.784]',-,0.455,0.640,0.510,0.207,1.935,67.405,0.742
'[15:04:26.792]',-,0.465,0.635,0.495,0.207,1.929,66.995,0.742
'[15:04:26.800]',-,0.470,0.625,0.490,0.207,1.926,66.526,0.625
'[15:04:26.808]',-,0.475,0.620,0.485,0.206,1.925,66.115,0.498
'[15:04:26.816]',-,0.480,0.615,0.475,0.206,1.921,65.646,0.313
'[15:04:26.824]',-,0.490,0.610,0.470,0.206,1.914,65.236,0.117
'[15:04:26.832]',-,0.495,0.605,0.465,0.207,1.908,64.709,-0.068
'[15:04:26.840]',-,0.500,0.600,0.460,0.207,1.900,64.298,-0.254
'[15:04:26.848]',-,0.510,0.595,0.450,0.207,1.891,63.829,-0.440
'[15:04:26.856]',-,0.515,0.590,0.445,0.207,1.879,63.419,-0.567
'[15:04:26.864]',-,0.520,0.580,0.435,0.208,1.867,63.009,-0.752
'[15:04:26.872]',-,0.530,0.575,0.425,0.207,1.855,62.481,-0.879
'[15:04:26.880]',-,0.540,0.565,0.415,0.207,1.843,62.130,-1.006
'[15:04:26.888]',-,0.550,0.555,0.400,0.207,1.827,61.895,-1.006
'[15:04:26.896]',-,0.560,0.540,0.385,0.206,1.807,62.071,-0.938
'[15:04:26.904]',-,0.575,0.525,0.370,0.206,1.785,62.657,-0.821
'[15:04:26.912]',-,0.595,0.510,0.350,0.206,1.763,63.829,-0.625
'[15:04:26.920]',-,0.625,0.485,0.320,0.206,1.744,66.233,-0.508
'[15:04:26.928]',-,0.655,0.460,0.295,0.206,1.724,70.394,-0.508
'[15:04:26.936]',-,0.685,0.435,0.265,0.206,1.706,76.548,-0.625
'[15:04:26.944]',-,0.710,0.410,0.240,0.206,1.687,83.816,-1.006
'[15:04:26.952]',-,0.730,0.395,0.215,0.207,1.669,90.557,-1.563
'[15:04:26.960]',-,0.740,0.380,0.205,0.207,1.650,96.008,-2.188
'[15:04:26.968]',-,0.740,0.380,0.200,0.207,1.631,100.521,-2.628
'[15:04:26.976]',-,0.715,0.395,0.210,0.208,1.616,104.858,-2.813
'[15:04:26.984]',-,0.670,0.430,0.250,0.208,1.601,108.727,-2.755
'[15:04:26.992]',-,0.615,0.470,0.300,0.208,1.586,111.540,-2.501
'[15:04:27.000]',-,0.565,0.520,0.350,0.208,1.568,113.006,-2.257
'[15:04:27.008]',-,0.525,0.565,0.400,0.208,1.551,113.181,-2.130
'[15:04:27.016]',-,0.485,0.600,0.435,0.208,1.537,112.771,-2.188
'[15:04:27.024]',-,0.455,0.630,0.460,0.208,1.527,112.302,-2.384
'[15:04:27.032]',-,0.430,0.645,0.470,0.207,1.519,112.068,-2.628
'[15:04:27.040]',-,0.415,0.660,0.480,0.207,1.508,112.126,-2.882
'[15:04:27.048]',-,0.410,0.670,0.490,0.207,1.500,112.419,-2.999
'[15:04:27.056]',-,0.405,0.670,0.490,0.207,1.493,112.713,-2.999
'[15:04:27.064]',-,0.405,0.675,0.490,0.206,1.483,112.947,-2.999
'[15:04:27.072]',-,0.400,0.675,0.490,0.205,1.475,112.947,-2.999
'[15:04:27.080]',-,0.400,0.680,0.490,0.204,1.471,112.947,-2.999
'[15:04:27.088]',-,0.400,0.675,0.490,0.202,1.467,112.888,-2.999
'[15:04:27.096]',-,0.400,0.675,0.490,0.201,1.462,112.654,-2.999
'[15:04:27.104]',-,0.405,0.675,0.490,0.199,1.456,112.302,-2.999
'[15:04:27.112]',-,0.405,0.680,0.490,0.198,1.446,111.599,-2.999
'[15:04:27.120]',-,0.405,0.675,0.485,0.196,1.435,110.720,-2.999
'[15:04:27.128]',-,0.410,0.675,0.480,0.195,1.423,109.606,-2.999
'[15:04:27.136]',-,0.410,0.670,0.475,0.194,1.410,108.258,-2.999
'[15:04:27.144]',-,0.410,0.670,0.475,0.192,1.395,106.441,-2.999
'[15:04:27.152]',-,0.410,0.665,0.470,0.191,1.381,104.038,-2.999
'[15:04:27.160]',-,0.410,0.665,0.470,0.190,1.369,101.049,-2.999
'[15:04:27.168]',-,0.415,0.660,0.470,0.189,1.358,97.532,-2.999
'[15:04:27.176]',-,0.415,0.660,0.465,0.189,1.352,94.074,-2.999
'[15:04:27.184]',-,0.415,0.660,0.465,0.188,1.349,91.202,-2.999
'[15:04:27.192]',-,0.415,0.660,0.465,0.188,1.345,89.385,-2.999
'[15:04:27.200]',-,0.415,0.660,0.465,0.188,1.340,88.564,-2.940
'[15:04:27.208]',-,0.415,0.655,0.460,0.188,1.334,88.154,-2.755
'[15:04:27.216]',-,0.415,0.655,0.460,0.189,1.329,87.743,-2.628
'[15:04:27.224]',-,0.415,0.655,0.460,0.189,1.330,87.157,-2.501
'[15:04:27.232]',-,0.415,0.655,0.455,0.190,1.342,86.630,-2.384
'[15:04:27.240]',-,0.420,0.655,0.455,0.192,1.370,86.278,-2.257
'[15:04:27.248]',-,0.420,0.655,0.455,0.193,1.419,86.102,-2.071
'[15:04:27.256]',-,0.420,0.655,0.455,0.195,1.496,85.985,-1.876
'[15:04:27.264]',-,0.420,0.655,0.450,0.197,1.594,85.751,-1.631
'[15:04:27.272]',-,0.420,0.655,0.450,0.199,1.694,85.340,-1.446
'[15:04:27.280]',-,0.420,0.650,0.450,0.201,1.798,84.989,-1.250
'[15:04:27.288]',-,0.425,0.645,0.450,0.203,1.921,84.520,-1.065
'[15:04:27.296]',-,0.435,0.635,0.455,0.204,2.050,84.051,-0.938
'[15:04:27.304]',-,0.460,0.615,0.465,0.206,2.174,83.465,-0.821
'[15:04:27.312]',-,0.490,0.590,0.470,0.207,2.283,82.937,-0.694
'[15:04:27.320]',-,0.510,0.575,0.430,0.209,2.375,82.292,-0.625
'[15:04:27.328]',-,0.520,0.570,0.405,0.210,2.445,81.648,-0.625
'[15:04:27.336]',-,0.530,0.560,0.375,0.211,2.492,81.062,-0.625
'[15:04:27.344]',-,0.525,0.555,0.365,0.212,2.521,80.417,-0.752
'[15:04:27.352]',-,0.515,0.560,0.370,0.213,2.538,79.772,-0.879
'[15:04:27.360]',-,0.495,0.575,0.385,0.214,2.543,79.127,-1.006
'[15:04:27.368]',-,0.470,0.600,0.400,0.215,2.539,78.541,-1.133
'[15:04:27.376]',-,0.440,0.625,0.415,0.216,2.529,77.897,-1.250
'[15:04:27.384]',-,0.415,0.645,0.430,0.216,2.515,77.369,-1.319
'[15:04:27.392]',-,0.400,0.660,0.435,0.217,2.500,76.841,-1.377
'[15:04:27.400]',-,0.390,0.670,0.445,0.218,2.487,76.314,-1.377
'[15:04:27.408]',-,0.390,0.675,0.445,0.219,2.472,75.786,-1.377
'[15:04:27.416]',-,0.390,0.675,0.450,0.219,2.457,75.259,-1.377
'[15:04:27.424]',-,0.390,0.675,0.450,0.220,2.444,74.731,-1.319
'[15:04:27.432]',-,0.390,0.670,0.445,0.220,2.429,74.263,-1.319
'[15:04:27.440]',-,0.395,0.670,0.440,0.221,2.413,73.676,-1.377
'[15:04:27.448]',-,0.400,0.665,0.440,0.221,2.394,73.149,-1.377
'[15:04:27.456]',-,0.400,0.665,0.440,0.221,2.370,72.680,-1.446
'[15:04:27.464]',-,0.410,0.660,0.435,0.220,2.345,72.094,-1.504
'[15:04:27.472]',-,0.430,0.655,0.450,0.220,2.320,71.684,-1.563
'[15:04:27.480]',-,0.490,0.615,0.460,0.219,2.291,71.215,-1.631
'[15:04:27.488]',-,0.605,0.495,0.275,0.218,2.259,70.863,-1.631
'[15:04:27.496]',-,0.785,0.280,-0.095,0.217,2.223,70.570,-1.563
'[15:04:27.504]',-,0.925,0.075,-0.401,0.216,2.181,70.277,-1.446
'[15:04:27.512]',-,0.830,0.065,-0.406,0.216,2.140,69.984,-1.250
'[15:04:27.520]',-,0.540,0.470,0.140,0.215,2.105,69.749,-0.938
'[15:04:27.528]',-,0.350,0.745,0.465,0.215,2.071,69.456,-0.508
'[15:04:27.536]',-,0.305,0.810,0.550,0.215,2.039,69.222,-0.127
'[15:04:27.544]',-,0.350,0.760,0.535,0.214,2.008,68.929,0.244
'[15:04:27.552]',-,0.405,0.690,0.520,0.214,1.979,68.460,0.498
'[15:04:27.560]',-,0.435,0.655,0.515,0.214,1.956,68.050,0.557
'[15:04:27.568]',-,0.450,0.645,0.505,0.214,1.938,67.581,0.557
'[15:04:27.576]',-,0.460,0.635,0.500,0.214,1.928,67.170,0.498
'[15:04:27.584]',-,0.465,0.630,0.490,0.214,1.919,66.643,0.371
'[15:04:27.592]',-,0.470,0.625,0.485,0.213,1.912,66.233,0.313
'[15:04:27.600]',-,0.475,0.620,0.480,0.213,1.908,65.646,0.186
'[15:04:27.608]',-,0.480,0.615,0.475,0.212,1.905,65.236,0.059
'[15:04:27.616]',-,0.490,0.610,0.470,0.212,1.900,64.767,-0.068
'[15:04:27.624]',-,0.495,0.600,0.460,0.212,1.895,64.357,-0.254
'[15:04:27.632]',-,0.500,0.595,0.450,0.212,1.888,63.829,-0.440
'[15:04:27.640]',-,0.510,0.590,0.440,0.212,1.878,63.419,-0.625
'[15:04:27.648]',-,0.520,0.580,0.430,0.212,1.867,63.009,-0.879
'[15:04:27.656]',-,0.525,0.575,0.420,0.212,1.855,62.540,-1.065
'[15:04:27.664]',-,0.535,0.565,0.410,0.212,1.842,62.188,-1.133
'[15:04:27.672]',-,0.545,0.555,0.400,0.212,1.827,62.012,-1.133
'[15:04:27.680]',-,0.560,0.545,0.385,0.213,1.810,62.130,-1.065
'[15:04:27.688]',-,0.575,0.525,0.370,0.213,1.790,62.599,-0.938
'[15:04:27.696]',-,0.595,0.505,0.350,0.213,1.770,63.771,-0.752
'[15:04:27.704]',-,0.620,0.485,0.325,0.214,1.753,66.057,-0.625
'[15:04:27.712]',-,0.645,0.460,0.295,0.215,1.735,69.984,-0.625
'[15:04:27.720]',-,0.675,0.435,0.270,0.216,1.717,75.904,-0.821
'[15:04:27.728]',-,0.695,0.415,0.240,0.217,1.698,83.054,-1.192
'[15:04:27.736]',-,0.715,0.395,0.210,0.219,1.679,89.854,-1.758
'[15:04:27.744]',-,0.735,0.380,0.195,0.220,1.661,95.422,-2.315
'[15:04:27.752]',-,0.730,0.385,0.195,0.221,1.642,99.994,-2.755
'[15:04:27.760]',-,0.705,0.400,0.210,0.222,1.624,104.155,-2.940
'[15:04:27.768]',-,0.660,0.430,0.250,0.223,1.605,107.965,-2.940
'[15:04:27.776]',-,0.605,0.475,0.305,0.223,1.591,110.896,-2.755
'[15:04:27.784]',-,0.550,0.525,0.360,0.224,1.582,112.419,-2.569
'[15:04:27.792]',-,0.510,0.565,0.405,0.225,1.569,112.713,-2.442
'[15:04:27.800]',-,0.475,0.605,0.440,0.225,1.555,112.302,-2.569
'[15:04:27.808]',-,0.450,0.630,0.460,0.225,1.543,111.716,-2.755
'[15:04:27.816]',-,0.425,0.650,0.475,0.225,1.530,111.364,-2.999
'[15:04:27.824]',-,0.410,0.665,0.480,0.224,1.519,111.364,-2.999
'[15:04:27.832]',-,0.400,0.670,0.480,0.224,1.510,111.482,-2.999
'[15:04:27.840]',-,0.400,0.680,0.480,0.224,1.502,111.658,-2.999
'[15:04:27.848]',-,0.400,0.680,0.480,0.224,1.494,111.775,-2.999
'[15:04:27.856]',-,0.400,0.680,0.485,0.224,1.485,111.833,-2.999
'[15:04:27.864]',-,0.390,0.680,0.485,0.223,1.477,111.833,-2.999
'[15:04:27.872]',-,0.390,0.685,0.480,0.223,1.470,111.775,-2.999
'[15:04:27.880]',-,0.400,0.675,0.480,0.222,1.463,111.599,-2.999
'[15:04:27.888]',-,0.400,0.670,0.480,0.221,1.454,111.247,-2.999
'[15:04:27.896]',-,0.405,0.670,0.480,0.220,1.443,110.544,-2.999
'[15:04:27.904]',-,0.405,0.670,0.475,0.219,1.431,109.547,-2.999
'[15:04:27.912]',-,0.410,0.660,0.470,0.218,1.417,108.258,-2.999
'[15:04:27.920]',-,0.420,0.660,0.465,0.217,1.403,106.675,-2.999
'[15:04:27.928]',-,0.415,0.660,0.465,0.216,1.389,104.741,-2.999
'[15:04:27.936]',-,0.415,0.660,0.455,0.215,1.376,102.162,-2.999
'[15:04:27.944]',-,0.420,0.655,0.455,0.215,1.366,99.056,-2.999
'[15:04:27.952]',-,0.425,0.655,0.450,0.215,1.355,95.422,-2.999
'[15:04:27.960]',-,0.430,0.650,0.455,0.215,1.345,91.846,-2.999
'[15:04:27.968]',-,0.430,0.650,0.450,0.216,1.337,89.092,-2.999
'[15:04:27.976]',-,0.430,0.645,0.445,0.218,1.331,87.450,-2.999
'[15:04:27.984]',-,0.430,0.645,0.440,0.220,1.326,86.688,-2.999
'[15:04:27.992]',-,0.430,0.650,0.435,0.221,1.316,86.278,-2.999
'[15:04:28.000]',-,0.430,0.650,0.435,0.223,1.307,85.751,-2.999
'[15:04:28.008]',-,0.430,0.645,0.435,0.224,1.304,85.106,-2.999
'[15:04:28.016]',-,0.435,0.645,0.430,0.226,1.314,84.461,-2.999
'[15:04:28.024]',-,0.435,0.645,0.430,0.227,1.340,83.992,-2.999
'[15:04:28.032]',-,0.435,0.645,0.430,0.229,1.389,83.699,-2.999
'[15:04:28.040]',-,0.440,0.645,0.430,0.231,1.463,83.406,-2.999
'[15:04:28.048]',-,0.445,0.640,0.430,0.233,1.562,83.054,-2.999
'[15:04:28.056]',-,0.445,0.640,0.430,0.235,1.679,82.527,-2.999
'[15:04:28.064]',-,0.450,0.635,0.430,0.237,1.810,82.058,-2.999
'[15:04:28.072]',-,0.470,0.620,0.440,0.240,1.929,81.413,-2.999
'[15:04:28.080]',-,0.500,0.595,0.445,0.244,2.038,80.769,-2.999
'[15:04:28.088]',-,0.525,0.580,0.425,0.247,2.152,80.065,-2.999
'[15:04:28.096]',-,0.540,0.570,0.400,0.250,2.258,79.303,-2.999
'[15:04:28.104]',-,0.550,0.555,0.365,0.254,2.348,78.600,-2.999
'[15:04:28.112]',-,0.555,0.545,0.340,0.258,2.419,77.897,-2.999
'[15:04:28.120]',-,0.545,0.545,0.345,0.262,2.472,77.310,-2.999
'[15:04:28.128]',-,0.535,0.555,0.355,0.267,2.506,76.607,-2.999
'[15:04:28.136]',-,0.515,0.570,0.365,0.272,2.526,75.845,-2.999
'[15:04:28.144]',-,0.485,0.595,0.380,0.277,2.534,75.200,-2.999
'[15:04:28.152]',-,0.460,0.615,0.400,0.282,2.533,74.497,-2.999
'[15:04:28.160]',-,0.440,0.635,0.415,0.286,2.526,73.794,-2.999
'[15:04:28.168]',-,0.425,0.650,0.425,0.290,2.515,73.149,-2.999
'[15:04:28.176]',-,0.425,0.660,0.425,0.295,2.500,72.563,-2.999
'[15:04:28.184]',-,0.425,0.660,0.425,0.300,2.487,71.859,-2.999
'[15:04:28.192]',-,0.420,0.660,0.425,0.305,2.473,71.215,-2.999
'[15:04:28.200]',-,0.425,0.655,0.420,0.312,2.460,70.629,-2.999
'[15:04:28.208]',-,0.430,0.650,0.420,0.318,2.450,69.984,-2.999
'[15:04:28.216]',-,0.430,0.650,0.420,0.326,2.438,69.339,-2.999
'[15:04:28.224]',-,0.435,0.645,0.420,0.333,2.424,68.753,-2.999
'[15:04:28.232]',-,0.440,0.640,0.420,0.342,2.408,68.167,-2.999
'[15:04:28.240]',-,0.450,0.635,0.420,0.351,2.387,67.581,-2.999
'[15:04:28.248]',-,0.480,0.620,0.430,0.359,2.360,67.112,-2.999
'[15:04:28.256]',-,0.550,0.565,0.400,0.367,2.327,66.643,-2.999
'[15:04:28.264]',-,0.690,0.420,0.170,0.375,2.292,66.233,-2.999
'[15:04:28.272]',-,0.895,0.190,-0.216,0.384,2.257,65.939,-2.999
'[15:04:28.280]',-,1.010,0.035,-0.431,0.392,2.219,65.588,-2.999
'[15:04:28.288]',-,0.830,0.200,-0.191,0.401,2.177,65.295,-2.999
'[15:04:28.296]',-,0.520,0.550,0.265,0.411,2.137,64.943,-2.999
'[15:04:28.304]',-,0.370,0.760,0.520,0.420,2.102,64.591,-2.999
'[15:04:28.312]',-,0.360,0.780,0.555,0.430,2.068,64.240,-2.999
'[15:04:28.320]',-,0.415,0.710,0.525,0.439,2.036,63.947,-2.999
'[15:04:28.328]',-,0.460,0.655,0.495,0.447,2.004,63.478,-2.999
'[15:04:28.336]',-,0.485,0.620,0.480,0.456,1.974,63.009,-2.999
'[15:04:28.344]',-,0.500,0.615,0.475,0.466,1.949,62.481,-2.999
'[15:04:28.352]',-,0.510,0.610,0.465,0.476,1.931,62.012,-2.999
'[15:04:28.360]',-,0.520,0.595,0.455,0.487,1.919,61.544,-2.999
'[15:04:28.368]',-,0.530,0.590,0.455,0.498,1.913,61.133,-2.999
'[15:04:28.376]',-,0.530,0.585,0.445,0.509,1.910,60.606,-2.999
'[15:04:28.384]',-,0.540,0.580,0.440,0.521,1.908,60.020,-2.999
'[15:04:28.392]',-,0.545,0.575,0.435,0.533,1.907,59.551,-2.999
'[15:04:28.400]',-,0.545,0.570,0.430,0.545,1.907,58.965,-2.999
'[15:04:28.408]',-,0.555,0.560,0.420,0.556,1.903,58.437,-2.999
'[15:04:28.416]',-,0.570,0.550,0.410,0.567,1.895,57.910,-2.999
'[15:04:28.424]',-,0.580,0.545,0.400,0.577,1.886,57.382,-2.999
'[15:04:28.432]',-,0.585,0.535,0.390,0.588,1.874,56.854,-2.999
'[15:04:28.440]',-,0.600,0.525,0.380,0.598,1.862,56.503,-2.999
'[15:04:28.448]',-,0.615,0.515,0.365,0.609,1.849,56.386,-2.999
'[15:04:28.456]',-,0.635,0.495,0.350,0.620,1.837,56.444,-2.999
'[15:04:28.464]',-,0.650,0.485,0.330,0.632,1.821,56.913,-2.999
'[15:04:28.472]',-,0.670,0.470,0.310,0.642,1.805,57.734,-2.999
'[15:04:28.480]',-,0.700,0.445,0.285,0.653,1.792,59.375,-2.999
'[15:04:28.488]',-,0.735,0.415,0.250,0.662,1.774,62.599,-2.999
'[15:04:28.496]',-,0.755,0.395,0.225,0.672,1.755,67.991,-2.999
'[15:04:28.504]',-,0.775,0.380,0.205,0.682,1.735,75.024,-2.999
'[15:04:28.512]',-,0.800,0.360,0.185,0.692,1.717,82.175,-2.999
'[15:04:28.520]',-,0.810,0.355,0.175,0.702,1.698,87.919,-2.999
'[15:04:28.528]',-,0.790,0.365,0.180,0.713,1.679,92.257,-2.999
'[15:04:28.536]',-,0.750,0.390,0.215,0.724,1.664,96.125,-2.999
'[15:04:28.544]',-,0.705,0.425,0.260,0.735,1.649,100.111,-2.999
'[15:04:28.552]',-,0.650,0.470,0.315,0.746,1.636,103.921,-2.999
'[15:04:28.560]',-,0.605,0.515,0.365,0.758,1.624,106.500,-2.999
'[15:04:28.568]',-,0.565,0.550,0.410,0.767,1.611,107.437,-2.999
'[15:04:28.576]',-,0.535,0.580,0.430,0.777,1.601,107.027,-2.999
'[15:04:28.584]',-,0.510,0.600,0.450,0.786,1.593,106.089,-2.999
'[15:04:28.592]',-,0.485,0.620,0.465,0.795,1.587,105.210,-2.999
'[15:04:28.600]',-,0.475,0.630,0.470,0.804,1.580,104.624,-2.999
'[15:04:28.608]',-,0.470,0.635,0.475,0.813,1.573,104.390,-2.999
'[15:04:28.616]',-,0.455,0.640,0.480,0.822,1.567,104.390,-2.999
'[15:04:28.624]',-,0.450,0.645,0.480,0.832,1.560,104.507,-2.999
'[15:04:28.632]',-,0.450,0.645,0.480,0.840,1.554,104.507,-2.999
'[15:04:28.640]',-,0.455,0.645,0.480,0.849,1.548,104.565,-2.999
'[15:04:28.648]',-,0.460,0.640,0.480,0.857,1.542,104.683,-2.999
'[15:04:28.656]',-,0.465,0.640,0.475,0.866,1.537,104.741,-2.999
'[15:04:28.664]',-,0.465,0.635,0.475,0.874,1.533,104.683,-2.999
'[15:04:28.672]',-,0.470,0.635,0.470,0.882,1.531,104.390,-2.999
'[15:04:28.680]',-,0.475,0.630,0.470,0.891,1.530,103.803,-2.999
'[15:04:28.688]',-,0.475,0.625,0.465,0.899,1.526,102.924,-2.999
'[15:04:28.696]',-,0.480,0.625,0.465,0.907,1.521,101.752,-2.999
'[15:04:28.704]',-,0.475,0.625,0.460,0.915,1.514,100.111,-2.999
'[15:04:28.712]',-,0.475,0.625,0.460,0.924,1.507,97.883,-2.999
'[15:04:28.720]',-,0.475,0.625,0.455,0.932,1.500,94.836,-2.999
'[15:04:28.728]',-,0.475,0.620,0.455,0.940,1.495,91.260,-2.999
'[15:04:28.736]',-,0.475,0.625,0.455,0.947,1.490,87.509,-2.999
'[15:04:28.744]',-,0.470,0.625,0.455,0.955,1.485,84.344,-2.999
'[15:04:28.752]',-,0.470,0.630,0.455,0.962,1.479,82.527,-2.999
'[15:04:28.760]',-,0.465,0.625,0.455,0.970,1.473,82.117,-2.999
'[15:04:28.768]',-,0.465,0.625,0.455,0.978,1.466,82.351,-2.999
'[15:04:28.776]',-,0.460,0.625,0.455,0.985,1.463,82.527,-2.999
