'Time','II','III','MCL','RESP','PLETH','ABP'
'[11:13:36.184]',-0.041,0.225,1.005,0.253,1.595,78.072
'[11:13:36.192]',-0.030,0.235,1.015,0.255,1.553,78.248
'[11:13:36.200]',-0.025,0.240,1.020,0.256,1.511,78.365
'[11:13:36.208]',-0.025,0.245,1.020,0.257,1.471,78.307
'[11:13:36.216]',-0.025,0.250,1.025,0.258,1.432,78.190
'[11:13:36.224]',-0.025,0.260,1.030,0.260,1.394,77.838
'[11:13:36.232]',-0.021,0.265,1.045,0.262,1.360,77.428
'[11:13:36.240]',-0.015,0.265,1.045,0.264,1.328,76.841
'[11:13:36.248]',-0.025,0.270,1.045,0.267,1.300,76.373
'[11:13:36.256]',-0.030,0.270,1.055,0.269,1.276,76.021
'[11:13:36.264]',-0.050,0.265,1.060,0.271,1.258,76.548
'[11:13:36.272]',-0.070,0.260,1.060,0.272,1.243,78.658
'[11:13:36.280]',-0.086,0.255,1.045,0.274,1.227,83.523
'[11:13:36.288]',-0.100,0.250,1.045,0.275,1.211,91.788
'[11:13:36.296]',-0.120,0.245,1.035,0.277,1.199,103.041
'[11:13:36.304]',-0.130,0.245,1.025,0.279,1.190,116.347
'[11:13:36.312]',-0.130,0.260,1.015,0.281,1.181,130.121
'[11:13:36.320]',-0.120,0.275,1.000,0.283,1.176,142.605
'[11:13:36.328]',-0.100,0.300,1.000,0.285,1.173,152.452
'[11:13:36.336]',-0.081,0.315,0.995,0.287,1.172,158.489
'[11:13:36.344]',-0.055,0.325,0.985,0.289,1.173,160.482
'[11:13:36.352]',-0.035,0.330,0.985,0.290,1.177,158.606
'[11:13:36.360]',-0.021,0.325,0.985,0.292,1.183,153.800
'[11:13:36.368]',-0.005,0.320,0.975,0.293,1.191,147.060
'[11:13:36.376]',-0.000,0.310,0.980,0.294,1.199,139.323
'[11:13:36.384]',-0.000,0.295,0.975,0.295,1.209,131.351
'[11:13:36.392]',-0.000,0.295,0.975,0.296,1.220,123.673
'[11:13:36.400]',0.004,0.280,0.970,0.296,1.232,116.405
'[11:13:36.408]',-0.000,0.275,0.970,0.297,1.245,109.899
'[11:13:36.416]',-0.000,0.270,0.960,0.297,1.258,104.155
'[11:13:36.424]',-0.000,0.270,0.960,0.298,1.271,99.290
'[11:13:36.432]',-0.000,0.265,0.960,0.298,1.284,95.305
'[11:13:36.440]',-0.000,0.265,0.955,0.299,1.297,92.022
'[11:13:36.448]',-0.010,0.260,0.955,0.300,1.310,89.619
'[11:13:36.456]',-0.015,0.260,0.955,0.301,1.322,87.802
'[11:13:36.464]',-0.015,0.255,0.950,0.303,1.331,86.630
'[11:13:36.472]',-0.025,0.250,0.950,0.305,1.337,85.809
'[11:13:36.480]',-0.025,0.260,0.950,0.307,1.339,85.340
'[11:13:36.488]',-0.035,0.255,0.950,0.310,1.334,85.047
'[11:13:36.496]',-0.041,0.250,0.950,0.312,1.322,84.813
'[11:13:36.504]',-0.041,0.255,0.950,0.314,1.307,84.520
'[11:13:36.512]',-0.041,0.260,0.950,0.315,1.299,84.285
'[11:13:36.520]',-0.045,0.255,0.950,0.317,1.309,84.227
'[11:13:36.528]',-0.050,0.260,0.950,0.318,1.351,84.461
'[11:13:36.536]',-0.050,0.250,0.950,0.320,1.437,85.282
'[11:13:36.544]',-0.050,0.260,0.950,0.321,1.574,86.630
'[11:13:36.552]',-0.050,0.255,0.950,0.323,1.760,88.505
'[11:13:36.560]',-0.050,0.260,0.950,0.324,1.978,90.791
'[11:13:36.568]',-0.050,0.260,0.950,0.326,2.179,93.488
'[11:13:36.576]',-0.050,0.265,0.950,0.327,2.360,96.301
'[11:13:36.584]',-0.050,0.260,0.950,0.328,2.539,99.290
'[11:13:36.592]',-0.050,0.265,0.950,0.329,2.683,102.104
'[11:13:36.600]',-0.050,0.260,0.950,0.330,2.778,104.741
'[11:13:36.608]',-0.050,0.265,0.950,0.331,2.818,106.910
'[11:13:36.616]',-0.050,0.265,0.955,0.331,2.805,108.610
'[11:13:36.624]',-0.030,0.270,0.965,0.332,2.752,109.547
'[11:13:36.632]',-0.005,0.280,0.985,0.332,2.669,109.841
'[11:13:36.640]',0.020,0.295,1.005,0.333,2.565,109.430
'[11:13:36.648]',0.020,0.290,1.010,0.333,2.451,108.375
'[11:13:36.656]',0.024,0.300,1.010,0.333,2.332,106.793
'[11:13:36.664]',0.015,0.315,1.020,0.333,2.227,104.800
'[11:13:36.672]',-0.005,0.295,0.975,0.333,2.130,102.514
'[11:13:36.680]',-0.010,0.280,0.955,0.332,2.029,100.052
'[11:13:36.688]',-0.030,0.270,0.930,0.331,1.932,97.532
'[11:13:36.696]',-0.041,0.270,0.930,0.330,1.842,95.129
'[11:13:36.704]',-0.055,0.260,0.925,0.330,1.762,92.726
'[11:13:36.712]',-0.075,0.255,0.935,0.329,1.696,90.498
'[11:13:36.720]',-0.081,0.250,0.930,0.328,1.642,88.447
'[11:13:36.728]',-0.081,0.255,0.930,0.328,1.600,86.513
'[11:13:36.736]',-0.081,0.250,0.930,0.327,1.568,84.754
'[11:13:36.744]',-0.086,0.255,0.940,0.327,1.543,83.230
'[11:13:36.752]',-0.081,0.245,0.930,0.326,1.525,81.941
'[11:13:36.760]',-0.050,0.235,0.925,0.326,1.510,80.769
'[11:13:36.768]',0.100,0.330,1.040,0.325,1.500,79.772
'[11:13:36.776]',0.420,0.655,1.105,0.325,1.496,78.893
'[11:13:36.784]',0.956,1.245,1.145,0.324,1.495,78.190
'[11:13:36.792]',1.155,1.501,1.180,0.324,1.500,77.486
'[11:13:36.800]',0.070,1.015,0.755,0.324,1.513,76.900
'[11:13:36.808]',-0.321,0.570,0.615,0.324,1.535,76.431
'[11:13:36.816]',-0.265,0.350,0.785,0.323,1.566,76.021
'[11:13:36.824]',-0.186,0.235,0.890,0.323,1.607,75.728
'[11:13:36.832]',-0.126,0.205,0.950,0.322,1.656,75.493
'[11:13:36.840]',-0.106,0.200,0.975,0.321,1.709,75.376
'[11:13:36.848]',-0.095,0.180,0.975,0.320,1.762,75.318
'[11:13:36.856]',-0.095,0.180,0.975,0.319,1.812,75.318
'[11:13:36.864]',-0.090,0.185,0.980,0.318,1.851,75.435
'[11:13:36.872]',-0.086,0.185,0.985,0.317,1.881,75.552
'[11:13:36.880]',-0.075,0.195,0.995,0.316,1.904,75.786
'[11:13:36.888]',-0.070,0.200,0.995,0.315,1.920,76.021
'[11:13:36.896]',-0.065,0.210,1.000,0.314,1.924,76.431
'[11:13:36.904]',-0.061,0.215,1.005,0.313,1.915,76.841
'[11:13:36.912]',-0.055,0.225,1.010,0.311,1.895,77.310
'[11:13:36.920]',-0.050,0.220,1.005,0.310,1.866,77.721
'[11:13:36.928]',-0.055,0.225,1.010,0.308,1.829,78.190
'[11:13:36.936]',-0.045,0.230,1.015,0.306,1.785,78.600
'[11:13:36.944]',-0.041,0.240,1.020,0.304,1.738,79.010
'[11:13:36.952]',-0.035,0.245,1.020,0.302,1.689,79.362
'[11:13:36.960]',-0.030,0.250,1.020,0.300,1.639,79.655
'[11:13:36.968]',-0.025,0.260,1.025,0.298,1.596,79.831
'[11:13:36.976]',-0.025,0.270,1.035,0.296,1.557,79.948
'[11:13:36.984]',-0.025,0.270,1.035,0.294,1.514,79.831
'[11:13:36.992]',-0.025,0.275,1.035,0.292,1.470,79.655
'[11:13:37.000]',-0.025,0.275,1.045,0.290,1.428,79.362
'[11:13:37.008]',-0.025,0.285,1.050,0.287,1.390,78.893
'[11:13:37.016]',-0.035,0.280,1.055,0.285,1.354,78.424
'[11:13:37.024]',-0.045,0.285,1.060,0.283,1.321,78.131
'[11:13:37.032]',-0.055,0.275,1.060,0.281,1.291,78.365
'[11:13:37.040]',-0.070,0.275,1.055,0.280,1.266,80.065
'[11:13:37.048]',-0.086,0.270,1.050,0.279,1.245,84.344
'[11:13:37.056]',-0.106,0.265,1.045,0.277,1.229,91.964
'[11:13:37.064]',-0.120,0.255,1.030,0.276,1.217,102.866
'[11:13:37.072]',-0.135,0.255,1.020,0.275,1.209,115.995
'[11:13:37.080]',-0.140,0.260,1.020,0.275,1.201,129.710
'[11:13:37.088]',-0.140,0.270,1.010,0.274,1.194,142.488
'[11:13:37.096]',-0.120,0.290,1.005,0.273,1.187,152.628
'[11:13:37.104]',-0.100,0.315,1.000,0.272,1.182,159.251
'[11:13:37.112]',-0.075,0.330,0.995,0.272,1.180,161.947
'[11:13:37.120]',-0.050,0.340,0.990,0.271,1.179,160.775
'[11:13:37.128]',-0.035,0.340,0.985,0.270,1.178,156.672
'[11:13:37.136]',-0.025,0.335,0.980,0.269,1.178,150.401
'[11:13:37.144]',-0.010,0.330,0.980,0.268,1.179,143.133
'[11:13:37.152]',-0.000,0.320,0.975,0.266,1.183,135.337
'[11:13:37.160]',-0.000,0.310,0.975,0.264,1.189,127.717
'[11:13:37.168]',-0.000,0.300,0.975,0.263,1.197,120.625
'[11:13:37.176]',-0.000,0.295,0.975,0.261,1.208,114.119
'[11:13:37.184]',-0.000,0.285,0.970,0.260,1.220,108.317
'[11:13:37.192]',-0.000,0.280,0.970,0.259,1.232,103.334
'[11:13:37.200]',-0.000,0.275,0.970,0.259,1.244,99.232
'[11:13:37.208]',-0.000,0.280,0.970,0.259,1.256,95.949
'[11:13:37.216]',-0.000,0.270,0.965,0.259,1.267,93.370
'[11:13:37.224]',-0.005,0.270,0.965,0.259,1.277,91.495
'[11:13:37.232]',-0.010,0.270,0.960,0.259,1.283,90.264
'[11:13:37.240]',-0.010,0.270,0.965,0.259,1.288,89.385
'[11:13:37.248]',-0.021,0.270,0.965,0.259,1.288,88.916
'[11:13:37.256]',-0.021,0.265,0.960,0.260,1.283,88.623
'[11:13:37.264]',-0.021,0.260,0.955,0.260,1.276,88.388
'[11:13:37.272]',-0.025,0.260,0.950,0.261,1.267,88.095
'[11:13:37.280]',-0.025,0.255,0.950,0.262,1.259,87.743
'[11:13:37.288]',-0.030,0.260,0.950,0.263,1.262,87.509
'[11:13:37.296]',-0.030,0.260,0.950,0.263,1.291,87.333
'[11:13:37.304]',-0.025,0.265,0.950,0.264,1.359,87.743
'[11:13:37.312]',-0.025,0.270,0.950,0.264,1.475,88.623
'[11:13:37.320]',-0.025,0.265,0.950,0.265,1.641,90.029
'[11:13:37.328]',-0.030,0.270,0.950,0.265,1.847,91.964
'[11:13:37.336]',-0.025,0.260,0.950,0.265,2.072,94.308
'[11:13:37.344]',-0.025,0.265,0.950,0.265,2.295,96.946
'[11:13:37.352]',-0.025,0.260,0.950,0.266,2.490,99.583
'[11:13:37.360]',-0.025,0.265,0.950,0.266,2.637,102.221
'[11:13:37.368]',-0.025,0.260,0.950,0.266,2.725,104.624
'[11:13:37.376]',-0.025,0.265,0.955,0.265,2.761,106.617
'[11:13:37.384]',-0.025,0.260,0.950,0.265,2.755,108.141
'[11:13:37.392]',-0.015,0.270,0.950,0.264,2.710,108.961
'[11:13:37.400]',0.004,0.270,0.965,0.263,2.634,109.254
'[11:13:37.408]',0.035,0.290,0.990,0.262,2.537,108.844
'[11:13:37.416]',0.060,0.295,1.005,0.260,2.426,107.848
'[11:13:37.424]',0.070,0.300,1.015,0.259,2.311,106.382
'[11:13:37.432]',0.070,0.295,1.020,0.257,2.196,104.565
'[11:13:37.440]',0.060,0.320,1.025,0.255,2.082,102.514
'[11:13:37.448]',0.030,0.295,0.975,0.253,1.976,100.169
'[11:13:37.456]',0.024,0.285,0.960,0.250,1.879,97.883
'[11:13:37.464]',0.004,0.270,0.935,0.247,1.800,95.480
'[11:13:37.472]',-0.000,0.270,0.935,0.245,1.735,93.194
'[11:13:37.480]',-0.021,0.270,0.935,0.242,1.675,90.909
'[11:13:37.488]',-0.041,0.260,0.945,0.240,1.625,88.857
'[11:13:37.496]',-0.050,0.255,0.945,0.237,1.584,87.040
'[11:13:37.504]',-0.050,0.255,0.940,0.235,1.550,85.340
'[11:13:37.512]',-0.050,0.255,0.940,0.233,1.525,83.875
'[11:13:37.520]',-0.055,0.260,0.940,0.230,1.503,82.527
'[11:13:37.528]',-0.050,0.265,0.930,0.228,1.486,81.355
'[11:13:37.536]',-0.035,0.230,0.920,0.226,1.472,80.300
'[11:13:37.544]',0.105,0.310,1.025,0.224,1.463,79.420
'[11:13:37.552]',0.420,0.625,1.115,0.222,1.458,78.541
'[11:13:37.560]',0.925,1.200,1.180,0.220,1.460,77.838
'[11:13:37.568]',1.166,1.501,1.240,0.219,1.467,77.193
'[11:13:37.576]',0.195,1.126,0.850,0.217,1.481,76.607
'[11:13:37.584]',-0.251,0.675,0.680,0.216,1.503,76.197
'[11:13:37.592]',-0.265,0.410,0.810,0.216,1.536,75.786
'[11:13:37.600]',-0.171,0.245,0.895,0.215,1.575,75.493
'[11:13:37.608]',-0.110,0.205,0.945,0.215,1.621,75.318
'[11:13:37.616]',-0.095,0.180,0.965,0.214,1.668,75.083
'[11:13:37.624]',-0.086,0.175,0.970,0.214,1.714,75.024
'[11:13:37.632]',-0.081,0.175,0.975,0.214,1.755,75.024
'[11:13:37.640]',-0.075,0.175,0.975,0.214,1.788,75.083
'[11:13:37.648]',-0.070,0.175,0.975,0.214,1.812,75.259
'[11:13:37.656]',-0.065,0.180,0.980,0.214,1.826,75.493
'[11:13:37.664]',-0.061,0.185,0.985,0.214,1.829,75.786
'[11:13:37.672]',-0.050,0.190,0.980,0.215,1.822,76.138
'[11:13:37.680]',-0.055,0.200,0.985,0.215,1.804,76.490
'[11:13:37.688]',-0.050,0.195,0.995,0.215,1.778,76.841
'[11:13:37.696]',-0.050,0.205,1.000,0.215,1.745,77.252
'[11:13:37.704]',-0.050,0.215,1.000,0.215,1.707,77.603
'[11:13:37.712]',-0.045,0.220,1.000,0.216,1.664,77.897
'[11:13:37.720]',-0.041,0.225,1.005,0.216,1.618,78.248
'[11:13:37.728]',-0.030,0.235,1.010,0.216,1.571,78.483
'[11:13:37.736]',-0.030,0.240,1.015,0.216,1.525,78.658
'[11:13:37.744]',-0.030,0.245,1.020,0.215,1.479,78.717
'[11:13:37.752]',-0.021,0.250,1.025,0.215,1.434,78.717
'[11:13:37.760]',-0.021,0.265,1.030,0.215,1.393,78.600
'[11:13:37.768]',-0.025,0.265,1.040,0.215,1.360,78.365
'[11:13:37.776]',-0.025,0.270,1.040,0.215,1.333,78.014
'[11:13:37.784]',-0.025,0.270,1.045,0.215,1.307,77.486
'[11:13:37.792]',-0.030,0.270,1.050,0.215,1.281,76.900
'[11:13:37.800]',-0.041,0.275,1.060,0.215,1.255,76.490
'[11:13:37.808]',-0.055,0.280,1.070,0.215,1.232,76.548
'[11:13:37.816]',-0.070,0.270,1.065,0.215,1.211,77.897
'[11:13:37.824]',-0.081,0.270,1.060,0.215,1.193,81.648
'[11:13:37.832]',-0.100,0.265,1.055,0.216,1.178,88.623
'[11:13:37.840]',-0.120,0.265,1.045,0.216,1.165,98.821
'[11:13:37.848]',-0.130,0.255,1.040,0.216,1.155,111.482
'[11:13:37.856]',-0.140,0.265,1.025,0.217,1.148,125.256
'[11:13:37.864]',-0.135,0.275,1.020,0.217,1.145,138.561
'[11:13:37.872]',-0.126,0.300,1.015,0.218,1.144,149.639
'[11:13:37.880]',-0.106,0.320,1.005,0.218,1.144,157.376
'[11:13:37.888]',-0.086,0.330,1.000,0.218,1.145,161.185
'[11:13:37.896]',-0.065,0.335,0.995,0.218,1.148,161.010
'[11:13:37.904]',-0.050,0.340,0.990,0.217,1.153,157.493
'[11:13:37.912]',-0.035,0.325,0.980,0.217,1.160,151.573
'[11:13:37.920]',-0.025,0.320,0.975,0.217,1.167,144.246
'[11:13:37.928]',-0.015,0.310,0.975,0.216,1.175,136.451
'[11:13:37.936]',-0.021,0.295,0.970,0.216,1.186,128.597
'[11:13:37.944]',-0.010,0.295,0.970,0.216,1.197,121.153
'[11:13:37.952]',-0.021,0.280,0.965,0.217,1.209,114.412
'[11:13:37.960]',-0.021,0.270,0.965,0.217,1.222,108.375
'[11:13:37.968]',-0.021,0.265,0.960,0.219,1.235,103.159
'[11:13:37.976]',-0.025,0.270,0.955,0.220,1.247,98.880
'[11:13:37.984]',-0.025,0.255,0.955,0.222,1.259,95.305
'[11:13:37.992]',-0.030,0.260,0.950,0.224,1.269,92.550
'[11:13:38.000]',-0.035,0.255,0.955,0.226,1.278,90.498
'[11:13:38.008]',-0.041,0.255,0.955,0.229,1.284,89.092
'[11:13:38.016]',-0.045,0.250,0.950,0.232,1.289,88.154
'[11:13:38.024]',-0.050,0.245,0.945,0.235,1.290,87.626
'[11:13:38.032]',-0.050,0.245,0.950,0.237,1.286,87.216
'[11:13:38.040]',-0.061,0.245,0.950,0.240,1.278,86.981
'[11:13:38.048]',-0.065,0.245,0.945,0.243,1.267,86.688
'[11:13:38.056]',-0.061,0.245,0.940,0.246,1.260,86.278
'[11:13:38.064]',-0.065,0.250,0.950,0.249,1.263,85.985
'[11:13:38.072]',-0.061,0.245,0.950,0.253,1.283,85.926
'[11:13:38.080]',-0.061,0.250,0.940,0.257,1.338,86.220
'[11:13:38.088]',-0.070,0.245,0.935,0.260,1.439,87.040
'[11:13:38.096]',-0.065,0.245,0.940,0.264,1.589,88.447
'[11:13:38.104]',-0.070,0.245,0.935,0.268,1.784,90.381
'[11:13:38.112]',-0.065,0.250,0.945,0.271,2.009,92.608
'[11:13:38.120]',-0.070,0.245,0.950,0.275,2.240,95.129
'[11:13:38.128]',-0.065,0.255,0.950,0.277,2.454,97.708
'[11:13:38.136]',-0.065,0.250,0.945,0.279,2.628,100.287
'[11:13:38.144]',-0.061,0.255,0.950,0.281,2.747,102.748
'[11:13:38.152]',-0.050,0.255,0.950,0.283,2.807,104.800
'[11:13:38.160]',-0.050,0.260,0.945,0.284,2.818,106.441
'[11:13:38.168]',-0.045,0.265,0.950,0.286,2.788,107.496
'[11:13:38.176]',-0.025,0.275,0.970,0.287,2.721,107.906
'[11:13:38.184]',0.004,0.285,0.995,0.288,2.629,107.730
'[11:13:38.192]',0.020,0.295,1.005,0.288,2.520,106.910
'[11:13:38.200]',0.024,0.295,1.005,0.289,2.404,105.679
'[11:13:38.208]',0.030,0.320,1.020,0.290,2.285,103.979
'[11:13:38.216]',-0.000,0.305,0.995,0.290,2.168,102.045
'[11:13:38.224]',-0.010,0.295,0.970,0.290,2.057,99.876
'[11:13:38.232]',-0.025,0.275,0.945,0.290,1.953,97.532
'[11:13:38.240]',-0.041,0.275,0.935,0.291,1.859,95.246
'[11:13:38.248]',-0.045,0.280,0.935,0.291,1.778,92.901
'[11:13:38.256]',-0.061,0.270,0.950,0.291,1.710,90.733
'[11:13:38.264]',-0.070,0.265,0.950,0.291,1.659,88.681
'[11:13:38.272]',-0.070,0.265,0.945,0.292,1.622,86.747
'[11:13:38.280]',-0.070,0.270,0.950,0.293,1.591,84.989
'[11:13:38.288]',-0.065,0.270,0.950,0.294,1.568,83.347
'[11:13:38.296]',-0.070,0.270,0.950,0.295,1.550,81.882
'[11:13:38.304]',-0.070,0.250,0.935,0.297,1.536,80.534
'[11:13:38.312]',0.010,0.245,0.995,0.299,1.524,79.420
'[11:13:38.320]',0.240,0.440,1.120,0.301,1.513,78.365
'[11:13:38.328]',0.675,0.895,1.165,0.304,1.503,77.428
'[11:13:38.336]',1.196,1.501,1.270,0.306,1.499,76.607
'[11:13:38.344]',0.665,1.406,1.045,0.308,1.500,75.845
'[11:13:38.352]',-0.130,0.835,0.700,0.309,1.510,75.259
'[11:13:38.360]',-0.285,0.490,0.650,0.311,1.528,74.673
'[11:13:38.368]',-0.216,0.300,0.845,0.312,1.553,74.263
'[11:13:38.376]',-0.151,0.220,0.930,0.314,1.589,73.911
'[11:13:38.384]',-0.110,0.200,0.970,0.315,1.634,73.676
'[11:13:38.392]',-0.095,0.195,0.980,0.317,1.683,73.559
'[11:13:38.400]',-0.095,0.185,0.980,0.318,1.732,73.559
'[11:13:38.408]',-0.090,0.190,0.990,0.320,1.777,73.559
'[11:13:38.416]',-0.081,0.185,0.990,0.321,1.815,73.735
'[11:13:38.424]',-0.075,0.195,0.995,0.322,1.845,73.969
'[11:13:38.432]',-0.075,0.190,0.995,0.323,1.862,74.380
'[11:13:38.440]',-0.065,0.200,1.000,0.324,1.868,74.790
'[11:13:38.448]',-0.061,0.200,1.000,0.326,1.862,75.259
'[11:13:38.456]',-0.050,0.205,1.000,0.327,1.848,75.786
'[11:13:38.464]',-0.045,0.215,1.005,0.328,1.827,76.314
'[11:13:38.472]',-0.041,0.220,1.010,0.330,1.801,76.841
'[11:13:38.480]',-0.030,0.225,1.010,0.331,1.766,77.369
'[11:13:38.488]',-0.025,0.235,1.020,0.332,1.725,77.897
'[11:13:38.496]',-0.021,0.240,1.020,0.333,1.682,78.365
'[11:13:38.504]',-0.010,0.245,1.020,0.334,1.638,78.776
'[11:13:38.512]',-0.005,0.255,1.020,0.335,1.593,79.127
'[11:13:38.520]',-0.005,0.255,1.025,0.336,1.549,79.362
'[11:13:38.528]',-0.005,0.260,1.035,0.338,1.506,79.479
'[11:13:38.536]',-0.005,0.265,1.035,0.340,1.465,79.479
'[11:13:38.544]',-0.000,0.270,1.045,0.341,1.425,79.362
'[11:13:38.552]',-0.010,0.270,1.050,0.343,1.388,79.069
'[11:13:38.560]',-0.021,0.275,1.055,0.345,1.359,78.600
'[11:13:38.568]',-0.025,0.275,1.055,0.347,1.334,78.248
'[11:13:38.576]',-0.041,0.270,1.060,0.349,1.309,78.072
'[11:13:38.584]',-0.050,0.265,1.055,0.351,1.284,78.541
'[11:13:38.592]',-0.075,0.260,1.050,0.353,1.263,80.651
'[11:13:38.600]',-0.090,0.245,1.045,0.355,1.243,85.458
'[11:13:38.608]',-0.110,0.245,1.030,0.356,1.228,93.663
'[11:13:38.616]',-0.130,0.245,1.020,0.358,1.213,104.858
'[11:13:38.624]',-0.140,0.250,1.020,0.360,1.200,118.046
'[11:13:38.632]',-0.140,0.255,1.010,0.362,1.191,131.703
'[11:13:38.640]',-0.130,0.270,1.005,0.363,1.182,144.012
'[11:13:38.648]',-0.115,0.285,1.000,0.364,1.176,153.566
'[11:13:38.656]',-0.095,0.310,0.995,0.365,1.173,159.368
'[11:13:38.664]',-0.070,0.320,0.990,0.365,1.173,161.185
'[11:13:38.672]',-0.050,0.325,0.990,0.366,1.177,159.193
'[11:13:38.680]',-0.035,0.330,0.995,0.366,1.182,154.386
'[11:13:38.688]',-0.021,0.330,0.985,0.366,1.189,147.587
'[11:13:38.696]',-0.015,0.320,0.990,0.366,1.197,140.026
'[11:13:38.704]',-0.010,0.320,0.985,0.365,1.209,132.231
'[11:13:38.712]',-0.005,0.305,0.985,0.364,1.224,124.611
'[11:13:38.720]',-0.005,0.295,0.980,0.363,1.239,117.577
'[11:13:38.728]',-0.005,0.295,0.980,0.363,1.255,111.130
'[11:13:38.736]',-0.005,0.290,0.975,0.362,1.272,105.503
'[11:13:38.744]',-0.005,0.295,0.975,0.362,1.287,100.697
'[11:13:38.752]',-0.005,0.290,0.970,0.361,1.304,96.594
'[11:13:38.760]',-0.005,0.290,0.970,0.361,1.319,93.370
'[11:13:38.768]',-0.010,0.285,0.970,0.360,1.333,90.850
'[11:13:38.776]',-0.015,0.290,0.970,0.360,1.348,88.974
'[11:13:38.784]',-0.021,0.280,0.960,0.359,1.359,87.685
'[11:13:38.792]',-0.025,0.280,0.960,0.359,1.366,86.747
'[11:13:38.800]',-0.030,0.280,0.960,0.359,1.367,86.044
'[11:13:38.808]',-0.041,0.280,0.970,0.358,1.363,85.575
'[11:13:38.816]',-0.045,0.275,0.965,0.359,1.354,85.106
'[11:13:38.824]',-0.045,0.275,0.965,0.359,1.342,84.696
'[11:13:38.832]',-0.050,0.275,0.965,0.359,1.336,84.285
'[11:13:38.840]',-0.050,0.275,0.965,0.360,1.347,84.109
'[11:13:38.848]',-0.050,0.275,0.965,0.361,1.387,84.344
'[11:13:38.856]',-0.050,0.280,0.965,0.361,1.470,85.106
'[11:13:38.864]',-0.055,0.270,0.960,0.361,1.576,86.571
'[11:13:38.872]',-0.055,0.275,0.960,0.362,1.711,88.564
'[11:13:38.880]',-0.055,0.275,0.965,0.361,1.899,90.967
'[11:13:38.888]',-0.050,0.280,0.965,0.361,2.116,93.781
'[11:13:38.896]',-0.050,0.285,0.960,0.360,2.334,96.770
'[11:13:38.904]',-0.050,0.285,0.960,0.359,2.530,99.876
'[11:13:38.912]',-0.050,0.280,0.965,0.358,2.680,102.748
'[11:13:38.920]',-0.050,0.275,0.970,0.358,2.775,105.327
'[11:13:38.928]',-0.050,0.285,0.970,0.357,2.812,107.437
'[11:13:38.936]',-0.045,0.285,0.970,0.356,2.797,108.903
'[11:13:38.944]',-0.045,0.285,0.970,0.354,2.740,109.723
'[11:13:38.952]',-0.030,0.285,0.975,0.353,2.652,109.899
'[11:13:38.960]',-0.005,0.295,0.990,0.350,2.556,109.372
'[11:13:38.968]',0.020,0.315,1.020,0.348,2.457,108.258
'[11:13:38.976]',0.040,0.320,1.025,0.345,2.344,106.617
'[11:13:38.984]',0.044,0.320,1.025,0.343,2.228,104.565
'[11:13:38.992]',0.040,0.340,1.035,0.340,2.113,102.221
'[11:13:39.000]',0.015,0.320,0.995,0.337,2.004,99.759
'[11:13:39.008]',0.015,0.310,0.975,0.334,1.901,97.239
'[11:13:39.016]',-0.000,0.295,0.950,0.330,1.808,94.718
'[11:13:39.024]',-0.015,0.290,0.945,0.326,1.727,92.315
'[11:13:39.032]',-0.021,0.295,0.945,0.321,1.658,90.029
'[11:13:39.040]',-0.035,0.275,0.945,0.317,1.600,87.919
'[11:13:39.048]',-0.045,0.270,0.950,0.313,1.554,85.985
'[11:13:39.056]',-0.045,0.270,0.945,0.309,1.516,84.227
'[11:13:39.064]',-0.045,0.270,0.945,0.305,1.488,82.644
'[11:13:39.072]',-0.045,0.270,0.950,0.302,1.467,81.296
'[11:13:39.080]',-0.045,0.270,0.950,0.298,1.449,80.124
'[11:13:39.088]',-0.030,0.245,0.935,0.295,1.434,79.127
'[11:13:39.096]',0.095,0.305,1.030,0.292,1.423,78.190
'[11:13:39.104]',0.370,0.570,1.115,0.289,1.418,77.369
'[11:13:39.112]',0.865,1.126,1.150,0.287,1.420,76.666
'[11:13:39.120]',1.160,1.501,1.200,0.285,1.432,76.021
'[11:13:39.128]',0.325,1.200,0.855,0.283,1.454,75.552
'[11:13:39.136]',-0.231,0.690,0.650,0.281,1.486,75.200
'[11:13:39.144]',-0.265,0.425,0.785,0.280,1.526,74.849
'[11:13:39.152]',-0.160,0.265,0.890,0.279,1.575,74.673
'[11:13:39.160]',-0.090,0.220,0.955,0.278,1.621,74.556
'[11:13:39.168]',-0.070,0.200,0.975,0.277,1.665,74.556
'[11:13:39.176]',-0.065,0.195,0.985,0.276,1.712,74.556
'[11:13:39.184]',-0.061,0.185,0.990,0.275,1.757,74.673
'[11:13:39.192]',-0.055,0.190,0.995,0.274,1.794,74.790
'[11:13:39.200]',-0.050,0.185,1.000,0.274,1.821,75.024
'[11:13:39.208]',-0.045,0.200,1.000,0.273,1.837,75.435
'[11:13:39.216]',-0.035,0.200,1.000,0.273,1.840,75.786
'[11:13:39.224]',-0.025,0.205,1.000,0.272,1.830,76.314
'[11:13:39.232]',-0.021,0.210,1.005,0.272,1.807,76.724
'[11:13:39.240]',-0.021,0.215,1.005,0.272,1.773,77.193
'[11:13:39.248]',-0.021,0.220,1.010,0.272,1.732,77.662
'[11:13:39.256]',-0.015,0.225,1.020,0.271,1.687,78.131
'[11:13:39.264]',-0.010,0.230,1.020,0.271,1.645,78.541
'[11:13:39.272]',-0.000,0.240,1.020,0.271,1.606,78.834
'[11:13:39.280]',-0.000,0.245,1.020,0.271,1.562,79.186
'[11:13:39.288]',-0.000,0.245,1.025,0.270,1.516,79.362
