'Time','II','AVR','V','RESP','PLETH','ABP','LAP'
'[18:23:02.072]',0.640,0.355,0.660,0.910,2.071,67.600,37.004
'[18:23:02.080]',0.695,0.300,0.650,0.928,2.070,67.307,37.004
'[18:23:02.088]',0.715,0.285,0.685,0.946,2.070,67.112,37.004
'[18:23:02.096]',0.720,0.285,0.660,0.961,2.070,67.063,37.004
'[18:23:02.104]',0.710,0.305,0.700,0.977,2.070,67.600,37.004
'[18:23:02.112]',0.705,0.310,0.680,0.989,2.066,69.407,37.004
'[18:23:02.120]',0.710,0.295,0.705,1.000,2.059,73.608,37.004
'[18:23:02.128]',0.645,0.365,0.675,1.000,2.045,81.130,37.004
'[18:23:02.136]',0.600,0.405,0.690,1.000,2.032,91.925,37.004
'[18:23:02.144]',0.570,0.425,0.660,1.000,2.020,104.819,37.004
'[18:23:02.152]',0.515,0.475,0.675,1.000,2.007,118.056,37.004
'[18:23:02.160]',0.475,0.515,0.635,1.000,1.994,130.414,37.004
'[18:23:02.168]',0.445,0.540,0.655,1.000,1.978,141.159,37.004
'[18:23:02.176]',0.440,0.535,0.625,1.000,1.962,149.951,37.004
'[18:23:02.184]',0.455,0.525,0.660,1.000,1.943,156.301,37.004
'[18:23:02.192]',0.435,0.545,0.635,1.000,1.925,159.867,37.004
'[18:23:02.200]',0.415,0.565,0.660,1.000,1.906,160.551,37.004
'[18:23:02.208]',0.425,0.560,0.645,1.000,1.891,158.548,37.004
'[18:23:02.216]',0.430,0.545,0.680,1.000,1.874,154.640,37.004
'[18:23:02.224]',0.445,0.545,0.660,1.000,1.859,149.414,37.004
'[18:23:02.232]',0.440,0.540,0.680,1.000,1.846,143.602,37.004
'[18:23:02.240]',0.425,0.565,0.655,1.000,1.833,137.594,37.004
'[18:23:02.248]',0.450,0.540,0.665,1.000,1.820,131.879,37.004
'[18:23:02.256]',0.475,0.520,0.640,1.000,1.804,126.555,37.004
'[18:23:02.264]',0.470,0.520,0.625,1.000,1.794,121.866,37.004
'[18:23:02.272]',0.450,0.535,0.595,1.000,1.785,117.812,37.004
'[18:23:02.280]',0.450,0.540,0.580,1.000,1.781,114.442,37.004
'[18:23:02.288]',0.435,0.560,0.595,1.000,1.782,111.658,37.004
'[18:23:02.296]',0.430,0.565,0.560,1.000,1.782,109.411,37.004
'[18:23:02.304]',0.455,0.540,0.595,1.000,1.779,107.555,37.004
'[18:23:02.312]',0.475,0.520,0.565,1.000,1.775,105.943,37.004
'[18:23:02.320]',0.470,0.515,0.605,1.000,1.769,104.429,37.004
'[18:23:02.328]',0.480,0.520,0.575,1.000,1.763,102.915,37.004
'[18:23:02.336]',0.465,0.535,0.590,1.000,1.761,101.352,37.004
'[18:23:02.344]',0.460,0.540,0.560,1.000,1.760,99.495,37.004
'[18:23:02.352]',0.480,0.520,0.585,1.000,1.761,97.297,37.004
'[18:23:02.360]',0.455,0.535,0.540,1.000,1.762,94.855,37.004
'[18:23:02.368]',0.450,0.545,0.560,1.000,1.761,92.364,37.004
'[18:23:02.376]',0.460,0.535,0.520,1.000,1.760,90.069,37.004
'[18:23:02.384]',0.435,0.565,0.540,1.000,1.761,88.261,37.004
'[18:23:02.392]',0.440,0.555,0.510,1.000,1.769,86.991,37.004
'[18:23:02.400]',0.470,0.525,0.540,1.000,1.776,86.356,37.004
'[18:23:02.408]',0.450,0.535,0.505,1.000,1.779,86.259,37.004
'[18:23:02.416]',0.460,0.535,0.530,1.000,1.781,86.405,37.004
'[18:23:02.424]',0.470,0.525,0.505,1.000,1.782,86.991,37.004
'[18:23:02.432]',0.465,0.535,0.530,1.000,1.788,87.871,37.004
'[18:23:02.440]',0.445,0.550,0.500,1.000,1.804,88.994,37.004
'[18:23:02.448]',0.440,0.555,0.495,1.000,1.830,90.117,37.004
'[18:23:02.456]',0.450,0.545,0.520,1.000,1.868,91.192,37.004
'[18:23:02.464]',0.495,0.510,0.510,1.000,1.912,92.120,37.004
'[18:23:02.472]',0.535,0.475,0.560,1.000,1.959,92.853,37.004
'[18:23:02.480]',0.525,0.470,0.545,1.000,2.002,93.341,37.004
'[18:23:02.488]',0.520,0.455,0.560,1.000,2.042,93.536,37.004
'[18:23:02.496]',0.535,0.430,0.495,1.000,2.087,93.488,37.004
'[18:23:02.504]',0.545,0.445,0.505,1.000,2.131,93.195,37.004
'[18:23:02.512]',0.505,0.480,0.470,1.000,2.172,92.657,37.004
'[18:23:02.520]',0.460,0.510,0.480,1.000,2.211,91.925,37.004
'[18:23:02.528]',0.445,0.510,0.435,1.000,2.246,90.997,37.004
'[18:23:02.536]',0.445,0.530,0.465,1.000,2.274,89.922,37.004
'[18:23:02.544]',0.415,0.575,0.460,1.000,2.293,88.750,37.004
'[18:23:02.552]',0.410,0.585,0.485,1.000,2.310,87.529,37.004
'[18:23:02.560]',0.420,0.570,0.455,1.000,2.327,86.356,37.004
'[18:23:02.568]',0.425,0.565,0.490,1.000,2.349,85.233,37.004
'[18:23:02.576]',0.420,0.570,0.470,1.000,2.366,84.158,37.004
'[18:23:02.584]',0.425,0.580,0.515,1.000,2.377,83.182,37.004
'[18:23:02.592]',0.420,0.590,0.495,1.000,2.389,82.156,37.004
'[18:23:02.600]',0.440,0.560,0.525,1.000,2.401,81.179,37.004
'[18:23:02.608]',0.435,0.555,0.485,1.000,2.413,80.251,37.004
'[18:23:02.616]',0.420,0.570,0.515,1.000,2.426,79.372,37.004
'[18:23:02.624]',0.415,0.590,0.535,1.000,2.436,78.590,37.004
'[18:23:02.632]',0.470,0.540,0.565,1.000,2.437,77.858,37.004
'[18:23:02.640]',0.620,0.365,0.440,1.000,2.431,77.174,37.004
'[18:23:02.648]',0.965,0.030,0.310,1.000,2.422,76.636,37.004
'[18:23:02.656]',1.225,-0.150,0.150,1.000,2.412,76.050,37.004
'[18:23:02.664]',0.905,0.200,0.220,1.000,2.400,75.562,37.004
'[18:23:02.672]',0.715,0.535,0.370,1.000,2.388,75.073,37.004
'[18:23:02.680]',0.605,0.610,0.435,1.000,2.375,74.536,37.004
'[18:23:02.688]',0.495,0.600,0.455,1.000,2.367,74.194,37.004
'[18:23:02.696]',0.445,0.580,0.480,1.000,2.362,73.852,37.004
'[18:23:02.704]',0.415,0.575,0.510,1.000,2.356,73.608,37.004
'[18:23:02.712]',0.400,0.590,0.545,1.000,2.347,73.364,37.004
'[18:23:02.720]',0.415,0.555,0.585,1.000,2.336,73.217,37.004
'[18:23:02.728]',0.400,0.565,0.580,1.000,2.325,73.168,37.004
'[18:23:02.736]',0.420,0.545,0.630,1.000,2.310,73.120,37.004
'[18:23:02.744]',0.425,0.540,0.595,1.000,2.293,73.120,37.004
'[18:23:02.752]',0.410,0.560,0.610,1.000,2.279,73.120,37.004
'[18:23:02.760]',0.400,0.570,0.570,1.000,2.265,73.071,37.004
'[18:23:02.768]',0.425,0.540,0.590,1.000,2.251,72.924,37.004
'[18:23:02.776]',0.415,0.545,0.570,1.000,2.239,72.778,37.004
'[18:23:02.784]',0.435,0.525,0.620,1.000,2.226,72.533,37.004
'[18:23:02.792]',0.455,0.515,0.590,1.000,2.213,72.240,37.004
'[18:23:02.800]',0.490,0.490,0.610,1.000,2.200,71.947,37.004
'[18:23:02.808]',0.495,0.485,0.550,1.000,2.188,71.508,37.004
'[18:23:02.816]',0.490,0.490,0.535,1.000,2.179,70.970,37.004
'[18:23:02.824]',0.490,0.495,0.470,1.000,2.174,70.482,37.004
'[18:23:02.832]',0.510,0.465,0.460,1.000,2.172,69.945,37.004
'[18:23:02.840]',0.535,0.435,0.440,1.000,2.171,69.359,37.004
'[18:23:02.848]',0.570,0.415,0.480,1.000,2.170,68.821,37.004
'[18:23:02.856]',0.595,0.390,0.495,1.000,2.170,68.235,37.004
'[18:23:02.864]',0.630,0.355,0.485,1.000,2.170,67.796,37.004
'[18:23:02.872]',0.660,0.340,0.520,1.000,2.170,67.356,37.004
'[18:23:02.880]',0.690,0.315,0.505,1.000,2.170,67.112,37.004
'[18:23:02.888]',0.730,0.280,0.545,1.000,2.170,66.916,37.004
'[18:23:02.896]',0.735,0.270,0.530,1.000,2.170,67.063,37.004
'[18:23:02.904]',0.695,0.310,0.550,1.000,2.170,67.942,37.004
'[18:23:02.912]',0.710,0.295,0.530,1.000,2.170,70.238,37.004
'[18:23:02.920]',0.685,0.330,0.565,1.000,2.163,75.220,37.004
'[18:23:02.928]',0.630,0.385,0.520,1.000,2.148,83.621,37.004
'[18:23:02.936]',0.595,0.410,0.540,1.000,2.127,94.904,37.004
'[18:23:02.944]',0.535,0.465,0.490,1.000,2.105,107.848,37.004
'[18:23:02.952]',0.490,0.505,0.500,1.000,2.081,120.791,37.004
'[18:23:02.960]',0.470,0.525,0.465,1.000,2.060,132.563,37.004
'[18:23:02.968]',0.465,0.520,0.495,1.000,2.043,142.674,37.004
'[18:23:02.976]',0.450,0.535,0.460,1.000,2.028,150.635,37.004
'[18:23:02.984]',0.430,0.560,0.490,1.000,2.015,156.008,37.004
'[18:23:02.992]',0.440,0.565,0.470,0.999,1.998,158.499,37.004
'[18:23:03.000]',0.445,0.545,0.495,0.998,1.978,158.206,37.004
'[18:23:03.008]',0.435,0.555,0.465,0.993,1.961,155.422,37.004
'[18:23:03.016]',0.445,0.540,0.490,0.988,1.946,150.977,37.004
'[18:23:03.024]',0.440,0.550,0.460,0.981,1.930,145.409,37.004
'[18:23:03.032]',0.430,0.560,0.490,0.974,1.915,139.352,37.004
'[18:23:03.040]',0.430,0.565,0.465,0.965,1.898,133.344,37.004
'[18:23:03.048]',0.440,0.560,0.485,0.957,1.884,127.678,37.004
'[18:23:03.056]',0.440,0.560,0.460,0.948,1.870,122.452,37.004
'[18:23:03.064]',0.460,0.540,0.450,0.939,1.857,117.812,37.004
'[18:23:03.072]',0.465,0.535,0.480,0.930,1.848,113.856,37.004
'[18:23:03.080]',0.440,0.545,0.440,0.921,1.837,110.534,37.004
'[18:23:03.088]',0.455,0.540,0.465,0.910,1.828,107.799,37.004
'[18:23:03.096]',0.445,0.550,0.430,0.899,1.817,105.552,37.004
'[18:23:03.104]',0.445,0.545,0.455,0.886,1.805,103.598,37.004
'[18:23:03.112]',0.445,0.550,0.445,0.874,1.797,101.889,37.004
'[18:23:03.120]',0.455,0.540,0.475,0.862,1.790,100.228,37.004
'[18:23:03.128]',0.460,0.540,0.455,0.851,1.783,98.567,37.004
'[18:23:03.136]',0.470,0.535,0.485,0.840,1.777,96.809,37.004
'[18:23:03.144]',0.470,0.530,0.455,0.829,1.774,94.806,37.004
'[18:23:03.152]',0.445,0.555,0.470,0.818,1.769,92.560,37.004
'[18:23:03.160]',0.455,0.540,0.440,0.808,1.766,90.166,37.004
'[18:23:03.168]',0.465,0.535,0.465,0.798,1.765,87.919,37.004
'[18:23:03.176]',0.450,0.550,0.425,0.788,1.764,86.063,37.004
'[18:23:03.184]',0.455,0.545,0.445,0.780,1.770,84.745,37.004
'[18:23:03.192]',0.430,0.570,0.415,0.772,1.776,84.110,37.004
'[18:23:03.200]',0.450,0.550,0.435,0.764,1.779,83.914,37.004
'[18:23:03.208]',0.445,0.545,0.390,0.757,1.781,84.256,37.004
'[18:23:03.216]',0.440,0.555,0.420,0.752,1.782,84.842,37.004
'[18:23:03.224]',0.460,0.535,0.395,0.747,1.782,85.819,37.004
'[18:23:03.232]',0.455,0.540,0.420,0.743,1.788,86.991,37.004
'[18:23:03.240]',0.450,0.550,0.390,0.740,1.804,88.359,37.004
'[18:23:03.248]',0.470,0.530,0.425,0.737,1.827,89.678,37.004
'[18:23:03.256]',0.480,0.515,0.415,0.735,1.860,90.801,37.004
'[18:23:03.264]',0.515,0.480,0.450,0.733,1.902,91.680,37.004
'[18:23:03.272]',0.530,0.470,0.455,0.732,1.948,92.364,37.004
'[18:23:03.280]',0.520,0.465,0.415,0.731,1.990,92.755,37.004
'[18:23:03.288]',0.535,0.445,0.375,0.730,2.029,92.853,37.004
'[18:23:03.296]',0.525,0.460,0.350,0.730,2.074,92.657,37.004
'[18:23:03.304]',0.495,0.495,0.355,0.730,2.119,92.315,37.004
'[18:23:03.312]',0.460,0.505,0.310,0.730,2.160,91.632,37.004
'[18:23:03.320]',0.435,0.535,0.330,0.731,2.199,90.801,37.004
'[18:23:03.328]',0.420,0.550,0.305,0.732,2.232,89.873,37.004
'[18:23:03.336]',0.425,0.565,0.350,0.733,2.254,88.799,37.004
'[18:23:03.344]',0.400,0.590,0.325,0.734,2.271,87.626,37.004
'[18:23:03.352]',0.395,0.595,0.355,0.735,2.285,86.405,37.004
'[18:23:03.360]',0.405,0.580,0.340,0.736,2.299,85.282,37.004
'[18:23:03.368]',0.415,0.575,0.375,0.736,2.313,84.158,37.004
'[18:23:03.376]',0.425,0.565,0.365,0.736,2.323,83.133,37.004
'[18:23:03.384]',0.420,0.570,0.405,0.736,2.330,82.107,37.004
'[18:23:03.392]',0.415,0.580,0.375,0.736,2.340,81.179,37.004
'[18:23:03.400]',0.430,0.565,0.415,0.736,2.349,80.349,37.004
'[18:23:03.408]',0.440,0.570,0.390,0.736,2.356,79.567,37.004
'[18:23:03.416]',0.395,0.610,0.455,0.736,2.360,78.737,37.004
'[18:23:03.424]',0.430,0.570,0.435,0.735,2.359,78.004,37.004
'[18:23:03.432]',0.560,0.415,0.385,0.735,2.358,77.320,37.004
'[18:23:03.440]',0.860,0.100,0.220,0.734,2.354,76.685,37.004
'[18:23:03.448]',1.175,-0.145,0.070,0.733,2.346,76.099,37.004
'[18:23:03.456]',0.940,0.130,0.045,0.733,2.336,75.611,37.004
'[18:23:03.464]',0.695,0.510,0.225,0.732,2.325,75.122,37.004
'[18:23:03.472]',0.635,0.585,0.325,0.732,2.313,74.731,37.004
'[18:23:03.480]',0.485,0.630,0.375,0.732,2.300,74.341,37.004
'[18:23:03.488]',0.415,0.635,0.400,0.732,2.288,74.048,37.004
'[18:23:03.496]',0.400,0.605,0.390,0.732,2.276,73.755,37.004
'[18:23:03.504]',0.395,0.585,0.455,0.733,2.263,73.510,37.004
'[18:23:03.512]',0.415,0.555,0.485,0.733,2.250,73.315,37.004
'[18:23:03.520]',0.405,0.550,0.505,0.734,2.238,73.217,37.004
'[18:23:03.528]',0.410,0.560,0.475,0.735,2.226,73.168,37.004
'[18:23:03.536]',0.395,0.580,0.495,0.735,2.210,73.168,37.004
'[18:23:03.544]',0.390,0.575,0.450,0.735,2.193,73.168,37.004
'[18:23:03.552]',0.395,0.580,0.465,0.735,2.181,73.217,37.004
'[18:23:03.560]',0.415,0.555,0.440,0.735,2.175,73.168,37.004
'[18:23:03.568]',0.420,0.545,0.480,0.735,2.172,73.120,37.004
'[18:23:03.576]',0.435,0.525,0.470,0.735,2.167,72.924,37.004
'[18:23:03.584]',0.450,0.520,0.515,0.734,2.159,72.631,37.004
'[18:23:03.592]',0.465,0.510,0.470,0.734,2.152,72.240,37.004
'[18:23:03.600]',0.455,0.515,0.465,0.734,2.149,71.801,37.004
'[18:23:03.608]',0.490,0.485,0.395,0.733,2.147,71.361,37.004
'[18:23:03.616]',0.495,0.480,0.380,0.732,2.146,70.873,37.004
'[18:23:03.624]',0.490,0.490,0.325,0.732,2.146,70.287,37.004
'[18:23:03.632]',0.525,0.455,0.340,0.730,2.146,69.798,37.004
'[18:23:03.640]',0.550,0.430,0.325,0.729,2.146,69.310,37.004
'[18:23:03.648]',0.575,0.425,0.365,0.727,2.146,68.724,37.004
'[18:23:03.656]',0.615,0.385,0.375,0.725,2.146,68.235,37.004
'[18:23:03.664]',0.665,0.320,0.415,0.723,2.139,67.796,37.004
'[18:23:03.672]',0.705,0.285,0.410,0.721,2.129,67.405,37.004
'[18:23:03.680]',0.710,0.285,0.435,0.719,2.121,67.112,37.004
'[18:23:03.688]',0.705,0.300,0.455,0.716,2.110,67.112,37.004
'[18:23:03.696]',0.695,0.310,0.430,0.714,2.100,67.698,37.004
'[18:23:03.704]',0.705,0.305,0.475,0.712,2.088,69.603,37.004
'[18:23:03.712]',0.710,0.310,0.455,0.710,2.079,73.999,37.004
'[18:23:03.720]',0.650,0.355,0.485,0.708,2.074,81.618,37.004
'[18:23:03.728]',0.610,0.395,0.455,0.706,2.047,92.364,37.004
'[18:23:03.736]',0.560,0.435,0.485,0.703,2.008,105.113,37.004
'[18:23:03.744]',0.510,0.495,0.450,0.699,1.988,118.056,37.004
'[18:23:03.752]',0.475,0.530,0.470,0.696,1.978,129.974,37.004
'[18:23:03.760]',0.470,0.530,0.445,0.693,1.971,140.378,37.004
'[18:23:03.768]',0.450,0.550,0.465,0.689,1.957,148.828,37.004
'[18:23:03.776]',0.415,0.585,0.425,0.686,1.941,154.787,37.004
'[18:23:03.784]',0.425,0.570,0.465,0.682,1.924,158.011,37.004
'[18:23:03.792]',0.445,0.545,0.435,0.677,1.902,158.304,37.004
'[18:23:03.800]',0.445,0.545,0.470,0.672,1.879,156.057,37.004
'[18:23:03.808]',0.450,0.540,0.435,0.665,1.855,151.856,37.004
'[18:23:03.816]',0.440,0.560,0.455,0.659,1.831,146.483,37.004
'[18:23:03.824]',0.430,0.565,0.440,0.649,1.806,140.573,37.004
'[18:23:03.832]',0.425,0.570,0.470,0.640,1.781,134.517,37.004
'[18:23:03.840]',0.425,0.570,0.460,0.629,1.762,128.753,37.004
'[18:23:03.848]',0.455,0.550,0.500,0.618,1.747,123.380,37.004
'[18:23:03.856]',0.465,0.535,0.475,0.606,1.733,118.593,37.004
'[18:23:03.864]',0.465,0.530,0.490,0.595,1.722,114.491,37.004
'[18:23:03.872]',0.455,0.540,0.460,0.583,1.711,111.071,37.004
'[18:23:03.880]',0.470,0.535,0.450,0.572,1.702,108.239,37.004
'[18:23:03.888]',0.465,0.545,0.475,0.558,1.695,105.845,37.004
'[18:23:03.896]',0.455,0.540,0.445,0.545,1.688,103.940,37.004
'[18:23:03.904]',0.465,0.540,0.485,0.530,1.682,102.231,37.004
'[18:23:03.912]',0.465,0.520,0.455,0.515,1.676,100.619,37.004
'[18:23:03.920]',0.455,0.535,0.490,0.501,1.670,99.007,37.004
'[18:23:03.928]',0.445,0.565,0.460,0.487,1.664,97.249,37.004
'[18:23:03.936]',0.450,0.550,0.495,0.473,1.661,95.295,37.004
'[18:23:03.944]',0.460,0.535,0.465,0.460,1.662,93.195,37.004
'[18:23:03.952]',0.470,0.530,0.490,0.447,1.669,90.801,37.004
'[18:23:03.960]',0.450,0.545,0.455,0.434,1.675,88.554,37.004
'[18:23:03.968]',0.455,0.545,0.485,0.421,1.678,86.601,37.004
'[18:23:03.976]',0.445,0.550,0.450,0.408,1.680,85.282,37.004
'[18:23:03.984]',0.455,0.545,0.475,0.397,1.681,84.549,37.004
'[18:23:03.992]',0.470,0.530,0.455,0.385,1.678,84.354,37.004
'[18:23:04.000]',0.480,0.520,0.480,0.374,1.677,84.549,37.004
'[18:23:04.008]',0.445,0.550,0.445,0.364,1.679,84.989,37.004
'[18:23:04.016]',0.445,0.560,0.470,0.355,1.680,85.819,37.004
'[18:23:04.024]',0.450,0.545,0.440,0.346,1.687,86.796,37.004
'[18:23:04.032]',0.465,0.540,0.470,0.338,1.703,88.066,37.004
'[18:23:04.040]',0.460,0.525,0.460,0.331,1.729,89.385,37.004
'[18:23:04.048]',0.515,0.485,0.500,0.325,1.767,90.606,37.004
'[18:23:04.056]',0.525,0.475,0.495,0.320,1.811,91.632,37.004
'[18:23:04.064]',0.525,0.480,0.525,0.315,1.858,92.364,37.004
'[18:23:04.072]',0.520,0.470,0.490,0.311,1.904,92.804,37.004
'[18:23:04.080]',0.535,0.435,0.470,0.307,1.942,92.950,37.004
'[18:23:04.088]',0.540,0.445,0.430,0.304,1.980,92.755,37.004
'[18:23:04.096]',0.535,0.460,0.420,0.301,2.022,92.218,37.004
'[18:23:04.104]',0.480,0.500,0.445,0.299,2.061,91.534,37.004
'[18:23:04.112]',0.445,0.520,0.400,0.296,2.096,90.655,37.004
'[18:23:04.120]',0.440,0.535,0.425,0.294,2.126,89.629,37.004
'[18:23:04.128]',0.425,0.555,0.410,0.293,2.151,88.506,37.004
'[18:23:04.136]',0.425,0.570,0.445,0.291,2.169,87.284,37.004
'[18:23:04.144]',0.420,0.585,0.420,0.289,2.185,86.161,37.004
'[18:23:04.152]',0.410,0.575,0.445,0.287,2.198,84.989,37.004
'[18:23:04.160]',0.415,0.565,0.425,0.285,2.212,83.865,37.004
'[18:23:04.168]',0.410,0.585,0.470,0.283,2.225,82.791,37.004
'[18:23:04.176]',0.425,0.570,0.465,0.282,2.235,81.814,37.004
'[18:23:04.184]',0.440,0.565,0.510,0.280,2.239,80.886,37.004
'[18:23:04.192]',0.435,0.565,0.485,0.279,2.239,80.055,37.004
'[18:23:04.200]',0.445,0.550,0.520,0.278,2.236,79.225,37.004
'[18:23:04.208]',0.400,0.605,0.515,0.277,2.234,78.444,37.004
'[18:23:04.216]',0.435,0.580,0.565,0.276,2.230,77.760,37.004
'[18:23:04.224]',0.520,0.460,0.475,0.275,2.221,77.125,37.004
'[18:23:04.232]',0.785,0.170,0.355,0.274,2.210,76.490,37.004
'[18:23:04.240]',1.130,-0.130,0.135,0.273,2.198,76.001,37.004
'[18:23:04.248]',1.165,0.045,0.095,0.273,2.187,75.464,37.004
'[18:23:04.256]',0.680,0.480,0.235,0.272,2.175,74.976,37.004
'[18:23:04.264]',0.645,0.570,0.385,0.272,2.162,74.536,37.004
'[18:23:04.272]',0.505,0.620,0.415,0.271,2.150,74.194,37.004
'[18:23:04.280]',0.450,0.585,0.475,0.271,2.137,73.803,37.004
'[18:23:04.288]',0.405,0.595,0.495,0.270,2.125,73.559,37.004
'[18:23:04.296]',0.385,0.605,0.490,0.270,2.112,73.364,37.004
'[18:23:04.304]',0.400,0.580,0.545,0.270,2.100,73.217,37.004
'[18:23:04.312]',0.415,0.560,0.580,0.271,2.087,73.168,37.004
'[18:23:04.320]',0.395,0.575,0.600,0.271,2.078,73.120,37.004
'[18:23:04.328]',0.390,0.580,0.560,0.272,2.073,73.120,37.004
'[18:23:04.336]',0.400,0.565,0.570,0.273,2.071,73.071,37.004
'[18:23:04.344]',0.415,0.550,0.525,0.273,2.070,73.071,37.004
'[18:23:04.352]',0.420,0.550,0.540,0.274,2.069,72.973,37.004
'[18:23:04.360]',0.430,0.545,0.525,0.274,2.069,72.875,37.004
'[18:23:04.368]',0.440,0.530,0.580,0.274,2.069,72.680,37.004
'[18:23:04.376]',0.435,0.540,0.565,0.275,2.065,72.436,37.004
'[18:23:04.384]',0.450,0.520,0.585,0.275,2.061,72.094,37.004
'[18:23:04.392]',0.470,0.495,0.535,0.275,2.052,71.752,37.004
'[18:23:04.400]',0.480,0.485,0.530,0.275,2.042,71.215,37.004
'[18:23:04.408]',0.490,0.475,0.455,0.275,2.037,70.726,37.004
'[18:23:04.416]',0.500,0.460,0.450,0.275,2.034,70.189,37.004
'[18:23:04.424]',0.520,0.445,0.415,0.275,2.033,69.554,37.004
'[18:23:04.432]',0.550,0.425,0.460,0.275,2.032,68.968,37.004
'[18:23:04.440]',0.560,0.425,0.450,0.275,2.032,68.479,37.004
'[18:23:04.448]',0.600,0.385,0.500,0.275,2.032,67.991,37.004
'[18:23:04.456]',0.655,0.335,0.490,0.275,2.032,67.551,37.004
'[18:23:04.464]',0.700,0.290,0.525,0.275,2.025,67.258,37.004
'[18:23:04.472]',0.705,0.285,0.520,0.275,2.016,66.965,37.004
'[18:23:04.480]',0.705,0.300,0.545,0.275,2.011,66.965,37.004
'[18:23:04.488]',0.700,0.305,0.550,0.275,2.002,67.551,37.004
'[18:23:04.496]',0.705,0.300,0.520,0.274,1.988,69.554,37.004
'[18:23:04.504]',0.680,0.310,0.560,0.274,1.976,73.999,37.004
'[18:23:04.512]',0.640,0.360,0.530,0.273,1.960,81.814,37.004
'[18:23:04.520]',0.590,0.410,0.560,0.272,1.939,92.755,37.004
'[18:23:04.528]',0.550,0.450,0.520,0.270,1.923,105.747,37.004
'[18:23:04.536]',0.525,0.465,0.540,0.269,1.908,118.935,37.004
'[18:23:04.544]',0.500,0.495,0.510,0.267,1.894,131.195,37.004
'[18:23:04.552]',0.470,0.520,0.525,0.265,1.888,141.892,37.004
'[18:23:04.560]',0.445,0.540,0.485,0.263,1.878,150.489,37.004
'[18:23:04.568]',0.420,0.580,0.500,0.260,1.867,156.692,37.004
'[18:23:04.576]',0.425,0.565,0.475,0.257,1.858,160.062,37.004
'[18:23:04.584]',0.425,0.570,0.510,0.254,1.848,160.453,37.004
'[18:23:04.592]',0.430,0.565,0.495,0.249,1.833,158.255,37.004
'[18:23:04.600]',0.425,0.560,0.525,0.245,1.813,154.103,37.004
'[18:23:04.608]',0.445,0.545,0.510,0.239,1.791,148.926,37.004
'[18:23:04.616]',0.455,0.540,0.535,0.234,1.767,143.162,37.004
'[18:23:04.624]',0.450,0.545,0.500,0.226,1.743,137.301,37.004
'[18:23:04.632]',0.455,0.540,0.535,0.219,1.718,131.733,37.004
'[18:23:04.640]',0.440,0.570,0.510,0.211,1.697,126.604,37.004
'[18:23:04.648]',0.450,0.560,0.540,0.203,1.686,122.013,37.004
'[18:23:04.656]',0.475,0.535,0.520,0.194,1.684,118.056,37.004
'[18:23:04.664]',0.460,0.540,0.510,0.185,1.683,114.686,37.004
'[18:23:04.672]',0.450,0.555,0.485,0.177,1.682,111.951,37.004
'[18:23:04.680]',0.470,0.530,0.480,0.169,1.682,109.606,37.004
'[18:23:04.688]',0.460,0.520,0.515,0.159,1.679,107.701,37.004
'[18:23:04.696]',0.470,0.535,0.490,0.149,1.674,105.992,37.004
'[18:23:04.704]',0.475,0.525,0.525,0.139,1.673,104.429,37.004
'[18:23:04.712]',0.450,0.545,0.495,0.129,1.668,102.915,37.004
'[18:23:04.720]',0.455,0.550,0.530,0.119,1.663,101.303,37.004
'[18:23:04.728]',0.445,0.555,0.500,0.110,1.660,99.447,37.004
'[18:23:04.736]',0.455,0.540,0.520,0.102,1.659,97.297,37.004
'[18:23:04.744]',0.470,0.535,0.490,0.094,1.658,94.855,37.004
'[18:23:04.752]',0.460,0.540,0.515,0.086,1.654,92.315,37.004
'[18:23:04.760]',0.455,0.550,0.475,0.079,1.646,89.873,37.004
'[18:23:04.768]',0.465,0.535,0.500,0.072,1.636,87.871,37.004
'[18:23:04.776]',0.470,0.530,0.470,0.065,1.631,86.552,37.004
'[18:23:04.784]',0.455,0.535,0.495,0.059,1.634,85.868,37.004
'[18:23:04.792]',0.445,0.555,0.470,0.053,1.642,85.673,37.004
'[18:23:04.800]',0.470,0.535,0.505,0.049,1.653,85.917,37.004
'[18:23:04.808]',0.460,0.540,0.475,0.044,1.665,86.503,37.004
'[18:23:04.816]',0.460,0.540,0.510,0.041,1.679,87.382,37.004
'[18:23:04.824]',0.445,0.565,0.485,0.038,1.702,88.554,37.004
'[18:23:04.832]',0.465,0.540,0.515,0.035,1.735,89.824,37.004
'[18:23:04.840]',0.510,0.490,0.495,0.033,1.777,91.094,37.004
'[18:23:04.848]',0.525,0.470,0.540,0.033,1.823,92.218,37.004
'[18:23:04.856]',0.530,0.480,0.520,0.033,1.871,93.097,37.004
'[18:23:04.864]',0.510,0.470,0.525,0.034,1.920,93.683,37.004
'[18:23:04.872]',0.535,0.440,0.485,0.035,1.963,93.976,37.004
'[18:23:04.880]',0.545,0.430,0.470,0.037,2.003,93.976,37.004
'[18:23:04.888]',0.520,0.460,0.485,0.038,2.045,93.683,37.004
'[18:23:04.896]',0.485,0.480,0.445,0.040,2.085,93.097,37.004
'[18:23:04.904]',0.450,0.510,0.465,0.043,2.124,92.218,37.004
'[18:23:04.912]',0.455,0.515,0.430,0.045,2.159,91.241,37.004
'[18:23:04.920]',0.415,0.580,0.475,0.048,2.186,90.117,37.004
'[18:23:04.928]',0.385,0.610,0.445,0.052,2.205,88.945,37.004
