'Time','I','II','AVR','V','RESP','PLETH','ABP','PAP','CVP'
'[15:29:11.488]',-,-0.050,0.845,0.905,0.126,1.567,78.541,23.689,11.312
'[15:29:11.496]',-,0.004,0.740,1.035,0.122,1.555,78.072,23.621,11.498
'[15:29:11.504]',-,0.215,0.565,1.100,0.119,1.544,77.603,23.485,11.625
'[15:29:11.512]',-,0.600,0.375,0.660,0.115,1.535,77.193,23.439,11.752
'[15:29:11.520]',-,0.695,0.360,0.240,0.112,1.527,76.724,23.371,11.869
'[15:29:11.528]',-,0.345,0.725,0.185,0.108,1.517,76.431,23.371,11.937
'[15:29:11.536]',-,0.109,0.890,0.235,0.103,1.507,76.021,23.439,11.937
'[15:29:11.544]',-,-0.000,0.920,0.440,0.098,1.497,75.669,23.439,11.869
'[15:29:11.552]',-,-0.021,0.875,0.685,0.094,1.486,75.376,23.303,11.869
'[15:29:11.560]',-,-0.030,0.880,0.800,0.089,1.474,75.024,22.985,11.869
'[15:29:11.568]',-,-0.045,0.870,0.865,0.084,1.463,74.673,22.372,11.869
'[15:29:11.576]',-,-0.061,0.885,0.875,0.078,1.454,74.380,21.736,11.937
'[15:29:11.584]',-,-0.050,0.870,0.895,0.072,1.444,74.028,21.236,12.064
'[15:29:11.592]',-,-0.061,0.885,0.890,0.067,1.434,73.735,20.986,12.250
'[15:29:11.600]',-,-0.050,0.870,0.905,0.061,1.424,73.501,20.986,12.436
'[15:29:11.608]',-,-0.061,0.875,0.895,0.056,1.416,73.090,20.986,12.690
'[15:29:11.616]',-,-0.045,0.860,0.900,0.050,1.409,72.797,20.873,12.875
'[15:29:11.624]',-,-0.050,0.865,0.895,0.044,1.400,72.446,20.487,13.061
'[15:29:11.632]',-,-0.030,0.850,0.905,0.038,1.389,72.035,19.942,13.246
'[15:29:11.640]',-,-0.045,0.860,0.900,0.031,1.377,71.684,19.237,13.305
'[15:29:11.648]',-,-0.025,0.845,0.895,0.024,1.365,71.332,18.806,13.373
'[15:29:11.656]',-,-0.035,0.855,0.910,0.018,1.350,71.097,18.692,13.305
'[15:29:11.664]',-,-0.015,0.835,0.895,0.012,1.334,70.922,19.237,13.188
'[15:29:11.672]',-,-0.025,0.850,0.915,0.006,1.319,70.687,20.691,13.061
'[15:29:11.680]',-,-0.005,0.830,0.900,0.000,1.303,70.570,23.053,12.934
'[15:29:11.688]',-,-0.015,0.840,0.915,-0.005,1.289,70.335,25.552,12.748
'[15:29:11.696]',-,0.004,0.820,0.905,-0.011,1.276,70.160,26.801,12.690
'[15:29:11.704]',-,-0.000,0.820,0.920,-0.016,1.267,69.984,26.687,12.621
'[15:29:11.712]',-,0.015,0.815,0.910,-0.022,1.259,69.749,25.938,12.690
'[15:29:11.720]',-,-0.000,0.810,0.920,-0.027,1.248,69.456,25.302,12.807
'[15:29:11.728]',-,0.020,0.800,0.915,-0.032,1.238,69.163,25.006,12.934
'[15:29:11.736]',-,0.024,0.800,0.920,-0.036,1.227,68.929,25.052,13.002
'[15:29:11.744]',-,0.020,0.805,0.915,-0.040,1.217,69.046,25.620,13.002
'[15:29:11.752]',-,0.044,0.785,0.925,-0.044,1.207,70.101,27.119,12.934
'[15:29:11.760]',-,0.035,0.780,0.920,-0.047,1.199,72.739,29.549,12.748
'[15:29:11.768]',-,0.060,0.770,0.930,-0.050,1.193,77.662,32.502,12.436
'[15:29:11.776]',-,0.050,0.775,0.925,-0.053,1.186,84.930,35.613,12.123
'[15:29:11.784]',-,0.070,0.750,0.930,-0.055,1.180,93.663,38.566,11.752
'[15:29:11.792]',-,0.080,0.755,0.920,-0.057,1.174,102.690,40.996,11.244
'[15:29:11.800]',-,0.090,0.735,0.930,-0.060,1.169,110.778,42.813,10.746
'[15:29:11.808]',-,0.080,0.750,0.915,-0.062,1.168,117.577,44.130,10.306
'[15:29:11.816]',-,0.095,0.735,0.920,-0.065,1.169,122.970,44.925,10.062
'[15:29:11.824]',-,0.080,0.750,0.905,-0.067,1.168,127.483,45.311,9.808
'[15:29:11.832]',-,0.090,0.745,0.900,-0.068,1.167,131.234,45.493,9.622
'[15:29:11.840]',-,0.060,0.775,0.880,-0.070,1.167,134.282,45.629,9.437
'[15:29:11.848]',-,0.065,0.775,0.875,-0.071,1.167,136.627,45.675,9.310
'[15:29:11.856]',-,0.030,0.800,0.855,-0.073,1.167,138.326,45.811,9.183
'[15:29:11.864]',-,0.035,0.800,0.850,-0.074,1.168,139.499,45.879,8.997
'[15:29:11.872]',-,-0.005,0.840,0.835,-0.075,1.170,140.495,45.993,8.811
'[15:29:11.880]',-,-0.010,0.845,0.830,-0.078,1.174,141.257,46.061,8.684
'[15:29:11.888]',-,-0.041,0.870,0.835,-0.079,1.180,141.902,46.129,8.557
'[15:29:11.896]',-,-0.035,0.875,0.825,-0.082,1.187,142.429,46.175,8.430
'[15:29:11.904]',-,-0.061,0.895,0.825,-0.084,1.196,142.781,46.129,8.372
'[15:29:11.912]',-,-0.050,0.895,0.820,-0.087,1.206,143.074,45.993,8.372
'[15:29:11.920]',-,-0.075,0.910,0.830,-0.089,1.217,143.308,45.743,8.372
'[15:29:11.928]',-,-0.070,0.905,0.825,-0.092,1.229,143.602,45.561,8.430
'[15:29:11.936]',-,-0.081,0.910,0.830,-0.095,1.241,143.777,45.425,8.499
'[15:29:11.944]',-,-0.075,0.915,0.825,-0.098,1.251,144.012,45.175,8.626
'[15:29:11.952]',-,-0.086,0.910,0.835,-0.101,1.259,144.129,44.880,8.743
'[15:29:11.960]',-,-0.090,0.925,0.825,-0.104,1.265,144.129,44.426,8.870
'[15:29:11.968]',-,-0.081,0.915,0.845,-0.108,1.272,144.012,43.926,8.938
'[15:29:11.976]',-,-0.090,0.925,0.835,-0.112,1.285,143.602,43.494,9.056
'[15:29:11.984]',-,-0.086,0.915,0.850,-0.115,1.314,143.133,42.995,9.124
'[15:29:11.992]',-,-0.095,0.930,0.840,-0.120,1.363,142.429,42.563,9.183
'[15:29:12.000]',-,-0.075,0.915,0.850,-0.123,1.441,141.491,42.132,9.251
'[15:29:12.008]',-,-0.090,0.920,0.845,-0.128,1.532,140.436,41.677,9.310
'[15:29:12.016]',-,-0.075,0.910,0.850,-0.133,1.640,139.088,41.178,9.368
'[15:29:12.024]',-,-0.086,0.920,0.850,-0.137,1.786,137.564,40.565,9.437
'[15:29:12.032]',-,-0.075,0.910,0.860,-0.142,1.956,135.747,39.883,9.495
'[15:29:12.040]',-,-0.090,0.920,0.850,-0.147,2.138,133.696,38.929,9.564
'[15:29:12.048]',-,-0.075,0.910,0.855,-0.152,2.317,131.234,37.816,9.564
'[15:29:12.056]',-,-0.075,0.915,0.860,-0.156,2.484,128.421,36.249,9.622
'[15:29:12.064]',-,-0.055,0.905,0.850,-0.161,2.632,125.197,33.932,9.681
'[15:29:12.072]',-,-0.065,0.910,0.860,-0.164,2.759,121.446,30.685,9.749
'[15:29:12.080]',-,-0.050,0.895,0.850,-0.168,2.862,117.343,27.187,9.876
'[15:29:12.088]',-,-0.055,0.895,0.860,-0.171,2.945,112.947,25.370,9.993
'[15:29:12.096]',-,-0.035,0.880,0.850,-0.174,3.010,108.434,27.119,10.120
'[15:29:12.104]',-,-0.050,0.885,0.855,-0.177,3.051,104.096,31.866,10.247
'[15:29:12.112]',-,-0.035,0.870,0.850,-0.180,3.075,100.697,36.681,10.501
'[15:29:12.120]',-,-0.045,0.885,0.855,-0.182,3.097,98.528,39.315,10.746
'[15:29:12.128]',-,-0.030,0.890,0.850,-0.184,3.111,97.883,39.679,11.000
'[15:29:12.136]',-,-0.025,0.870,0.860,-0.186,3.120,98.177,38.430,11.244
'[15:29:12.144]',-,-0.041,0.885,0.850,-0.188,3.122,98.821,35.931,11.439
'[15:29:12.152]',-,-0.025,0.870,0.855,-0.189,3.118,99.056,32.502,11.556
'[15:29:12.160]',-,-0.041,0.880,0.850,-0.189,3.110,98.821,29.254,11.625
'[15:29:12.168]',-,-0.025,0.865,0.855,-0.190,3.099,98.294,27.505,11.556
'[15:29:12.176]',-,-0.035,0.880,0.845,-0.191,3.083,97.708,28.005,11.498
'[15:29:12.184]',-,-0.025,0.865,0.855,-0.191,3.064,97.239,30.367,11.312
'[15:29:12.192]',-,-0.035,0.870,0.850,-0.191,3.040,96.711,33.569,11.058
'[15:29:12.200]',-,-0.015,0.860,0.855,-0.191,3.013,96.125,36.317,10.814
'[15:29:12.208]',-,-0.030,0.870,0.845,-0.191,2.981,95.305,37.748,10.560
'[15:29:12.216]',-,-0.015,0.860,0.850,-0.190,2.947,94.484,37.748,10.374
'[15:29:12.224]',-,-0.035,0.875,0.850,-0.189,2.910,93.722,36.431,10.189
'[15:29:12.232]',-,-0.021,0.860,0.845,-0.189,2.869,93.077,34.364,10.062
'[15:29:12.240]',-,-0.030,0.870,0.850,-0.188,2.825,92.432,31.934,9.993
'[15:29:12.248]',-,-0.015,0.855,0.845,-0.188,2.778,91.846,29.504,9.935
'[15:29:12.256]',-,-0.025,0.865,0.860,-0.187,2.728,91.260,27.255,9.935
'[15:29:12.264]',-,-0.000,0.845,0.875,-0.186,2.674,90.557,25.438,9.993
'[15:29:12.272]',-,-0.005,0.840,0.900,-0.184,2.616,89.854,24.257,10.062
'[15:29:12.280]',-,0.020,0.810,0.935,-0.183,2.552,89.150,23.553,10.120
'[15:29:12.288]',-,0.020,0.805,0.950,-0.181,2.482,88.505,23.303,10.189
'[15:29:12.296]',-,0.024,0.815,0.960,-0.180,2.404,87.861,23.439,10.306
'[15:29:12.304]',-,0.010,0.810,0.930,-0.178,2.328,87.216,23.621,10.374
'[15:29:12.312]',-,0.015,0.835,0.860,-0.177,2.250,86.630,23.735,10.501
'[15:29:12.320]',-,-0.000,0.855,0.820,-0.176,2.157,86.044,23.871,10.560
'[15:29:12.328]',-,0.015,0.845,0.815,-0.175,2.057,85.399,24.053,10.687
'[15:29:12.336]',-,-0.000,0.850,0.820,-0.173,1.952,84.813,24.371,10.814
'[15:29:12.344]',-,0.004,0.845,0.825,-0.172,1.850,84.168,25.006,10.931
'[15:29:12.352]',-,-0.005,0.860,0.840,-0.171,1.758,83.582,25.688,11.127
'[15:29:12.360]',-,-0.021,0.870,0.835,-0.170,1.677,82.996,26.051,11.185
'[15:29:12.368]',-,-0.035,0.885,0.855,-0.169,1.611,82.468,26.006,11.244
'[15:29:12.376]',-,-0.041,0.895,0.850,-0.167,1.559,81.941,25.552,11.312
'[15:29:12.384]',-,-0.025,0.880,0.850,-0.165,1.521,81.413,25.006,11.371
'[15:29:12.392]',-,-0.050,0.885,0.955,-0.164,1.494,80.944,24.439,11.498
'[15:29:12.400]',-,0.024,0.725,1.070,-0.162,1.475,80.417,24.007,11.625
'[15:29:12.408]',-,0.275,0.540,1.125,-0.161,1.463,80.007,23.689,11.683
'[15:29:12.416]',-,0.620,0.355,0.590,-0.160,1.454,79.538,23.485,11.810
'[15:29:12.424]',-,0.655,0.530,0.230,-0.159,1.443,79.186,23.553,11.869
'[15:29:12.432]',-,0.265,0.790,0.190,-0.158,1.431,78.776,23.803,11.937
'[15:29:12.440]',-,0.075,0.920,0.255,-0.157,1.420,78.365,24.007,11.937
'[15:29:12.448]',-,-0.010,0.935,0.500,-0.156,1.410,78.014,24.007,12.064
'[15:29:12.456]',-,-0.025,0.905,0.725,-0.155,1.400,77.603,23.689,12.123
'[15:29:12.464]',-,-0.035,0.895,0.845,-0.155,1.391,77.252,23.121,12.309
'[15:29:12.472]',-,-0.070,0.915,0.885,-0.154,1.383,76.900,22.485,12.563
'[15:29:12.480]',-,-0.061,0.895,0.905,-0.153,1.377,76.607,22.054,13.002
'[15:29:12.488]',-,-0.086,0.910,0.920,-0.153,1.373,76.373,21.872,13.432
'[15:29:12.496]',-,-0.065,0.895,0.920,-0.152,1.370,76.021,21.940,13.999
'[15:29:12.504]',-,-0.075,0.900,0.925,-0.151,1.368,75.728,22.122,14.497
'[15:29:12.512]',-,-0.055,0.885,0.920,-0.151,1.366,75.493,22.372,14.995
'[15:29:12.520]',-,-0.075,0.895,0.930,-0.150,1.362,75.259,22.440,15.435
'[15:29:12.528]',-,-0.055,0.890,0.920,-0.148,1.357,74.966,22.372,15.747
'[15:29:12.536]',-,-0.061,0.880,0.925,-0.147,1.351,74.673,22.190,15.933
'[15:29:12.544]',-,-0.045,0.890,0.920,-0.146,1.343,74.438,21.940,16.001
'[15:29:12.552]',-,-0.041,0.870,0.935,-0.145,1.334,74.145,21.690,15.874
'[15:29:12.560]',-,-0.050,0.875,0.920,-0.144,1.324,73.969,21.486,15.689
'[15:29:12.568]',-,-0.030,0.865,0.930,-0.143,1.313,73.794,21.940,15.435
'[15:29:12.576]',-,-0.045,0.870,0.925,-0.142,1.303,73.618,23.235,15.122
'[15:29:12.584]',-,-0.025,0.850,0.940,-0.141,1.293,73.442,25.552,14.751
'[15:29:12.592]',-,-0.035,0.870,0.925,-0.141,1.284,73.207,28.005,14.438
'[15:29:12.600]',-,-0.015,0.845,0.935,-0.140,1.276,73.032,29.367,14.370
'[15:29:12.608]',-,-0.021,0.850,0.930,-0.139,1.270,72.797,29.117,14.438
'[15:29:12.616]',-,-0.000,0.835,0.940,-0.139,1.266,72.563,27.936,14.682
'[15:29:12.624]',-,-0.010,0.845,0.935,-0.138,1.261,72.270,26.869,14.936
'[15:29:12.632]',-,0.010,0.820,0.945,-0.137,1.255,72.035,26.369,15.122
'[15:29:12.640]',-,-0.000,0.830,0.940,-0.137,1.249,71.918,26.755,15.376
'[15:29:12.648]',-,0.030,0.810,0.945,-0.137,1.243,72.387,28.254,15.493
'[15:29:12.656]',-,0.020,0.810,0.945,-0.136,1.238,73.852,30.753,15.435
'[15:29:12.664]',-,0.044,0.790,0.940,-0.136,1.231,77.310,33.864,15.308
'[15:29:12.672]',-,0.040,0.800,0.950,-0.136,1.225,83.113,37.317,15.063
'[15:29:12.680]',-,0.055,0.775,0.945,-0.136,1.219,91.026,40.678,14.682
'[15:29:12.688]',-,0.050,0.785,0.950,-0.136,1.215,100.052,43.563,14.243
'[15:29:12.696]',-,0.070,0.760,0.945,-0.136,1.213,108.668,45.811,13.813
'[15:29:12.704]',-,0.065,0.755,0.945,-0.135,1.215,116.112,47.310,13.305
'[15:29:12.712]',-,0.080,0.760,0.935,-0.135,1.220,122.149,48.310,12.875
'[15:29:12.720]',-,0.070,0.750,0.940,-0.135,1.226,127.131,48.877,12.436
'[15:29:12.728]',-,0.065,0.770,0.920,-0.135,1.234,131.234,49.127,12.064
'[15:29:12.736]',-,0.070,0.760,0.915,-0.134,1.242,134.692,49.127,11.752
'[15:29:12.744]',-,0.055,0.780,0.895,-0.134,1.251,137.447,49.059,11.556
'[15:29:12.752]',-,0.060,0.795,0.890,-0.134,1.260,139.440,48.945,11.439
'[15:29:12.760]',-,0.035,0.815,0.875,-0.134,1.269,140.905,48.877,11.371
'[15:29:12.768]',-,0.010,0.830,0.870,-0.134,1.278,142.136,48.945,11.371
'[15:29:12.776]',-,-0.000,0.850,0.850,-0.134,1.287,143.074,49.127,11.439
'[15:29:12.784]',-,-0.021,0.845,0.850,-0.134,1.298,143.777,49.695,11.556
'[15:29:12.792]',-,-0.035,0.885,0.835,-0.135,1.310,144.481,50.558,11.683
'[15:29:12.800]',-,-0.050,0.895,0.845,-0.136,1.322,145.067,51.489,11.752
'[15:29:12.808]',-,-0.055,0.910,0.835,-0.136,1.334,145.477,52.125,11.810
'[15:29:12.816]',-,-0.050,0.910,0.840,-0.137,1.347,145.829,51.989,11.937
'[15:29:12.824]',-,-0.075,0.925,0.835,-0.137,1.359,146.122,50.808,12.123
'[15:29:12.832]',-,-0.061,0.915,0.845,-0.137,1.370,146.474,48.877,12.309
'[15:29:12.840]',-,-0.081,0.935,0.840,-0.138,1.379,146.825,46.561,12.494
'[15:29:12.848]',-,-0.075,0.925,0.850,-0.139,1.386,147.060,44.744,12.690
'[15:29:12.856]',-,-0.086,0.940,0.845,-0.140,1.390,147.177,43.926,12.807
'[15:29:12.864]',-,-0.075,0.930,0.850,-0.141,1.392,147.177,44.380,12.875
'[15:29:12.872]',-,-0.086,0.940,0.855,-0.142,1.397,147.060,45.675,12.875
'[15:29:12.880]',-,-0.075,0.930,0.845,-0.144,1.412,146.767,47.174,12.807
'[15:29:12.888]',-,-0.090,0.940,0.865,-0.145,1.443,146.239,48.378,12.807
'[15:29:12.896]',-,-0.075,0.930,0.855,-0.146,1.497,145.536,49.059,12.807
'[15:29:12.904]',-,-0.086,0.940,0.865,-0.147,1.563,144.657,49.127,12.807
'[15:29:12.912]',-,-0.070,0.925,0.850,-0.148,1.650,143.602,48.696,12.807
'[15:29:12.920]',-,-0.086,0.935,0.865,-0.148,1.773,142.253,47.742,12.807
'[15:29:12.928]',-,-0.070,0.940,0.860,-0.149,1.924,140.671,46.493,12.807
'[15:29:12.936]',-,-0.081,0.925,0.875,-0.150,2.093,138.795,44.993,12.807
'[15:29:12.944]',-,-0.070,0.935,0.865,-0.150,2.267,136.627,43.381,12.807
'[15:29:12.952]',-,-0.075,0.915,0.875,-0.150,2.434,134.106,41.564,12.875
'[15:29:12.960]',-,-0.061,0.925,0.865,-0.150,2.587,131.117,39.497,12.807
'[15:29:12.968]',-,-0.065,0.910,0.875,-0.150,2.720,127.659,36.681,12.690
'[15:29:12.976]',-,-0.050,0.920,0.870,-0.150,2.832,123.790,32.933,12.621
'[15:29:12.984]',-,-0.045,0.900,0.875,-0.150,2.922,119.570,29.299,12.690
'[15:29:12.992]',-,-0.055,0.915,0.860,-0.150,2.993,115.057,28.368,12.875
'[15:29:13.000]',-,-0.035,0.895,0.865,-0.150,3.049,110.485,31.684,13.119
'[15:29:13.008]',-,-0.050,0.900,0.855,-0.149,3.082,106.265,37.362,13.305
'[15:29:13.016]',-,-0.025,0.885,0.870,-0.148,3.102,103.041,42.064,13.500
'[15:29:13.024]',-,-0.035,0.895,0.860,-0.147,3.120,101.166,44.130,13.745
'[15:29:13.032]',-,-0.025,0.885,0.870,-0.146,3.134,100.814,43.881,13.999
'[15:29:13.040]',-,-0.035,0.895,0.855,-0.145,3.143,101.166,42.245,14.311
'[15:29:13.048]',-,-0.021,0.880,0.865,-0.144,3.146,101.693,39.747,14.497
'[15:29:13.056]',-,-0.035,0.895,0.860,-0.144,3.142,101.811,36.862,14.555
'[15:29:13.064]',-,-0.015,0.880,0.855,-0.142,3.133,101.400,33.864,14.438
'[15:29:13.072]',-,-0.030,0.890,0.875,-0.141,3.120,100.814,31.434,14.243
'[15:29:13.080]',-,-0.021,0.875,0.860,-0.140,3.104,100.169,30.367,13.999
'[15:29:13.088]',-,-0.025,0.885,0.875,-0.139,3.084,99.700,31.048,13.813
'[15:29:13.096]',-,-0.015,0.870,0.865,-0.137,3.061,99.114,33.183,13.618
'[15:29:13.104]',-,-0.030,0.885,0.870,-0.136,3.033,98.470,35.749,13.373
'[15:29:13.112]',-,-0.015,0.870,0.865,-0.136,3.004,97.649,37.612,13.061
'[15:29:13.120]',-,-0.035,0.885,0.870,-0.134,2.973,96.887,38.316,12.748
'[15:29:13.128]',-,-0.021,0.890,0.865,-0.133,2.901,96.066,37.862,12.621
'[15:29:13.136]',-,-0.030,0.875,0.875,-0.132,2.808,95.305,36.499,12.563
'[15:29:13.144]',-,-0.015,0.885,0.860,-0.131,2.741,94.601,34.818,12.621
'[15:29:13.152]',-,-0.010,0.870,0.875,-0.130,2.685,94.015,33.069,12.807
'[15:29:13.160]',-,-0.025,0.880,0.870,-0.128,2.634,93.312,31.502,13.002
'[15:29:13.168]',-,-0.005,0.855,0.900,-0.127,2.584,92.608,29.935,13.002
'[15:29:13.176]',-,0.010,0.840,0.915,-0.126,2.529,91.905,28.550,12.875
'[15:29:13.184]',-,0.024,0.820,0.955,-0.126,2.469,91.260,27.505,12.934
'[15:29:13.192]',-,0.020,0.825,0.960,-0.125,2.404,90.615,26.801,13.188
'[15:29:13.200]',-,0.030,0.815,0.970,-0.125,2.331,89.912,26.551,13.500
'[15:29:13.208]',-,0.010,0.840,0.925,-0.124,2.261,89.326,26.551,13.745
'[15:29:13.216]',-,0.015,0.860,0.860,-0.123,2.190,88.623,26.801,13.999
'[15:29:13.224]',-,-0.010,0.870,0.825,-0.123,2.106,87.978,27.005,14.126
'[15:29:13.232]',-,0.004,0.860,0.830,-0.123,2.015,87.333,27.187,14.057
'[15:29:13.240]',-,-0.005,0.870,0.825,-0.123,1.923,86.806,27.300,13.872
'[15:29:13.248]',-,0.004,0.855,0.840,-0.123,1.835,86.220,27.550,13.686
'[15:29:13.256]',-,-0.015,0.880,0.850,-0.123,1.754,85.751,27.755,13.559
'[15:29:13.264]',-,-0.010,0.875,0.855,-0.123,1.684,85.164,27.868,13.305
'[15:29:13.272]',-,-0.041,0.895,0.860,-0.123,1.629,84.696,27.687,13.002
'[15:29:13.280]',-,-0.025,0.890,0.850,-0.123,1.586,84.109,27.369,12.807
'[15:29:13.288]',-,-0.045,0.900,0.865,-0.123,1.555,83.523,27.005,12.934
'[15:29:13.296]',-,-0.041,0.840,0.995,-0.123,1.534,83.054,26.619,13.305
'[15:29:13.304]',-,0.055,0.705,1.100,-0.123,1.520,82.586,26.301,13.813
'[15:29:13.312]',-,0.350,0.500,1.125,-0.123,1.510,82.175,26.119,14.311
'[15:29:13.320]',-,0.630,0.380,0.480,-0.122,1.501,81.706,26.188,14.809
'[15:29:13.328]',-,0.490,0.595,0.230,-0.122,1.493,81.296,26.551,15.122
'[15:29:13.336]',-,0.190,0.860,0.190,-0.121,1.483,80.886,27.187,15.249
'[15:29:13.344]',-,0.050,0.940,0.300,-0.120,1.473,80.534,27.868,15.249
'[15:29:13.352]',-,-0.021,0.945,0.560,-0.119,1.461,80.182,28.368,15.308
'[15:29:13.360]',-,-0.021,0.910,0.760,-0.117,1.449,79.772,28.368,15.376
'[15:29:13.368]',-,-0.050,0.905,0.875,-0.116,1.436,79.362,27.687,15.376
'[15:29:13.376]',-,-0.061,0.915,0.895,-0.115,1.422,79.069,26.505,15.249
'[15:29:13.384]',-,-0.055,0.905,0.920,-0.114,1.408,78.717,25.052,15.122
'[15:29:13.392]',-,-0.075,0.915,0.920,-0.112,1.392,78.483,23.803,15.376
'[15:29:13.400]',-,-0.061,0.905,0.930,-0.112,1.379,78.190,22.940,15.933
'[15:29:13.408]',-,-0.075,0.915,0.925,-0.111,1.367,77.897,22.485,16.558
'[15:29:13.416]',-,-0.061,0.905,0.935,-0.109,1.351,77.662,22.554,17.252
'[15:29:13.424]',-,-0.075,0.915,0.930,-0.108,1.333,77.369,22.940,17.877
'[15:29:13.432]',-,-0.050,0.895,0.940,-0.107,1.316,77.135,23.485,18.375
'[15:29:13.440]',-,-0.061,0.900,0.935,-0.106,1.298,76.783,24.121,18.502
'[15:29:13.448]',-,-0.035,0.885,0.940,-0.104,1.281,76.548,24.688,18.375
'[15:29:13.456]',-,-0.050,0.895,0.945,-0.102,1.264,76.373,25.052,18.062
'[15:29:13.464]',-,-0.041,0.875,0.935,-0.100,1.247,76.138,25.188,17.681
'[15:29:13.472]',-,-0.050,0.885,0.940,-0.098,1.232,75.904,25.756,17.252
'[15:29:13.480]',-,-0.025,0.865,0.930,-0.097,1.216,75.728,27.255,16.939
'[15:29:13.488]',-,-0.041,0.875,0.945,-0.095,1.201,75.611,29.254,16.558
'[15:29:13.496]',-,-0.015,0.855,0.930,-0.093,1.187,75.435,30.117,16.314
'[15:29:13.504]',-,-0.025,0.860,0.945,-0.091,1.176,75.200,29.117,16.187
'[15:29:13.512]',-,-0.000,0.845,0.940,-0.089,1.168,74.907,27.255,16.431
'[15:29:13.520]',-,-0.010,0.850,0.950,-0.087,1.160,74.614,26.119,16.939
'[15:29:13.528]',-,0.010,0.840,0.940,-0.085,1.152,74.380,26.619,17.437
'[15:29:13.536]',-,0.015,0.830,0.950,-0.082,1.145,74.145,28.436,17.808
'[15:29:13.544]',-,0.030,0.835,0.945,-0.081,1.139,74.263,31.116,18.121
'[15:29:13.552]',-,0.020,0.820,0.955,-0.079,1.133,75.083,34.182,18.307
'[15:29:13.560]',-,0.030,0.815,0.945,-0.078,1.128,77.486,37.317,18.434
'[15:29:13.568]',-,0.035,0.810,0.960,-0.077,1.125,82.117,40.383,18.434
'[15:29:13.576]',-,0.050,0.800,0.945,-0.076,1.124,89.092,43.131,18.189
'[15:29:13.584]',-,0.060,0.780,0.955,-0.074,1.125,97.590,45.243,17.808
'[15:29:13.592]',-,0.050,0.795,0.945,-0.072,1.128,106.500,46.810,17.252
'[15:29:13.600]',-,0.075,0.770,0.955,-0.070,1.133,114.412,47.946,16.685
'[15:29:13.608]',-,0.065,0.775,0.940,-0.068,1.139,120.977,48.741,16.118
'[15:29:13.616]',-,0.085,0.755,0.945,-0.067,1.146,126.252,49.445,15.689
'[15:29:13.624]',-,0.075,0.770,0.930,-0.065,1.152,130.589,49.945,15.249
'[15:29:13.632]',-,0.090,0.755,0.925,-0.063,1.159,134.282,50.240,14.809
'[15:29:13.640]',-,0.070,0.780,0.900,-0.062,1.168,137.389,50.308,14.438
'[15:29:13.648]',-,0.065,0.785,0.900,-0.060,1.177,139.733,50.376,14.126
'[15:29:13.656]',-,0.040,0.810,0.885,-0.059,1.187,141.433,50.444,13.930
'[15:29:13.664]',-,0.044,0.815,0.875,-0.058,1.197,142.722,50.740,13.999
'[15:29:13.672]',-,0.010,0.845,0.855,-0.057,1.209,143.719,51.194,14.126
'[15:29:13.680]',-,-0.000,0.855,0.850,-0.057,1.220,144.598,51.557,14.243
'[15:29:13.688]',-,-0.025,0.880,0.840,-0.056,1.232,145.301,51.694,14.311
'[15:29:13.696]',-,-0.025,0.885,0.835,-0.056,1.243,145.946,51.694,14.311
'[15:29:13.704]',-,-0.050,0.910,0.845,-0.056,1.255,146.415,51.557,14.370
'[15:29:13.712]',-,-0.055,0.920,0.835,-0.056,1.266,146.825,51.376,14.438
'[15:29:13.720]',-,-0.075,0.935,0.840,-0.057,1.277,147.177,51.126,14.555
'[15:29:13.728]',-,-0.065,0.925,0.830,-0.057,1.285,147.470,50.808,14.624
'[15:29:13.736]',-,-0.075,0.940,0.835,-0.058,1.292,147.880,50.444,14.555
'[15:29:13.744]',-,-0.070,0.935,0.835,-0.059,1.297,148.173,49.990,14.497
'[15:29:13.752]',-,-0.081,0.940,0.845,-0.059,1.300,148.349,49.491,14.370
'[15:29:13.760]',-,-0.086,0.945,0.840,-0.060,1.300,148.525,49.127,14.370
'[15:29:13.768]',-,-0.075,0.935,0.855,-0.061,1.300,148.525,48.741,14.438
'[15:29:13.776]',-,-0.086,0.950,0.845,-0.062,1.306,148.349,48.491,14.497
'[15:29:13.784]',-,-0.075,0.940,0.860,-0.063,1.324,147.997,48.128,14.497
'[15:29:13.792]',-,-0.095,0.955,0.855,-0.064,1.361,147.353,47.696,14.370
'[15:29:13.800]',-,-0.075,0.935,0.865,-0.066,1.411,146.532,47.174,14.311
'[15:29:13.808]',-,-0.090,0.950,0.860,-0.068,1.480,145.536,46.674,14.311
'[15:29:13.816]',-,-0.075,0.940,0.870,-0.070,1.585,144.305,46.061,14.370
'[15:29:13.824]',-,-0.090,0.950,0.870,-0.071,1.719,142.840,45.311,14.311
'[15:29:13.832]',-,-0.075,0.940,0.875,-0.073,1.874,141.140,44.426,14.243
'[15:29:13.840]',-,-0.086,0.945,0.870,-0.075,2.038,139.088,43.381,14.126
'[15:29:13.848]',-,-0.070,0.935,0.875,-0.076,2.201,136.744,42.313,13.999
'[15:29:13.856]',-,-0.075,0.940,0.870,-0.077,2.353,133.989,41.178,13.930
'[15:29:13.864]',-,-0.061,0.930,0.875,-0.078,2.487,130.824,39.633,13.930
'[15:29:13.872]',-,-0.075,0.935,0.880,-0.079,2.601,127.249,37.430,13.872
